"Date","Price","Year","Week"
12/16/1996,1.233,1996,51
12/23/1996,1.227,1996,52
12/30/1996,1.224,1996,53
1/6/1997,1.22,1997,1
1/13/1997,1.235,1997,2
1/20/1997,1.236,1997,3
1/27/1997,1.232,1997,4
2/3/1997,1.23,1997,5
2/10/1997,1.227,1997,6
2/17/1997,1.22,1997,7
2/24/1997,1.217,1997,8
3/3/1997,1.208,1997,9
3/10/1997,1.199,1997,10
3/17/1997,1.191,1997,11
3/24/1997,1.196,1997,12
3/31/1997,1.191,1997,13
4/7/1997,1.192,1997,14
4/14/1997,1.187,1997,15
4/21/1997,1.188,1997,16
4/28/1997,1.185,1997,17
5/5/1997,1.182,1997,18
5/12/1997,1.182,1997,19
5/19/1997,1.195,1997,20
5/26/1997,1.204,1997,21
6/2/1997,1.206,1997,22
6/9/1997,1.198,1997,23
6/16/1997,1.189,1997,24
6/23/1997,1.179,1997,25
6/30/1997,1.171,1997,26
7/7/1997,1.169,1997,27
7/14/1997,1.165,1997,28
7/21/1997,1.17,1997,29
7/28/1997,1.164,1997,30
8/4/1997,1.185,1997,31
8/11/1997,1.219,1997,32
8/18/1997,1.218,1997,33
8/25/1997,1.23,1997,34
9/1/1997,1.229,1997,35
9/8/1997,1.227,1997,36
9/15/1997,1.219,1997,37
9/22/1997,1.208,1997,38
9/29/1997,1.195,1997,39
10/6/1997,1.195,1997,40
10/13/1997,1.187,1997,41
10/20/1997,1.178,1997,42
10/27/1997,1.168,1997,43
11/3/1997,1.163,1997,44
11/10/1997,1.164,1997,45
11/17/1997,1.156,1997,46
11/24/1997,1.15,1997,47
12/1/1997,1.14,1997,48
12/8/1997,1.128,1997,49
12/15/1997,1.118,1997,50
12/22/1997,1.108,1997,51
12/29/1997,1.099,1997,52
1/5/1998,1.089,1998,1
1/12/1998,1.083,1998,2
1/19/1998,1.072,1998,3
1/26/1998,1.055,1998,4
2/2/1998,1.051,1998,5
2/9/1998,1.045,1998,6
2/16/1998,1.032,1998,7
2/23/1998,1.038,1998,8
3/2/1998,1.025,1998,9
3/9/1998,1.017,1998,10
3/16/1998,1.006,1998,11
3/23/1998,0.998,1998,12
3/30/1998,1.026,1998,13
4/6/1998,1.023,1998,14
4/13/1998,1.018,1998,15
4/20/1998,1.021,1998,16
4/27/1998,1.032,1998,17
5/4/1998,1.038,1998,18
5/11/1998,1.052,1998,19
5/18/1998,1.055,1998,20
5/25/1998,1.052,1998,21
6/1/1998,1.047,1998,22
6/8/1998,1.06,1998,23
6/15/1998,1.049,1998,24
6/22/1998,1.041,1998,25
6/29/1998,1.042,1998,26
7/6/1998,1.041,1998,27
7/13/1998,1.037,1998,28
7/20/1998,1.044,1998,29
7/27/1998,1.035,1998,30
8/3/1998,1.023,1998,31
8/10/1998,1.018,1998,32
8/17/1998,1.011,1998,33
8/24/1998,1.004,1998,34
8/31/1998,0.998,1998,35
9/7/1998,0.991,1998,36
9/14/1998,0.987,1998,37
9/21/1998,0.999,1998,38
9/28/1998,0.999,1998,39
10/5/1998,1.006,1998,40
10/12/1998,1.01,1998,41
10/19/1998,1.007,1998,42
10/26/1998,1.001,1998,43
11/2/1998,0.997,1998,44
11/9/1998,0.994,1998,45
11/16/1998,0.981,1998,46
11/23/1998,0.971,1998,47
11/30/1998,0.954,1998,48
12/7/1998,0.933,1998,49
12/14/1998,0.923,1998,50
12/21/1998,0.921,1998,51
12/28/1998,0.914,1998,52
1/4/1999,0.913,1999,1
1/11/1999,0.92,1999,2
1/18/1999,0.921,1999,3
1/25/1999,0.913,1999,4
2/1/1999,0.908,1999,5
2/8/1999,0.907,1999,6
2/15/1999,0.899,1999,7
2/22/1999,0.885,1999,8
3/1/1999,0.891,1999,9
3/8/1999,0.9,1999,10
3/15/1999,0.958,1999,11
3/22/1999,0.999,1999,12
3/29/1999,1.055,1999,13
4/5/1999,1.087,1999,14
4/12/1999,1.107,1999,15
4/19/1999,1.103,1999,16
4/26/1999,1.099,1999,17
5/3/1999,1.107,1999,18
5/10/1999,1.109,1999,19
5/17/1999,1.112,1999,20
5/24/1999,1.101,1999,21
5/31/1999,1.088,1999,22
6/7/1999,1.092,1999,23
6/14/1999,1.088,1999,24
6/21/1999,1.105,1999,25
6/28/1999,1.095,1999,26
7/5/1999,1.11,1999,27
7/12/1999,1.123,1999,28
7/19/1999,1.148,1999,29
7/26/1999,1.172,1999,30
8/2/1999,1.172,1999,31
8/9/1999,1.183,1999,32
8/16/1999,1.214,1999,33
8/23/1999,1.212,1999,34
8/30/1999,1.214,1999,35
9/6/1999,1.223,1999,36
9/13/1999,1.234,1999,37
9/20/1999,1.252,1999,38
9/27/1999,1.248,1999,39
10/4/1999,1.242,1999,40
10/11/1999,1.234,1999,41
10/18/1999,1.22,1999,42
10/25/1999,1.225,1999,43
11/1/1999,1.218,1999,44
11/8/1999,1.222,1999,45
11/15/1999,1.24,1999,46
11/22/1999,1.258,1999,47
11/29/1999,1.262,1999,48
12/6/1999,1.26,1999,49
12/13/1999,1.263,1999,50
12/20/1999,1.257,1999,51
12/27/1999,1.263,1999,52
1/3/2000,1.26,2000,1
1/10/2000,1.252,2000,2
1/17/2000,1.268,2000,3
1/24/2000,1.307,2000,4
1/31/2000,1.307,2000,5
2/7/2000,1.319,2000,6
2/14/2000,1.35,2000,7
2/21/2000,1.4,2000,8
2/28/2000,1.413,2000,9
3/6/2000,1.49,2000,10
3/13/2000,1.511,2000,11
3/20/2000,1.508,2000,12
3/27/2000,1.484,2000,13
4/3/2000,1.478,2000,14
4/10/2000,1.447,2000,15
4/17/2000,1.415,2000,16
4/24/2000,1.406,2000,17
5/1/2000,1.386,2000,18
5/8/2000,1.427,2000,19
5/15/2000,1.466,2000,20
5/22/2000,1.494,2000,21
5/29/2000,1.509,2000,22
6/5/2000,1.535,2000,23
6/12/2000,1.607,2000,24
6/19/2000,1.664,2000,25
6/26/2000,1.641,2000,26
7/3/2000,1.606,2000,27
7/10/2000,1.571,2000,28
7/17/2000,1.521,2000,29
7/24/2000,1.499,2000,30
7/31/2000,1.447,2000,31
8/7/2000,1.437,2000,32
8/14/2000,1.42,2000,33
8/21/2000,1.444,2000,34
8/28/2000,1.456,2000,35
9/4/2000,1.502,2000,36
9/11/2000,1.535,2000,37
9/18/2000,1.539,2000,38
9/25/2000,1.525,2000,39
10/2/2000,1.498,2000,40
10/9/2000,1.473,2000,41
10/16/2000,1.516,2000,42
10/23/2000,1.532,2000,43
10/30/2000,1.523,2000,44
11/6/2000,1.502,2000,45
11/13/2000,1.501,2000,46
11/20/2000,1.487,2000,47
11/27/2000,1.489,2000,48
12/4/2000,1.464,2000,49
12/11/2000,1.425,2000,50
12/18/2000,1.396,2000,51
12/25/2000,1.388,2000,52
1/1/2001,1.377,2001,1
1/8/2001,1.4,2001,2
1/15/2001,1.458,2001,3
1/22/2001,1.456,2001,4
1/29/2001,1.446,2001,5
2/5/2001,1.426,2001,6
2/12/2001,1.46,2001,7
2/19/2001,1.429,2001,8
2/26/2001,1.41,2001,9
3/5/2001,1.393,2001,10
3/12/2001,1.387,2001,11
3/19/2001,1.377,2001,12
3/26/2001,1.379,2001,13
4/2/2001,1.411,2001,14
4/9/2001,1.469,2001,15
4/16/2001,1.535,2001,16
4/23/2001,1.586,2001,17
4/30/2001,1.585,2001,18
5/7/2001,1.659,2001,19
5/14/2001,1.663,2001,20
5/21/2001,1.637,2001,21
5/28/2001,1.656,2001,22
6/4/2001,1.63,2001,23
6/11/2001,1.58,2001,24
6/18/2001,1.526,2001,25
6/25/2001,1.454,2001,26
7/2/2001,1.384,2001,27
7/9/2001,1.35,2001,28
7/16/2001,1.33,2001,29
7/23/2001,1.318,2001,30
7/30/2001,1.319,2001,31
8/6/2001,1.319,2001,32
8/13/2001,1.347,2001,33
8/20/2001,1.399,2001,34
8/27/2001,1.48,2001,35
9/3/2001,1.538,2001,36
9/10/2001,1.511,2001,37
9/17/2001,1.516,2001,38
9/24/2001,1.46,2001,39
10/1/2001,1.381,2001,40
10/8/2001,1.31,2001,41
10/15/2001,1.264,2001,42
10/22/2001,1.221,2001,43
10/29/2001,1.193,2001,44
11/5/2001,1.17,2001,45
11/12/2001,1.147,2001,46
11/19/2001,1.14,2001,47
11/26/2001,1.097,2001,48
12/3/2001,1.084,2001,49
12/10/2001,1.075,2001,50
12/17/2001,1.042,2001,51
12/24/2001,1.063,2001,52
12/31/2001,1.096,2001,53
1/7/2002,1.109,2002,1
1/14/2002,1.099,2002,2
1/21/2002,1.087,2002,3
1/28/2002,1.081,2002,4
2/4/2002,1.098,2002,5
2/11/2002,1.085,2002,6
2/18/2002,1.089,2002,7
2/25/2002,1.087,2002,8
3/4/2002,1.118,2002,9
3/11/2002,1.194,2002,10
3/18/2002,1.262,2002,11
3/25/2002,1.308,2002,12
4/1/2002,1.339,2002,13
4/8/2002,1.382,2002,14
4/15/2002,1.368,2002,15
4/22/2002,1.367,2002,16
4/29/2002,1.353,2002,17
5/6/2002,1.356,2002,18
5/13/2002,1.349,2002,19
5/20/2002,1.36,2002,20
5/27/2002,1.348,2002,21
6/3/2002,1.353,2002,22
6/10/2002,1.332,2002,23
6/17/2002,1.335,2002,24
6/24/2002,1.342,2002,25
7/1/2002,1.357,2002,26
7/8/2002,1.345,2002,27
7/15/2002,1.361,2002,28
7/22/2002,1.381,2002,29
7/29/2002,1.376,2002,30
8/5/2002,1.355,2002,31
8/12/2002,1.355,2002,32
8/19/2002,1.357,2002,33
8/26/2002,1.365,2002,34
9/2/2002,1.353,2002,35
9/9/2002,1.355,2002,36
9/16/2002,1.367,2002,37
9/23/2002,1.357,2002,38
9/30/2002,1.385,2002,39
10/7/2002,1.416,2002,40
10/14/2002,1.422,2002,41
10/21/2002,1.443,2002,42
10/28/2002,1.427,2002,43
11/4/2002,1.427,2002,44
11/11/2002,1.406,2002,45
11/18/2002,1.37,2002,46
11/25/2002,1.336,2002,47
12/2/2002,1.316,2002,48
12/9/2002,1.316,2002,49
12/16/2002,1.322,2002,50
12/23/2002,1.371,2002,51
12/30/2002,1.417,2002,52
1/6/2003,1.412,2003,1
1/13/2003,1.423,2003,2
1/20/2003,1.422,2003,3
1/27/2003,1.437,2003,4
2/3/2003,1.499,2003,5
2/10/2003,1.582,2003,6
2/17/2003,1.63,2003,7
2/24/2003,1.617,2003,8
3/3/2003,1.641,2003,9
3/10/2003,1.663,2003,10
3/17/2003,1.673,2003,11
3/24/2003,1.626,2003,12
3/31/2003,1.577,2003,13
4/7/2003,1.557,2003,14
4/14/2003,1.521,2003,15
4/21/2003,1.504,2003,16
4/28/2003,1.486,2003,17
5/5/2003,1.441,2003,18
5/12/2003,1.427,2003,19
5/19/2003,1.444,2003,20
5/26/2003,1.439,2003,21
6/2/2003,1.428,2003,22
6/9/2003,1.456,2003,23
6/16/2003,1.48,2003,24
6/23/2003,1.451,2003,25
6/30/2003,1.443,2003,26
7/7/2003,1.448,2003,27
7/14/2003,1.489,2003,28
7/21/2003,1.496,2003,29
7/28/2003,1.488,2003,30
8/4/2003,1.516,2003,31
8/11/2003,1.55,2003,32
8/18/2003,1.594,2003,33
8/25/2003,1.693,2003,34
9/1/2003,1.688,2003,35
9/8/2003,1.653,2003,36
9/15/2003,1.636,2003,37
9/22/2003,1.58,2003,38
9/29/2003,1.524,2003,39
10/6/2003,1.511,2003,40
10/13/2003,1.515,2003,41
10/20/2003,1.527,2003,42
10/27/2003,1.499,2003,43
11/3/2003,1.494,2003,44
11/10/2003,1.464,2003,45
11/17/2003,1.459,2003,46
11/24/2003,1.478,2003,47
12/1/2003,1.454,2003,48
12/8/2003,1.441,2003,49
12/15/2003,1.433,2003,50
12/22/2003,1.459,2003,51
12/29/2003,1.454,2003,52
1/5/2004,1.492,2004,1
1/12/2004,1.544,2004,2
1/19/2004,1.579,2004,3
1/26/2004,1.604,2004,4
2/2/2004,1.591,2004,5
2/9/2004,1.609,2004,6
2/16/2004,1.617,2004,7
2/23/2004,1.641,2004,8
3/1/2004,1.664,2004,9
3/8/2004,1.69,2004,10
3/15/2004,1.675,2004,11
3/22/2004,1.698,2004,12
3/29/2004,1.716,2004,13
4/5/2004,1.737,2004,14
4/12/2004,1.74,2004,15
4/19/2004,1.773,2004,16
4/26/2004,1.774,2004,17
5/3/2004,1.811,2004,18
5/10/2004,1.904,2004,19
5/17/2004,1.979,2004,20
5/24/2004,2.026,2004,21
5/31/2004,2.004,2004,22
6/7/2004,1.983,2004,23
6/14/2004,1.926,2004,24
6/21/2004,1.873,2004,25
6/28/2004,1.859,2004,26
7/5/2004,1.835,2004,27
7/12/2004,1.869,2004,28
7/19/2004,1.888,2004,29
7/26/2004,1.861,2004,30
8/2/2004,1.846,2004,31
8/9/2004,1.839,2004,32
8/16/2004,1.842,2004,33
8/23/2004,1.854,2004,34
8/30/2004,1.827,2004,35
9/6/2004,1.815,2004,36
9/13/2004,1.813,2004,37
9/20/2004,1.839,2004,38
9/27/2004,1.895,2004,39
10/4/2004,1.902,2004,40
10/11/2004,1.949,2004,41
10/18/2004,1.984,2004,42
10/25/2004,1.98,2004,43
11/1/2004,1.986,2004,44
11/8/2004,1.951,2004,45
11/15/2004,1.918,2004,46
11/22/2004,1.901,2004,47
11/29/2004,1.903,2004,48
12/6/2004,1.868,2004,49
12/13/2004,1.799,2004,50
12/20/2004,1.777,2004,51
12/27/2004,1.754,2004,52
1/3/2005,1.745,2005,1
1/10/2005,1.771,2005,2
1/17/2005,1.802,2005,3
1/24/2005,1.839,2005,4
1/31/2005,1.896,2005,5
2/7/2005,1.89,2005,6
2/14/2005,1.873,2005,7
2/21/2005,1.878,2005,8
2/28/2005,1.904,2005,9
3/7/2005,1.979,2005,10
3/14/2005,2.039,2005,11
3/21/2005,2.095,2005,12
3/28/2005,2.137,2005,13
4/4/2005,2.196,2005,14
4/11/2005,2.251,2005,15
4/18/2005,2.198,2005,16
4/25/2005,2.197,2005,17
5/2/2005,2.191,2005,18
5/9/2005,2.137,2005,19
5/16/2005,2.116,2005,20
5/23/2005,2.077,2005,21
5/30/2005,2.051,2005,22
6/6/2005,2.078,2005,23
6/13/2005,2.099,2005,24
6/20/2005,2.128,2005,25
6/27/2005,2.186,2005,26
7/4/2005,2.189,2005,27
7/11/2005,2.292,2005,28
7/18/2005,2.272,2005,29
7/25/2005,2.235,2005,30
8/1/2005,2.239,2005,31
8/8/2005,2.323,2005,32
8/15/2005,2.519,2005,33
8/22/2005,2.583,2005,34
8/29/2005,2.581,2005,35
9/5/2005,3.037,2005,36
9/12/2005,2.912,2005,37
9/19/2005,2.73,2005,38
9/26/2005,2.767,2005,39
10/3/2005,2.922,2005,40
10/10/2005,2.828,2005,41
10/17/2005,2.693,2005,42
10/24/2005,2.564,2005,43
10/31/2005,2.438,2005,44
11/7/2005,2.336,2005,45
11/14/2005,2.258,2005,46
11/21/2005,2.168,2005,47
11/28/2005,2.124,2005,48
12/5/2005,2.127,2005,49
12/12/2005,2.175,2005,50
12/19/2005,2.205,2005,51
12/26/2005,2.188,2005,52
1/2/2006,2.236,2006,1
1/9/2006,2.321,2006,2
1/16/2006,2.297,2006,3
1/23/2006,2.314,2006,4
1/30/2006,2.332,2006,5
2/6/2006,2.31,2006,6
2/13/2006,2.246,2006,7
2/20/2006,2.205,2006,8
2/27/2006,2.236,2006,9
3/6/2006,2.321,2006,10
3/13/2006,2.355,2006,11
3/20/2006,2.495,2006,12
3/27/2006,2.479,2006,13
4/3/2006,2.567,2006,14
4/10/2006,2.663,2006,15
4/17/2006,2.764,2006,16
4/24/2006,2.881,2006,17
5/1/2006,2.866,2006,18
5/8/2006,2.834,2006,19
5/15/2006,2.871,2006,20
5/22/2006,2.801,2006,21
5/29/2006,2.784,2006,22
6/5/2006,2.811,2006,23
6/12/2006,2.833,2006,24
6/19/2006,2.793,2006,25
6/26/2006,2.796,2006,26
7/3/2006,2.873,2006,27
7/10/2006,2.91,2006,28
7/17/2006,2.928,2006,29
7/24/2006,2.95,2006,30
7/31/2006,2.955,2006,31
8/7/2006,3.004,2006,32
8/14/2006,2.958,2006,33
8/21/2006,2.877,2006,34
8/28/2006,2.8,2006,35
9/4/2006,2.68,2006,36
9/11/2006,2.563,2006,37
9/18/2006,2.441,2006,38
9/25/2006,2.32,2006,39
10/2/2006,2.263,2006,40
10/9/2006,2.222,2006,41
10/16/2006,2.195,2006,42
10/23/2006,2.186,2006,43
10/30/2006,2.204,2006,44
11/6/2006,2.189,2006,45
11/13/2006,2.216,2006,46
11/20/2006,2.218,2006,47
11/27/2006,2.221,2006,48
12/4/2006,2.277,2006,49
12/11/2006,2.267,2006,50
12/18/2006,2.29,2006,51
12/25/2006,2.303,2006,52
1/1/2007,2.296,2007,1
1/8/2007,2.258,2007,2
1/15/2007,2.173,2007,3
1/22/2007,2.107,2007,4
1/29/2007,2.119,2007,5
2/5/2007,2.151,2007,6
2/12/2007,2.198,2007,7
2/19/2007,2.251,2007,8
2/26/2007,2.338,2007,9
3/5/2007,2.46,2007,10
3/12/2007,2.499,2007,11
3/19/2007,2.511,2007,12
3/26/2007,2.54,2007,13
4/2/2007,2.636,2007,14
4/9/2007,2.746,2007,15
4/16/2007,2.822,2007,16
4/23/2007,2.811,2007,17
4/30/2007,2.922,2007,18
5/7/2007,3.002,2007,19
5/14/2007,3.069,2007,20
5/21/2007,3.211,2007,21
5/28/2007,3.195,2007,22
6/4/2007,3.132,2007,23
6/11/2007,3.04,2007,24
6/18/2007,2.974,2007,25
6/25/2007,2.951,2007,26
7/2/2007,2.933,2007,27
7/9/2007,2.971,2007,28
7/16/2007,3.046,2007,29
7/23/2007,2.938,2007,30
7/30/2007,2.849,2007,31
8/6/2007,2.816,2007,32
8/13/2007,2.752,2007,33
8/20/2007,2.783,2007,34
8/27/2007,2.756,2007,35
9/3/2007,2.818,2007,36
9/10/2007,2.84,2007,37
9/17/2007,2.792,2007,38
9/24/2007,2.816,2007,39
10/1/2007,2.784,2007,40
10/8/2007,2.761,2007,41
10/15/2007,2.746,2007,42
10/22/2007,2.806,2007,43
10/29/2007,2.859,2007,44
11/5/2007,3.007,2007,45
11/12/2007,3.101,2007,46
11/19/2007,3.077,2007,47
11/26/2007,3.072,2007,48
12/3/2007,3.029,2007,49
12/10/2007,2.957,2007,50
12/17/2007,2.962,2007,51
12/24/2007,2.943,2007,52
12/31/2007,3.028,2007,53
1/7/2008,3.088,2008,1
1/14/2008,3.041,2008,2
1/21/2008,2.991,2008,3
1/28/2008,2.953,2008,4
2/4/2008,2.966,2008,5
2/11/2008,2.947,2008,6
2/18/2008,3.035,2008,7
2/25/2008,3.115,2008,8
3/3/2008,3.137,2008,9
3/10/2008,3.2,2008,10
3/17/2008,3.257,2008,11
3/24/2008,3.224,2008,12
3/31/2008,3.259,2008,13
4/7/2008,3.299,2008,14
4/14/2008,3.35,2008,15
4/21/2008,3.467,2008,16
4/28/2008,3.566,2008,17
5/5/2008,3.571,2008,18
5/12/2008,3.694,2008,19
5/19/2008,3.762,2008,20
5/26/2008,3.913,2008,21
6/2/2008,3.932,2008,22
6/9/2008,3.979,2008,23
6/16/2008,4.007,2008,24
6/23/2008,4.002,2008,25
6/30/2008,4.027,2008,26
7/7/2008,4.051,2008,27
7/14/2008,4.054,2008,28
7/21/2008,4.005,2008,29
7/28/2008,3.896,2008,30
8/4/2008,3.828,2008,31
8/11/2008,3.764,2008,32
8/18/2008,3.706,2008,33
8/25/2008,3.66,2008,34
9/1/2008,3.667,2008,35
9/8/2008,3.637,2008,36
9/15/2008,3.867,2008,37
9/22/2008,3.732,2008,38
