"Year","Winner","Length","Seconds","Speed","Direction"
1906,"Burgomaster",1.375,"140","35.357143","Clockwise"
1907,"Peter Pan",1.375,"NA","NA","Clockwise"
1908,"Colin",1.375,"NA","NA","Clockwise"
1909,"Joe Madden",1.375,"141.60000","34.957627","Clockwise"
1910,"Sweep",1.375,"142","34.859155","Clockwise"
1913,"Prince Eugene",1.375,"138","35.869565","Clockwise"
1914,"Luke McLuke",1.375,"140","35.357143","Clockwise"
1915,"The Finn",1.375,"138.40000","35.765896","Clockwise"
1916,"Friar Rock",1.375,"142","34.859155","Clockwise"
1917,"Hourless",1.375,"137.80000","35.921626","Clockwise"
1918,"Johren",1.375,"140.40000","35.256410","Clockwise"
1919,"Sir Barton",1.375,"137.40000","36.026201","Clockwise"
1920,"Man o' War",1.375,"134.20000","36.885246","Clockwise"
1921,"Grey Lag",1.375,"136.80000","36.184211","counter-clockwise"
1922,"Pillory",1.375,"138.80000","35.662824","counter-clockwise"
1923,"Zev",1.375,"139","35.611511","counter-clockwise"
1924,"Mad Play",1.375,"138.80000","35.662824","counter-clockwise"
1925,"American Flag",1.375,"136.80000","36.184211","counter-clockwise"
1926,"Crusader",1.5,"152.20000","35.479632","counter-clockwise"
1927,"Chance Shot",1.5,"152.40000","35.433071","counter-clockwise"
1928,"Vito",1.5,"153.20000","35.248042","counter-clockwise"
1929,"Blue Larkspur",1.5,"152.80000","35.340314","counter-clockwise"
1930,"Gallant Fox",1.5,"151.60000","35.620053","counter-clockwise"
1931,"Twenty Grand",1.5,"149.60000","36.096257","counter-clockwise"
1932,"Faireno",1.5,"152.80000","35.340314","counter-clockwise"
1933,"Hurryoff",1.5,"152.60000","35.386632","counter-clockwise"
1934,"Peace Chance",1.5,"149.20000","36.193029","counter-clockwise"
1935,"Omaha",1.5,"150.60000","35.856574","counter-clockwise"
1936,"Granville",1.5,"150","36","counter-clockwise"
1937,"War Admiral",1.5,"148.60000","36.339166","counter-clockwise"
1938,"Pasteurized",1.5,"149.40000","36.144578","counter-clockwise"
1939,"Johnstown",1.5,"149.60000","36.096257","counter-clockwise"
1940,"Bimelech",1.5,"149.60000","36.096257","counter-clockwise"
1941,"Whirlaway",1.5,"151","35.761589","counter-clockwise"
1942,"Shut Out",1.5,"149.20000","36.193029","counter-clockwise"
1943,"Count Fleet",1.5,"148.20000","36.437247","counter-clockwise"
1944,"Bounding Home",1.5,"152.20000","35.479632","counter-clockwise"
1945,"Pavot",1.5,"150.20000","35.952064","counter-clockwise"
1946,"Assault",1.5,"150.80000","35.809019","counter-clockwise"
1947,"Phalanx",1.5,"149.40000","36.144578","counter-clockwise"
1948,"Citation",1.5,"148.20000","36.437247","counter-clockwise"
1949,"Capot",1.5,"150.20000","35.952064","counter-clockwise"
1950,"Middleground",1.5,"148.60000","36.339166","counter-clockwise"
1951,"Counterpoint",1.5,"149","36.241611","counter-clockwise"
1952,"One Count",1.5,"150.20000","35.952064","counter-clockwise"
1953,"Native Dancer",1.5,"148.60000","36.339166","counter-clockwise"
1954,"High Gun",1.5,"150.80000","35.809019","counter-clockwise"
1955,"Nashua",1.5,"149","36.241611","counter-clockwise"
1956,"Needles",1.5,"149.80000","36.048064","counter-clockwise"
1957,"Gallant Man",1.5,"146.60000","36.834925","counter-clockwise"
1958,"Cavan",1.5,"150.20000","35.952064","counter-clockwise"
1959,"Sword Dancer",1.5,"148.40000","36.388140","counter-clockwise"
1960,"Celtic Ash",1.5,"149.20000","36.193029","counter-clockwise"
1961,"Sherluck",1.5,"149.20000","36.193029","counter-clockwise"
1962,"Jaipur",1.5,"148.80000","36.290323","counter-clockwise"
1963,"Chateaugay",1.5,"150.20000","35.952064","counter-clockwise"
1964,"Quadrangle",1.5,"148.40000","36.388140","counter-clockwise"
1965,"Hail To All",1.5,"148.40000","36.388140","counter-clockwise"
1966,"Amberoid",1.5,"149.60000","36.096257","counter-clockwise"
1967,"Damascus",1.5,"148.80000","36.290323","counter-clockwise"
1968,"Stage Door Johnny",1.5,"147.20000","36.684783","counter-clockwise"
1969,"Arts and Letters",1.5,"148.80000","36.290323","counter-clockwise"
1970,"High Echelon",1.5,"154","35.064935","counter-clockwise"
1971,"Pass Catcher",1.5,"150.40000","35.904255","counter-clockwise"
1972,"Riva Ridge",1.5,"148","36.486486","counter-clockwise"
1973,"Secretariat",1.5,"144","37.500000","counter-clockwise"
1974,"Little Current",1.5,"149.20000","36.193029","counter-clockwise"
1975,"Avatar",1.5,"148.20000","36.437247","counter-clockwise"
1976,"Bold Forbes",1.5,"149","36.241611","counter-clockwise"
1977,"Seattle Slew",1.5,"149.60000","36.096257","counter-clockwise"
1978,"Affirmed",1.5,"146.80000","36.784741","counter-clockwise"
1979,"Coastal",1.5,"148.60000","36.339166","counter-clockwise"
1980,"Temperence Hill",1.5,"149.80000","36.048064","counter-clockwise"
1981,"Summing",1.5,"149","36.241611","counter-clockwise"
1982,"Conquistador Cielo",1.5,"148.20000","36.437247","counter-clockwise"
1983,"Caveat",1.5,"147.80000","36.535859","counter-clockwise"
1984,"Swale",1.5,"147.20000","36.684783","counter-clockwise"
1985,"Creme Fraiche",1.5,"147","36.734694","counter-clockwise"
1986,"Danzig Connection",1.5,"149.80000","36.048064","counter-clockwise"
1987,"Bet Twice",1.5,"148.20000","36.437247","counter-clockwise"
1988,"Risen Star",1.5,"146.40000","36.885246","counter-clockwise"
1989,"Easy Goer",1.5,"146","36.986301","counter-clockwise"
1990,"Go And Go",1.5,"147.20000","36.684783","counter-clockwise"
1991,"Hansel",1.5,"148.10000","36.461850","counter-clockwise"
1992,"A.P. Indy",1.5,"146.10000","36.960986","counter-clockwise"
1993,"Colonial Affair",1.5,"150","36","counter-clockwise"
1994,"Tabasco Cat",1.5,"146.80000","36.784741","counter-clockwise"
1995,"Thunder Gulch",1.5,"152","35.526316","counter-clockwise"
1996,"Editor's Note",1.5,"149","36.241611","counter-clockwise"
1997,"Touch Gold",1.5,"148.80000","36.290323","counter-clockwise"
1998,"Victory Gallop",1.5,"149.20000","36.193029","counter-clockwise"
1999,"Lemon Drop Kid",1.5,"147.90000","36.511156","counter-clockwise"
2000,"Commendable",1.5,"151.20000","35.714286","counter-clockwise"
2001,"Point Given",1.5,"146.60000","36.834925","counter-clockwise"
2002,"Sarava",1.5,"149.70000","36.072144","counter-clockwise"
2003,"Empire Maker",1.5,"148.30000","36.412677","counter-clockwise"
2004,"Birdstone",1.5,"147.50000","36.610169","counter-clockwise"
2005,"Afleet Alex",1.5,"148.70000","36.314728","counter-clockwise"
2006,"Jazil",1.5,"147.90000","36.511156","counter-clockwise"
2007,"Rags to Riches",1.5,"148.70000","36.314728","counter-clockwise"
2008,"Da'Tara",1.5,"149.70000","36.072144","counter-clockwise"
2009,"Summer Bird",1.5,"147.50000","36.610169","counter-clockwise"
2010,"Drosselmeyer",1.5,"151.60000","35.620053","counter-clockwise"
2011,"Ruler on Ice",1.5,"150.90000","35.785288","counter-clockwise"
2012,"Union Rags",1.5,"150.40000","35.904255","counter-clockwise"
2013,"Palace Malice",1.5,"150.70000","35.832780","counter-clockwise"
2014,"Tonalist",1.5,"148.50000","36.363636","counter-clockwise"
2015,"American Pharoah",1.5,"146.70000","36.809816","counter-clockwise"
