"Rank","Name","Company","Compensation","Five.Year.Comp","Shares.Owned...mil.","Age","Efficiency"
72,"James E Rogers","Duke Energy",18.54,"41.54",51.7,64,"NA"
73,"David J Lesar","Halliburton",18.395,"103.06",25.8,59,"199"
74,"Michael E Szymanczyk","Altria Group",17.855,"33.733",38.7,63,"NA"
75,"Michael T Fries","Liberty Global",17.685,"58.52",61.7,49,"NA"
76,"Frederick H Waddell","Northern Trust",17.68,"33.55",7.2,59,"NA"
77,"Gregory C Case","Aon",17.545,"40.1",27.4,49,"NA"
78,"Lewis Hay III","NextEra Energy",17.525,"67",45.7,56,"77"
79,"William H Swanson","Raytheon",17.455,"109.29",44.4,63,"166"
80,"G Steven Farris","Apache",17.365,"69.05",42,64,"98"
81,"Gale E Klappa","Wisconsin Energy",17.27,"48.78",4.2,61,"59"
82,"Miles D White","Abbott Laboratories",17.17,"119.79",70.6,57,"160"
83,"Daniel P Amos","Aflac",17.13,"141.78",249.7,60,"133"
84,"Thomas Georgens","NetApp",17.03,"20.923",0.3,52,"NA"
85,"John D Finnegan","Chubb",16.84,"82.15",57.3,63,"83"
86,"C Larry Pope","Smithfield Foods",16.67,"27.67",15.2,57,"NA"
87,"Glenn A Britt","Time Warner Cable",16.555,"50.25",8.8,62,"NA"
88,"Carol M Meyrowitz","TJX Cos",16.545,"49.96",52.4,58,"NA"
89,"Larry D Young","Dr Pepper Snapple Group",16.51,"28.01",9.8,57,"NA"
90,"John W Conway","Crown Holdings",16.44,"70.87",61.4,66,"54"
91,"Donald E Washkewicz","Parker-Hannifin",16.24,"68.02",52.8,61,"104"
92,"Wayne T Smith","Community Health Systems",16.175,"54.72",34.6,66,"191"
93,"James H Herbert II","First Republic California",16.075,"NA",13.7,68,"NA"
94,"Michael W Sutherlin","Joy Global",15.84,"37.24",16.8,65,"NA"
95,"James J Mulva","ConocoPhillips",15.615,"79.45",59.8,65,"132"
96,"John C Lechleiter","Eli Lilly & Co",15.57,"44.36",19.3,58,"NA"
97,"J Brett Harvey","Consol Energy",15.525,"38.93",13.2,61,"116"
98,"Jen-Hsun Huang","Nvidia",15.445,"136.22",308.8,49,"153"
99,"John J Donahoe","Ebay",15.38,"32.292",13,50,"NA"
100,"Richard K Templeton","Texas Instruments",15.36,"36.89",37,53,"143"
101,"Louis R Chenevert","United Technologies",15.33,"75.78",33.6,54,"NA"
102,"J Wayne Leonard","Entergy",15.11,"108.57",30.8,61,"168"
103,"Mark C Pigott","Paccar",15.11,"84.74",163.7,58,"115"
104,"Larry J Merlo","CVS Caremark",15.03,"NA",44,56,"NA"
105,"Marc Holliday","SL Green",14.995,"92.1",26.7,45,"163"
106,"Lawrence J Ellison","Oracle",14.89,"903.21",32848.9,67,"98"
107,"Timothy D Cook","Apple",14.826,"NA",8.3,51,"NA"
108,"Stephen A Wynn","Wynn Resorts",14.625,"52.67",2492.5,70,"22"
109,"Gregory E Johnson","Franklin Resources",14.61,"49.93",195.3,50,"79"
110,"Muhtar Kent","Coca-Cola",14.47,"40.062",14.7,59,"NA"
111,"Jerald G Fishman","Analog Devices",14.25,"57.02",16.4,66,"112"
112,"Stephen A Roell","Johnson Controls",14.22,"57.8",22.8,62,"NA"
113,"Lawrence J Blanford","Green Mountain Coffee Roasters",14.22,"20.25",3.2,58,"NA"
114,"Merrill A Miller Jr","National Oilwell Varco",14.185,"39.15",51.5,61,"22"
115,"John P Daane","Altera",14.11,"45.75",20.5,48,"54"
116,"Michael B McCallister","Humana",14.1,"54.33",36.2,59,"62"
117,"Hans Helmerich","Helmerich & Payne",14.01,"43.75",50.8,53,"86"
118,"Scott A McGregor","Broadcom",14.005,"41.85",17.5,56,"153"
119,"Sanjay K Jha","Motorola Mobility Holdings",14.005,"NA",230.6,49,"NA"
120,"Rex W Tillerson","ExxonMobil",13.915,"54.2",151.3,59,"NA"
121,"Glen F Post III","CenturyLink",13.745,"46.49",36.8,59,"57"
122,"Gregory Q Brown","Motorola Solutions",13.7,"35.23",23,52,"NA"
123,"William C Rhodes III","AutoZone",13.46,"32.86",6.5,46,"7"
124,"David M Cordani","Cigna",13.4,"28.793",7.9,46,"NA"
125,"Kenneth W Lowe","Scripps Networks Interactive",13.365,"23.753",22.9,61,"NA"
126,"W James McNerney Jr","Boeing",13.36,"64.44",33.8,62,"179"
127,"Steven H Temares","Bed Bath & Beyond",13.3,"26.64",33.1,53,"90"
128,"Joseph A Carrabba","Cliffs Natural Resources",13.3,"37.83",14.8,59,"NA"
129,"James A Skinner","McDonald's",13.18,"72.79",31,67,"28"
130,"Richard H Anderson","Delta Air Lines",13.175,"20.932",17.9,56,"NA"
131,"Indra K Nooyi","PepsiCo",13.12,"65.51",20.3,56,"NA"
132,"David N Weidman","Celanese",13.02,"28.78",7.7,56,"67"
133,"James L Dolan","Cablevision Systems",12.975,"87.32",17.2,56,"124"
134,"Hugh Grant","Monsanto",12.84,"143.18",41,54,"122"
135,"James T Ryan","WW Grainger",12.75,"23.532",32.8,53,"NA"
136,"Michael J Kasbar","World Fuel Services",12.725,"NA",44.8,56,"NA"
137,"Leonard Bell","Alexion Pharmaceuticals",12.715,"34.52",167.8,53,"5"
138,"James A Rubright","Rock-Tenn",12.65,"54.57",25.5,65,"15"
139,"Surya N Mohapatra","Quest Diagnostics",12.575,"41.6",14.9,62,"158"
140,"Daniel C Ustian","Navistar International",12.51,"28.93",5.8,61,"146"
141,"Andrea Jung","Avon Products",12.015,"49.66",7.7,53,"190"
142,"Sandeep Mathrani","General Growth Properties",11.98,"NA",25.2,50,"NA"
143,"Thomas F Farrell II","Dominion Resources",11.96,"70.09",46.5,57,"93"
144,"Wesley G Bush","Northrop Grumman",11.7,"25.803",13.5,51,"NA"
145,"Alan B Miller","Universal Health Services",11.595,"51.36",302.8,74,"95"
146,"Patricia A Woertz","Archer Daniels Midland",11.5,"32.11",23,59,"NA"
147,"Robert F Moran","Petsmart",11.435,"25.173",6.7,61,"NA"
148,"John E McGlade","Air Products & Chemicals",11.36,"36.77",16.9,58,"NA"
149,"Scott C Donnelly","Textron",11.31,"18.273",1.9,50,"NA"
150,"John V Faraci","International Paper",11.315,"49.3",58.1,62,"148"
151,"James M Cracchiolo","Ameriprise Financial",11.17,"63.21",14.5,54,"94"
152,"James E Rohr","PNC Financial Services Group",11.14,"52.12",35.3,63,"81"
153,"John R Strangfeld Jr","Prudential Financial",11.13,"61.97",14.7,58,"NA"
154,"Thomas J Falk","Kimberly-Clark",10.98,"58.62",48.7,54,"185"
155,"James A C Kennedy","T Rowe Price Group",10.95,"56.35",172,59,"NA"
156,"Kenneth I Chenault","American Express",10.92,"86.57",60,60,"159"
157,"Kent J Thiry","DaVita",10.905,"111.23",16.2,56,"98"
158,"Virginia M Rometty","International Business Machines",10.886,"NA",40.5,55,"NA"
159,"Lamberto Andreotti","Bristol-Myers Squibb",10.85,"28.243",9.1,61,"NA"
160,"Mark G Parker","NIKE",10.83,"50.81",31,56,"46"
161,"Joseph C Papa","Perrigo",10.74,"24.35",11.5,56,"NA"
162,"Glenn M Renwick","Progressive",10.45,"47.39",68.7,56,"105"
163,"Jeffrey A Joerres","Manpower",10.45,"31.48",14.1,52,"119"
164,"Ronald L Havner Jr","Public Storage",10.45,"49.58",4.6,54,"34"
165,"Andrew N Liveris","Dow Chemical",10.415,"40.89",29.1,58,"192"
166,"James P Gorman","Morgan Stanley",10.395,"NA",21.9,52,"NA"
167,"Gary R Heminger","Marathon Petroleum",10.36,"NA",21,58,"NA"
168,"Charles W Moorman IV","Norfolk Southern",10.26,"33.4",24.6,60,"59"
169,"Terry J Lundgren","Macy's",10.025,"46.97",20,60,"144"
170,"Walter W Bettinger II","Charles Schwab",10.02,"26.362",7.7,51,"NA"
171,"Mel Karmazin","Sirius XM Radio",9.915,"34.03",20.2,69,"197"
172,"David W Nelms","Discover Financial Services",9.88,"63.95",32.3,51,"NA"
173,"Ellen J Kullman","EI du Pont de Nemours",9.73,"23.942",9.1,56,"NA"
174,"George L Chapman","Health Care REIT",9.735,"22.17",17.5,64,"16"
175,"Kevin S Crutchfield","Alpha Natural Resources",9.735,"NA",5,50,"NA"
176,"Stephen P Holmes","Wyndham Worldwide Corporation",9.7,"30.29",29.1,55,"NA"
177,"Sanjay Mehrotra","SanDisk",9.675,"NA",1.2,53,"NA"
178,"Sheldon G Adelson","Las Vegas Sands",9.565,"23.26",19207,78,"156"
179,"Mark P Frissora","Hertz Global Holdings",9.545,"39.16",31.2,56,"NA"
180,"Kevin Burke","Consolidated Edison",9.535,"24.8",15.1,61,"NA"
181,"Fabrizio Freda","Estee Lauder Cos",9.52,"17.783",0.6,54,"NA"
182,"Angela F Braly","WellPoint",9.495,"21.632",32.5,50,"NA"
183,"Debra A Cafaro","Ventas",9.495,"47.04",40.6,54,"16"
184,"Charles D Davidson","Noble Energy",9.42,"59.97",41.1,62,"40"
185,"Gregory L Ebel","Spectra Energy",9.41,"16.422",1.5,47,"NA"
186,"Brian D Jellison","Roper Industries",9.365,"48.4",97.5,66,"49"
187,"David J Neithercut","Equity Residential",9.335,"26.39",25.9,56,"NA"
188,"Lowell C McAdam","Verizon Communications",9.326,"NA",2.5,58,"NA"
189,"Ronald L Sargent","Staples",9.325,"70.59",35.3,56,"202"
190,"Joseph L Hooley","State Street",9.215,"NA",29,54,"NA"
191,"Paul S Otellini","Intel",9.155,"43.47",24.2,61,"NA"
192,"Kevin W Sharer","Amgen",9.15,"36.72",13.2,64,"180"
193,"John F Coyne","Western Digital",9.06,"55.33",33.1,62,"NA"
194,"Gregory B Maffei","Liberty Interactive Group",8.975,"28.75",10.1,51,"NA"
195,"James W Griffith","Timken",8.89,"30.12",19,58,"76"
196,"Bob Sasser","Dollar Tree",8.845,"23.35",8.9,60,"3"
197,"Gregory H Boyce","Peabody Energy",8.8,"85.3",6.3,57,"204"
198,"Timothy E Guertin","Varian Medical Systems",8.76,"39.18",7.7,63,"155"
199,"Peter R Huntsman","Huntsman",8.72,"33.16",75.3,49,"195"
200,"Blake W Nordstrom","Nordstrom",8.695,"24.87",117,51,"67"
201,"David M McClanahan","CenterPoint Energy",8.67,"26.39",16.7,62,"53"
202,"Alex Gorsky","Johnson & Johnson",8.646,"NA",4.3,51,"NA"
203,"James T Prokopanko","Mosaic",8.63,"23.58",5,58,"NA"
204,"Ian C Read","Pfizer",8.58,"17.343",19.5,59,"NA"
205,"Michael J Jackson","AutoNation",8.565,"29.46",2.9,63,"88"
206,"Darren R Jackson","Advance Auto Parts",8.515,"14.113",16.7,48,"NA"
207,"John Richels","Devon Energy",8.495,"NA",22.4,61,"NA"
208,"Paul C Varga","Brown-Forman",8.49,"28.32",8.1,48,"96"
209,"Emanuel Chirico","PVH",8.475,"23.91",2,54,"NA"
210,"Richard B Handler","Jefferies Group",8.305,"132.08",223.1,50,"189"
211,"Samuel R Allen","Deere & Co",8.3,"19.193",6.5,58,"NA"
212,"James D Taiclet Jr","American Tower",8.285,"43.42",2.5,51,"18"
213,"Thomas J Quinlan III","RR Donnelley & Sons",8.205,"21.78",6.7,49,"NA"
214,"Richard J Kramer","Goodyear Tire & Rubber",8.19,"NA",2.5,48,"NA"
215,"Michael T Strianese","L-3 Communications Holdings",8.16,"37.74",4,56,"NA"
216,"Joseph W Saunders","Visa",8.13,"37.1",18,49,"NA"
217,"Clayton M Jones","Rockwell Collins",8.09,"46.76",9.5,62,"126"
218,"John G Stumpf","Wells Fargo",7.93,"34.39",21,58,"NA"
219,"William P Utt","KBR",7.9,"27.46",5.2,55,"NA"
220,"David P King","Laboratory Corp of America",7.89,"26.11",16.3,55,"NA"
221,"Timothy J Naughton","Avalonbay Communities",7.865,"NA",18.7,50,"NA"
222,"John S Watson","Chevron",7.805,"NA",10.8,55,"NA"
223,"Kevin R Johnson","Juniper Networks",7.78,"21.442",7.4,51,"NA"
224,"Steven A Burd","Safeway",7.755,"84.54",26.1,62,"183"
225,"Jeffrey R Immelt","General Electric",7.75,"49.48",101.2,56,"200"
226,"Vikram S Pandit","Citigroup",7.72,"13.51",20.5,55,"NA"
227,"Howard R Levine","Family Dollar Stores",7.7,"24.14",543.6,53,"27"
228,"Michael R Splinter","Applied Materials",7.67,"24.75",11.7,61,"167"
229,"James J Murren","MGM Resorts International",7.655,"53.032",2.5,50,"NA"
230,"Timothy L Main","Jabil Circuit",7.58,"17.57",52.4,54,"171"
231,"Timothy A Leach","Concho Resources",7.485,"14.74",103.8,52,"NA"
232,"Leslie H Wexner","Limited Brands",7.47,"88.57",2380.5,74,"63"
233,"Thomas R Watjen","Unum Group",7.425,"29.26",18.3,57,"74"
234,"Gregory J Goff","Tesoro",7.39,"NA",4.7,55,"NA"
235,"John W Gibson","Oneok",7.37,"21.66",20.8,60,"NA"
236,"Kendall J Powell","General Mills",7.35,"29",21.4,58,"NA"
237,"Jeff M Fettig","Whirlpool",7.33,"45.16",42,55,"172"
238,"Richard K Smucker","JM Smucker",7.32,"35.47",0,64,"30"
239,"James J Volker","Whiting Petroleum",7.29,"NA",12.2,65,"NA"
240,"Richard P Wallace","KLA-Tencor",7.24,"21.89",4.4,52,"111"
241,"William R Klesse","Valero Energy",7.23,"53.83",25.4,65,"205"
242,"Mark B Templeton","Citrix Systems",7.215,"34.63",26.4,59,"75"
243,"D Scott Davis","United Parcel Service",7.2,"15.06",13.5,60,"NA"
244,"Thomas E Jorden","Cimarex Energy",7.115,"NA",15.7,54,"NA"
245,"Frits D van Paasschen","Starwood Hotels & Resorts",7.11,"32.12",0.1,50,"NA"
246,"John P Bilbrey","Hershey",7.05,"NA",0.6,55,"NA"
247,"Brian Duperreault","Marsh & McLennan Cos",7.045,"17.593",8.6,64,"NA"
248,"Robert H Benmosche","American International Group",7.025,"NA",2.6,68,"NA"
249,"Gary W Loveman","Caesars Entertainment",6.97,"28.02",3.4,51,"NA"
250,"Howard Solomon","Forest Laboratories",6.97,"87.07",36.2,84,"178"
251,"Arne N Sorenson","Marriott International",6.965,"NA",12.6,53,"NA"
252,"Wendell P Weeks","Corning",6.93,"60",5.5,52,"201"
253,"James F Flaherty III","HCP",6.93,"37.05",15.3,54,"25"
254,"Peter J Rose","Expeditors International of Washington",6.81,"69.04",51.3,69,"88"
255,"Jeffrey C Sprecher","IntercontinentalExchange",6.765,"115.67",204.6,57,"44"
256,"David T Seaton","Fluor",6.75,"NA",9.6,50,"NA"
257,"George S Barrett","Cardinal Health",6.69,"15.373",14,57,"NA"
258,"David M Wood","Murphy Oil",6.645,"24.083",5.3,54,"NA"
259,"Marshall O Larsen","Goodrich",6.62,"54.65",20,63,"11"
260,"Daniel R Hesse","Sprint Nextel",6.605,"22.452",5.2,59,"NA"
261,"Michael J Long","Arrow Electronics",6.59,"11.993",16.1,52,"NA"
262,"Michael I Roth","Interpublic Group of Cos",6.595,"27.57",17.7,66,"140"
263,"Richard K Davis","US Bancorp",6.58,"21.74",14.7,54,"NA"
264,"Enrique T Salem","Symantec",6.56,"16.263",5.1,46,"NA"
265,"Brad D Smith","Intuit",6.55,"19.59",9,48,"NA"
266,"Richard T O'Brien","Newmont Mining",6.52,"22.31",15.7,57,"NA"
267,"David Simon","Simon Property Group",6.515,"23.3",89.8,50,"12"
268,"Jack B Moore","Cameron International",6.46,"27.7",17.6,58,"NA"
269,"Carl H Lindner III","American Financial Group",6.445,"25.4",273.8,58,"49"
270,"Jeffery R Gardner","Windstream",6.405,"24.28",17.8,52,"NA"
271,"W Edward Walter","Host Hotels & Resorts",6.395,"12.512",23.9,56,"NA"
272,"Donald R Knauss","Clorox",6.37,"21.8",7.3,60,"NA"
273,"John T Gremp","FMC Technologies",6.25,"NA",8.5,61,"NA"
274,"John J Koraleski","Union Pacific",6.225,"NA",55.3,61,"NA"
275,"Anthony J Alexander","FirstEnergy",6.165,"43.04",20.4,60,"163"
276,"John A Luke Jr","MeadWestvaco",6.14,"23.57",18.9,63,"91"
277,"Murray D Martin","Pitney Bowes",6.12,"24.03",2.9,64,"NA"
278,"James P Rogers","Eastman Chemical",6.12,"15.543",10,61,"NA"
279,"William M Brown","Harris",6.1,"NA",0,49,"NA"
280,"Raymond W McDaniel Jr","Moody's",6.09,"28.86",6.6,54,"177"
281,"Shantanu Narayen","Adobe Systems",6.09,"28.39",7.6,48,"NA"
282,"Benjamin G S Fowke III","Xcel Energy",6.066,"NA",5.1,54,"NA"
283,"Lothar Maier","Linear Technology",6.06,"17.53",10.7,56,"116"
284,"Thomas C Gallagher","Genuine Parts",6.05,"20.12",27.2,64,"58"
285,"John A Hayes","Ball",6.02,"NA",21.7,46,"NA"
286,"Douglas R Oberhelman","Caterpillar",6.005,"NA",13.4,59,"NA"
287,"Ajay S Banga","MasterCard",5.985,"NA",0,52,"NA"
288,"Denis J Salamone","Hudson City Bancorp",5.976,"NA",15.4,59,"NA"
289,"Kenneth C Frazier","Merck & Co",5.935,"NA",8.3,57,"NA"
290,"Robert B Pollock","Assurant",5.915,"26.67",11.6,57,"NA"
291,"David B Speer","Illinois Tool Works",5.87,"24.18",9.7,61,"133"
292,"Steve Sanghi","Microchip Technology",5.84,"48.52",172,56,"63"
293,"Michael F Koehler","Teradata",5.83,"20.34",10.6,59,"NA"
294,"Jay M Gellert","Health Net",5.795,"33.68",36.3,58,"175"
295,"Gerald L Hassell","Bank of New York Mellon",5.776,"NA",21.6,60,"NA"
296,"Richard M Bracken","HCA Holdings",5.76,"42.643",16.9,59,"NA"
297,"W Craig Jelinek","Costco Wholesale",5.756,"NA",14.7,60,"NA"
298,"Michael D White","DirecTV",5.74,"NA",7.6,59,"NA"
299,"Stephen R Wilson","CF Industries Holdings",5.705,"49.07",25.4,63,"8"
300,"Francis S Blake","Home Depot",5.675,"19.81",31.3,62,"NA"
301,"Neil A Berkett","Virgin Media",5.675,"13.072",9,56,"NA"
302,"Jay L Johnson","General Dynamics",5.6,"14.613",20.9,65,"NA"
303,"Mark S McAndrew","Torchmark",5.6,"16.13",7.2,61,"61"
304,"Harold G Hamm","Continental Resources",5.495,"18.15",10771.5,66,"NA"
305,"Gerard M Anderson","DTE Energy",5.4,"NA",10.7,54,"NA"
306,"John P Wiehoff","CH Robinson Worldwide",5.38,"42.5",66.8,50,"37"
307,"Robert A Niblock","Lowe's Cos",5.355,"29.36",29.6,49,"174"
308,"Michael J Williams","Fannie Mae",5.3,"16.083",0.1,53,"NA"
309,"Ralph Izzo","Public Service Enterprise Group",5.27,"19.27",11.4,54,"NA"
310,"Kevin Mansell","Kohl's",5.27,"16.542",18.9,59,"NA"
311,"Robert Greifeld","Nasdaq OMX Group",5.255,"33.78",17.8,54,"141"
312,"David P Steiner","Waste Management",5.195,"25.01",17,51,"73"
313,"Douglas L Foshee","El Paso",5.195,"23.78",40.4,52,"19"
314,"David C Dvorak","Zimmer Holdings",5.11,"13.97",6.1,48,"NA"
315,"William D Johnson","Progress Energy",5.105,"18.462",17.6,58,"NA"
316,"Gregory L Henslee","O'Reilly Automotive",5.08,"20.88",3.9,51,"10"
317,"Robert A McDonald","Procter & Gamble",5.07,"17.393",12.9,58,"NA"
318,"Dennis R Glass","Lincoln National",5.045,"27.782",13.2,62,"NA"
319,"Ilene S Gordon","Corn Products International",5.025,"NA",10,58,"NA"
320,"Jeffrey M Ettinger","Hormel Foods",5.02,"23.68",7,53,"56"
321,"John A Bryant","Kellogg",4.97,"NA",8.1,46,"NA"
322,"Gregg L Engles","Dean Foods",4.95,"47.73",33.4,54,"203"
323,"Duncan L Niederauer","NYSE Euronext",4.915,"13.103",8.2,52,"NA"
324,"Robert G Wilmers","M&T Bank",4.86,"23.88",413.2,78,"NA"
325,"Mary A Wilderotter","Frontier Communications",4.855,"15.54",13,57,"125"
326,"Ralph W Babb Jr","Comerica",4.82,"22.35",17.7,63,"137"
327,"Robert J Hugin","Celgene",4.815,"NA",48,57,"NA"
328,"Lee K Boothby","Newfield Exploration",4.79,"12.403",2.4,50,"NA"
329,"Mark T Bertolini","Aetna",4.765,"NA",16.1,56,"NA"
330,"Klaus Kleinfeld","Alcoa",4.75,"18.722",2.1,54,"NA"
331,"Larry D Zimpleman","Principal Financial Group",4.72,"10.822",3.9,60,"NA"
332,"Liam E McGee","Hartford Financial Services",4.715,"NA",0,57,"NA"
333,"Mark G Papa","EOG Resources",4.695,"132.49",137.8,65,"102"
334,"N Thomas Linebarger","Cummins",4.656,"NA",16.7,49,"NA"
335,"Donald J Stebbins","Visteon",4.655,"11.233",16.2,54,"NA"
336,"Gary M Rodkin","ConAgra Foods",4.64,"31.07",16.4,60,"NA"
337,"John P Surma","US Steel",4.63,"33.9",6.4,57,"195"
338,"Martin H Richenhagen","AGCO",4.625,"24.78",20.9,60,"32"
339,"Thomas J Folliard","CarMax",4.61,"20.96",16.2,47,"NA"
340,"Hamid R Moghadam","Prologis",4.59,"11.2",131.3,55,"130"
341,"Matthew J Simoncini","Lear",4.585,"NA",0,51,"NA"
342,"A Greig Woodring","Reinsurance Group of America",4.445,"19.21",8.5,60,"72"
343,"W Benjamin Moreland","Crown Castle International",4.435,"21.433",42.6,48,"NA"
344,"J Paul Raines","GameStop",4.405,"NA",12.7,48,"NA"
345,"Martin S Craighead","Baker Hughes",4.396,"NA",5.6,52,"NA"
346,"Jeffery A Smisek","United Continental Holdings",4.365,"NA",5.5,58,"NA"
347,"Michael S Dell","Dell",4.355,"11.43",4762.5,47,"NA"
348,"Robert M Dutkowsky","Tech Data",4.345,"17.14",7.6,57,"NA"
349,"Donnie Smith","Tyson Foods",4.3,"10.213",4.2,53,"NA"
350,"Gregory D Wasson","Walgreen",4.3,"10.922",10,53,"NA"
351,"Clarence Otis Jr","Darden Restaurants",4.29,"23.11",12.9,56,"78"
352,"Kelly S King","BB&T",4.28,"11.362",7.5,63,"NA"
353,"Stephen D Steinour","Huntington Bancshares",4.28,"9.113",11.1,53,"NA"
354,"Pierre R Brondeau","FMC",4.27,"NA",11.9,55,"NA"
355,"Mark A Blinn","Flowserve",4.27,"14.373",12.7,50,"NA"
356,"Charles W Shivery","Northeast Utilities",4.26,"29.87",23.2,66,"43"
357,"Michael W Laphen","Computer Sciences",4.26,"23.67",5.2,61,"NA"
