"Date","Weight","Month","Year","Day of Week","Day of Year","Days since July 19, 2014"
5/20/2015,167.2,5,2015,"W",140,305
5/21/2015,,5,2015,"Th",141,306
5/22/2015,170,5,2015,"F",142,307
5/23/2015,169.2,5,2015,"Sa",143,308
5/24/2015,168,5,2015,"Su",144,309
5/25/2015,168,5,2015,"M",145,310
5/26/2015,167.6,5,2015,"T",146,311
5/27/2015,167.8,5,2015,"W",147,312
5/28/2015,,5,2015,"Th",148,313
5/29/2015,,5,2015,"F",149,314
5/30/2015,,5,2015,"Sa",150,315
5/31/2015,,5,2015,"Su",151,316
6/1/2015,,6,2015,"M",152,317
6/2/2015,,6,2015,"T",153,318
6/3/2015,172,6,2015,"W",154,319
6/4/2015,169.2,6,2015,"Th",155,320
6/5/2015,169.2,6,2015,"F",156,321
6/6/2015,170.2,6,2015,"Sa",157,322
6/7/2015,168.6,6,2015,"Su",158,323
6/8/2015,169.4,6,2015,"M",159,324
6/9/2015,168.2,6,2015,"T",160,325
6/10/2015,168.6,6,2015,"W",161,326
6/11/2015,168,6,2015,"Th",162,327
6/13/2015,169.6,6,2015,"Sa",164,329
6/14/2015,169.6,6,2015,"Su",165,330
6/15/2015,169.4,6,2015,"M",166,331
6/16/2015,,6,2015,"T",167,332
6/17/2015,,6,2015,"W",168,333
6/18/2015,169,6,2015,"Th",169,334
6/19/2015,167.8,6,2015,"F",170,335
6/20/2015,169.2,6,2015,"Sa",171,336
6/21/2015,171,6,2015,"Su",172,337
6/22/2015,169.4,6,2015,"M",173,338
6/23/2015,169,6,2015,"T",174,339
6/24/2015,168.2,6,2015,"W",175,340
6/26/2015,169.6,6,2015,"F",177,342
6/27/2015,170.4,6,2015,"Sa",178,343
6/28/2015,170.6,6,2015,"Su",179,344
6/29/2015,170,6,2015,"M",180,345
6/30/2015,169,6,2015,"T",181,346
7/1/2015,167.6,7,2015,"W",182,347
7/12/2015,170.8,7,2015,"Su",193,358
7/13/2015,169.6,7,2015,"M",194,359
7/14/2015,168.8,7,2015,"T",195,360
7/31/2015,167.8,7,2015,"F",212,377
8/1/2015,167.2,8,2015,"Sa",213,378
8/2/2015,166.4,8,2015,"Su",214,379
8/3/2015,167.4,8,2015,"M",215,380
8/4/2015,166.2,8,2015,"T",216,381
8/14/2015,170.6,8,2015,"F",226,391
8/15/2015,170.2,8,2015,"Sa",227,392
8/16/2015,168.4,8,2015,"Su",228,393
8/17/2015,168.8,8,2015,"M",229,394
8/18/2015,167.4,8,2015,"T",230,395
8/19/2015,167.8,8,2015,"W",231,396
8/20/2015,166,8,2015,"Th",232,397
8/21/2015,165.4,8,2015,"F",233,398
8/22/2015,166.8,8,2015,"Sa",234,399
8/23/2015,167.2,8,2015,"Su",235,400
8/24/2015,167.4,8,2015,"M",236,401
8/25/2015,166.4,8,2015,"T",237,402
8/26/2015,168,8,2015,"W",238,403
8/27/2015,170,8,2015,"Th",239,404
8/28/2015,170.4,8,2015,"F",240,405
8/29/2015,169.6,8,2015,"Sa",241,406
8/30/2015,168.4,8,2015,"Su",242,407
8/31/2015,167.8,8,2015,"M",243,408
9/1/2015,166.6,9,2015,"T",244,409
9/2/2015,167.2,9,2015,"W",245,410
9/3/2015,169,9,2015,"Th",246,411
9/4/2015,167.8,9,2015,"F",247,412
9/5/2015,169,9,2015,"Sa",248,413
9/6/2015,169.6,9,2015,"Su",249,414
9/7/2015,169.8,9,2015,"M",250,415
9/8/2015,170.8,9,2015,"T",251,416
9/9/2015,169,9,2015,"W",252,417
9/10/2015,168.4,9,2015,"Th",253,418
9/11/2015,170.8,9,2015,"F",254,419
9/12/2015,170.8,9,2015,"Sa",255,420
9/13/2015,171.4,9,2015,"Su",256,421
9/14/2015,168.8,9,2015,"M",257,422
9/15/2015,169,9,2015,"T",258,423
9/16/2015,169.6,9,2015,"W",259,424
9/17/2015,168.8,9,2015,"Th",260,425
9/18/2015,169.2,9,2015,"F",261,426
9/19/2015,170,9,2015,"Sa",262,427
9/20/2015,170.4,9,2015,"Su",263,428
9/21/2015,170.4,9,2015,"M",264,429
9/22/2015,169.2,9,2015,"T",265,430
9/23/2015,169.6,9,2015,"W",266,431
9/24/2015,169.6,9,2015,"Th",267,432
9/25/2015,169,9,2015,"F",268,433
9/26/2015,170.2,9,2015,"Sa",269,434
9/27/2015,168.4,9,2015,"Su",270,435
9/28/2015,169.4,9,2015,"M",271,436
9/29/2015,169.4,9,2015,"T",272,437
9/30/2015,169.4,9,2015,"W",273,438
10/1/2015,169.6,10,2015,"Th",274,439
10/2/2015,169.8,10,2015,"F",275,440
10/3/2015,168.8,10,2015,"Sa",276,441
10/4/2015,170,10,2015,"Su",277,442
10/5/2015,169.8,10,2015,"M",278,443
10/6/2015,169.8,10,2015,"T",279,444
10/7/2015,170.2,10,2015,"W",280,445
10/8/2015,171,10,2015,"Th",281,446
10/15/2015,171.4,10,2015,"Th",288,453
10/16/2015,170.6,10,2015,"F",289,454
10/17/2015,171.2,10,2015,"Sa",290,455
10/18/2015,171.4,10,2015,"Su",291,456
10/19/2015,171.4,10,2015,"M",292,457
10/20/2015,170.2,10,2015,"T",293,458
10/21/2015,169.4,10,2015,"W",294,459
10/26/2015,172.6,10,2015,"M",299,464
10/27/2015,171.4,10,2015,"T",300,465
10/28/2015,171.8,10,2015,"W",301,466
10/29/2015,,10,2015,"Th",302,467
10/30/2015,,10,2015,"F",303,468
10/31/2015,171.8,10,2015,"Sa",304,469
11/1/2015,172.6,11,2015,"Su",305,470
11/2/2015,172,11,2015,"M",306,471
11/3/2015,170.4,11,2015,"T",307,472
11/4/2015,171,11,2015,"W",308,473
11/15/2015,173.2,11,2015,"Su",319,484
11/16/2015,172,11,2015,"M",320,485
11/17/2015,171,11,2015,"T",321,486
11/18/2015,171.6,11,2015,"W",322,487
11/20/2015,170.8,11,2015,"F",324,489
11/21/2015,173.2,11,2015,"Sa",325,490
11/22/2015,172,11,2015,"Su",326,491
11/23/2015,173.2,11,2015,"M",327,492
11/24/2015,173.4,11,2015,"T",328,493
11/25/2015,172.6,11,2015,"W",329,494
11/26/2015,174.2,11,2015,"Th",330,495
11/27/2015,175.2,11,2015,"F",331,496
11/28/2015,175.4,11,2015,"Sa",332,497
11/29/2015,176.6,11,2015,"Su",333,498
11/30/2015,173.2,11,2015,"M",334,499
12/1/2015,173.2,12,2015,"T",335,500
12/2/2015,174.2,12,2015,"W",336,501
12/3/2015,174.8,12,2015,"Th",337,502
12/4/2015,174.4,12,2015,"F",338,503
12/5/2015,174.6,12,2015,"Sa",339,504
12/6/2015,174.2,12,2015,"Su",340,505
12/7/2015,176.4,12,2015,"M",341,506
12/8/2015,174.8,12,2015,"T",342,507
12/9/2015,174.4,12,2015,"W",343,508
12/10/2015,174,12,2015,"Th",344,509
12/11/2015,174.6,12,2015,"F",345,510
12/12/2015,175,12,2015,"Sa",346,511
12/13/2015,173.8,12,2015,"Su",347,512
12/14/2015,174.8,12,2015,"M",348,513
12/15/2015,174.6,12,2015,"T",349,514
12/16/2015,174,12,2015,"W",350,515
12/17/2015,175.6,12,2015,"Th",351,516
12/18/2015,173.2,12,2015,"F",352,517
12/21/2015,176.6,12,2015,"M",355,520
12/22/2015,175.4,12,2015,"T",356,521
12/23/2015,174.6,12,2015,"W",357,522
12/24/2015,173.6,12,2015,"Th",358,523
12/25/2015,175,12,2015,"F",359,524
12/26/2015,175.6,12,2015,"Sa",360,525
12/27/2015,174.6,12,2015,"Su",361,526
12/28/2015,174.4,12,2015,"M",362,527
12/29/2015,174.4,12,2015,"T",363,528
12/30/2015,176.8,12,2015,"W",364,529
12/31/2015,176.4,12,2015,"Th",365,530
1/1/2016,176.4,1,2016,"F",1,531
1/2/2016,176.8,1,2016,"Sa",2,532
1/3/2016,175.4,1,2016,"Su",3,533
1/4/2016,176.8,1,2016,"M",4,534
1/5/2016,174.2,1,2016,"T",5,535
1/6/2016,173.8,1,2016,"W",6,536
1/7/2016,174.4,1,2016,"Th",7,537
1/8/2016,176.2,1,2016,"F",8,538
1/9/2016,177.4,1,2016,"Sa",9,539
1/10/2016,175.4,1,2016,"Su",10,540
1/11/2016,175.6,1,2016,"M",11,541
1/12/2016,174.4,1,2016,"T",12,542
1/13/2016,175,1,2016,"W",13,543
1/14/2016,,1,2016,"Th",14,544
1/15/2016,,1,2016,"F",15,545
1/16/2016,174,1,2016,"Sa",16,546
1/17/2016,174,1,2016,"Su",17,547
1/18/2016,173.8,1,2016,"M",18,548
1/19/2016,174.2,1,2016,"T",19,549
1/20/2016,173.6,1,2016,"W",20,550
1/21/2016,175.4,1,2016,"Th",21,551
1/22/2016,174.8,1,2016,"F",22,552
1/23/2016,173,1,2016,"Sa",23,553
1/24/2016,174,1,2016,"Su",24,554
1/25/2016,174.6,1,2016,"M",25,555
1/26/2016,,1,2016,"T",26,556
1/27/2016,175,1,2016,"W",27,557
1/28/2016,173,1,2016,"Th",28,558
1/29/2016,172.8,1,2016,"F",29,559
1/30/2016,174,1,2016,"Sa",30,560
1/31/2016,174.2,1,2016,"Su",31,561
2/1/2016,172.6,2,2016,"M",32,562
2/2/2016,173.6,2,2016,"T",33,563
2/3/2016,172.2,2,2016,"W",34,564
2/4/2016,172.8,2,2016,"Th",35,565
2/5/2016,173.8,2,2016,"F",36,566
2/6/2016,172,2,2016,"Sa",37,567
2/7/2016,172.4,2,2016,"Su",38,568
2/8/2016,172.4,2,2016,"M",39,569
2/9/2016,170.6,2,2016,"T",40,570
2/10/2016,170.4,2,2016,"W",41,571
2/11/2016,170.4,2,2016,"Th",42,572
2/12/2016,170.4,2,2016,"F",43,573
2/13/2016,171.2,2,2016,"Sa",44,574
2/14/2016,171.8,2,2016,"Su",45,575
2/15/2016,172,2,2016,"M",46,576
2/16/2016,171,2,2016,"T",47,577
2/19/2016,169.6,2,2016,"F",50,580
2/20/2016,169.8,2,2016,"Sa",51,581
2/21/2016,169.8,2,2016,"Su",52,582
2/22/2016,169.8,2,2016,"M",53,583
2/23/2016,169.2,2,2016,"T",54,584
2/24/2016,170.2,2,2016,"W",55,585
2/25/2016,170.6,2,2016,"Th",56,586
2/26/2016,169.8,2,2016,"F",57,587
2/27/2016,171.6,2,2016,"Sa",58,588
2/28/2016,172,2,2016,"Su",59,589
2/29/2016,172.6,2,2016,"M",60,590
3/1/2016,170.6,3,2016,"T",61,591
3/2/2016,,3,2016,"W",62,592
3/3/2016,173.6,3,2016,"Th",63,593
3/4/2016,170.2,3,2016,"F",64,594
3/5/2016,171.2,3,2016,"Sa",65,595
3/6/2016,169.8,3,2016,"Su",66,596
3/7/2016,171.2,3,2016,"M",67,597
3/8/2016,171,3,2016,"T",68,598
3/9/2016,171.4,3,2016,"W",69,599
3/10/2016,171,3,2016,"Th",70,600
3/11/2016,170.2,3,2016,"F",71,601
3/12/2016,171.2,3,2016,"Sa",72,602
3/13/2016,171.6,3,2016,"Su",73,603
3/14/2016,171.4,3,2016,"M",74,604
3/15/2016,168.8,3,2016,"T",75,605
3/16/2016,170.6,3,2016,"W",76,606
3/17/2016,170.6,3,2016,"Th",77,607
3/18/2016,171,3,2016,"F",78,608
4/1/2016,172.8,4,2016,"F",92,622
4/2/2016,172.4,4,2016,"Sa",93,623
4/3/2016,171.4,4,2016,"Su",94,624
4/4/2016,170.8,4,2016,"M",95,625
4/5/2016,169,4,2016,"T",96,626
4/6/2016,169.4,4,2016,"W",97,627
4/7/2016,170,4,2016,"Th",98,628
4/11/2016,170.8,4,2016,"M",102,632
4/12/2016,171.8,4,2016,"T",103,633
4/13/2016,170.6,4,2016,"W",104,634
4/14/2016,169.8,4,2016,"Th",105,635
4/15/2016,170.6,4,2016,"F",106,636
4/16/2016,169.4,4,2016,"Sa",107,637
4/17/2016,171.6,4,2016,"Su",108,638
4/18/2016,170.2,4,2016,"M",109,639
4/19/2016,170.4,4,2016,"T",110,640
4/20/2016,,4,2016,"W",111,641
4/21/2016,171.4,4,2016,"Th",112,642
4/22/2016,,4,2016,"F",113,643
4/23/2016,,4,2016,"Sa",114,644
4/24/2016,,4,2016,"Su",115,645
4/25/2016,172.6,4,2016,"M",116,646
4/26/2016,171.4,4,2016,"T",117,647
4/27/2016,172.6,4,2016,"W",118,648
4/28/2016,170.6,4,2016,"Th",119,649
4/29/2016,170,4,2016,"F",120,650
4/30/2016,171.4,4,2016,"Sa",121,651
5/1/2016,172.4,5,2016,"Su",122,652
5/2/2016,170.8,5,2016,"M",123,653
5/3/2016,172.2,5,2016,"T",124,654
5/4/2016,171.6,5,2016,"W",125,655
5/5/2016,170.6,5,2016,"Th",126,656
5/6/2016,169.6,5,2016,"F",127,657
5/7/2016,170.6,5,2016,"Sa",128,658
5/8/2016,172.4,5,2016,"Su",129,659
5/9/2016,171.2,5,2016,"M",130,660
5/10/2016,171,5,2016,"T",131,661
5/11/2016,171.4,5,2016,"W",132,662
5/12/2016,171.2,5,2016,"Th",133,663
5/13/2016,171,5,2016,"F",134,664
5/14/2016,171,5,2016,"Sa",135,665
5/15/2016,,5,2016,"Su",136,666
5/16/2016,,5,2016,"M",137,667
5/17/2016,,5,2016,"T",138,668
5/18/2016,170.6,5,2016,"W",139,669
5/19/2016,171.2,5,2016,"Th",140,670
5/20/2016,169.2,5,2016,"F",141,671
5/21/2016,172.2,5,2016,"Sa",142,672
5/22/2016,171.2,5,2016,"Su",143,673
5/23/2016,170.6,5,2016,"M",144,674
5/24/2016,169.8,5,2016,"T",145,675
5/25/2016,169.8,5,2016,"W",146,676
5/26/2016,169.6,5,2016,"Th",147,677
5/27/2016,,5,2016,"F",148,678
5/28/2016,,5,2016,"Sa",149,679
5/29/2016,,5,2016,"Su",150,680
5/30/2016,171.6,5,2016,"M",151,681
5/31/2016,169.8,5,2016,"T",152,682
6/1/2016,168.6,6,2016,"W",153,683
6/2/2016,169.4,6,2016,"Th",154,684
6/3/2016,169.4,6,2016,"F",155,685
6/4/2016,171.4,6,2016,"Sa",156,686
6/5/2016,169.2,6,2016,"Su",157,687
6/6/2016,169.8,6,2016,"M",158,688
6/7/2016,171,6,2016,"T",159,689
6/8/2016,170.8,6,2016,"W",160,690
6/9/2016,171.6,6,2016,"Th",161,691
6/10/2016,171.2,6,2016,"F",162,692
6/11/2016,171.4,6,2016,"Sa",163,693
6/12/2016,171,6,2016,"Su",164,694
6/13/2016,170,6,2016,"M",165,695
6/14/2016,,6,2016,"T",166,696
6/15/2016,169.6,6,2016,"W",167,697
6/16/2016,169.2,6,2016,"Th",168,698
6/17/2016,167.6,6,2016,"F",169,699
6/18/2016,168.4,6,2016,"Sa",170,700
6/19/2016,168.8,6,2016,"Su",171,701
6/20/2016,168.2,6,2016,"M",172,702
6/21/2016,168.8,6,2016,"T",173,703
6/22/2016,167.8,6,2016,"W",174,704
6/23/2016,169,6,2016,"Th",175,705
6/24/2016,168.2,6,2016,"F",176,706
6/25/2016,167.6,6,2016,"Sa",177,707
6/26/2016,166.4,6,2016,"Su",178,708
6/27/2016,170.2,6,2016,"M",179,709
6/28/2016,167.4,6,2016,"T",180,710
6/29/2016,168.4,6,2016,"W",181,711
7/21/2016,164.6,7,2016,"Th",203,733
7/22/2016,164.2,7,2016,"F",204,734
7/23/2016,164.2,7,2016,"Sa",205,735
7/24/2016,165.2,7,2016,"Su",206,736
7/25/2016,166.2,7,2016,"M",207,737
7/26/2016,166.6,7,2016,"T",208,738
7/27/2016,165.8,7,2016,"W",209,739
8/6/2016,168.8,8,2016,"Sa",219,749
8/7/2016,167.6,8,2016,"Su",220,750
8/8/2016,165.8,8,2016,"M",221,751
8/9/2016,166,8,2016,"T",222,752
8/10/2016,166.2,8,2016,"W",223,753
8/11/2016,167,8,2016,"Th",224,754
8/12/2016,167,8,2016,"F",225,755
8/13/2016,167,8,2016,"Sa",226,756
8/14/2016,168.8,8,2016,"Su",227,757
8/15/2016,168.2,8,2016,"M",228,758
8/16/2016,165.8,8,2016,"T",229,759
8/17/2016,166,8,2016,"W",230,760
8/18/2016,166.2,8,2016,"Th",231,761
8/19/2016,166.6,8,2016,"F",232,762
8/20/2016,165.2,8,2016,"Sa",233,763
8/21/2016,166.6,8,2016,"Su",234,764
8/28/2016,167.2,8,2016,"Su",241,771
8/29/2016,167.2,8,2016,"M",242,772
