"Year","Winner","Chassis","Engine","Time_Hours","Speed_mph","Car_No","Start","Car_Name","Date","Distance","Qual_Speed","Race_Time","Hours","Minutes","Seconds"
1983,"Tom Sneva","March","Cosworth","3.08418333",162.117,5,4,"Texaco Star","29-May",500,203.68,"3:05:03.06",3,5,3.06
1984,"Rick Mears","March","Cosworth","3.05601667",163.612,6,3,"Pennzoil Z-7","27-May",500,207.84,"3:03:21.66",3,3,21.66
1985,"Danny Sullivan","March","Cosworth","3.26835",152.982,5,8,"Miller American","26-May",500,210.29,"3:16:06.06",3,16,6.06
1986,"Bobby Rahal","March","Cosworth","2.92874444",170.722,3,4,"Budweiser","31-May",500,213.55,"2:55:43.48",2,55,43.48
1987,"Al Unser","March","Cosworth","3.08309444",162.175,25,20,"Cummins/Holset Turbo","24-May",500,207.42,"3:04:59.14",3,4,59.14
1988,"Rick Mears","Penske","Chevrolet Indy","3.45283444",144.809,5,1,"Pennzoil Z-7","29-May",500,219.19,"3:27:10.204",3,27,10.204
1989,"Emerson Fittipaldi","Penske","Chevrolet Indy","2.98362472",167.581,20,3,"Marlboro","28-May",500,222.32,"2:59:01.049",2,59,1.049
1990,"Arie Luyendyk","Lola","Chevrolet Indy","2.68844556",185.981,30,3,"Domino's Pizza","27-May",500,223.304,"2:41:18.404",2,41,18.404
1991,"Rick Mears","Penske","Chevrolet Indy A","2.83355306",176.457,3,1,"Marlboro","26-May",500,224.113,"2:50:00.791",2,50,0.791
1992,"Al Unser Jr.","Galmer","Chevrolet Indy A","3.71809667",134.477,3,12,"Valvoline","24-May",500,222.989,"3:43:05.148",3,43,5.148
1993,"Emerson Fittipaldi","Penske","Chevrolet Indy C","3.18051667",157.207,4,9,"Marlboro","30-May",500,220.15,"3:10:49.860",3,10,49.86
1994,"Al Unser Jr.","Penske","Mercedes Benz","3.10805722",160.872,31,1,"Marlboro Penske","29-May",500,228.011,"3:06:29.006",3,6,29.006
1995,"Jacques Villeneuve","Reynard","Ford Cosworth XB","3.25487806",153.616,27,5,"Player's LTD/Team Green","28-May",500,228.39,"3:15:17.561",3,15,17.561
1996,"Buddy Lazier","Reynard","Ford Cosworth XB","3.37937583",147.956,91,5,"Hemelgarn Racing-Delta Faucet-Montana","26-May",500,231.46,"3:22:45.753",3,22,45.753
1997,"Arie Luyendyk","G Force","Oldsmobile Aurora","3.42871889",145.827,5,1,"Wavephore/Sprint PCS/Miller Lite/Provimi","26-27-May",500,218.263,"3:25:43.388",3,25,43.388
1998,"Eddie Cheever Jr.","Dallara","Oldsmobile Aurora","3.44459",145.155,51,17,"Rachel's Potato Chips","24-May",500,217.334,"3:26:40.524",3,26,40.524
1999,"Kenny Brack","Dallara","Oldsmobile Aurora","3.26421722",153.176,14,8,"A.J. Foyt PowerTeam Racing","30-May",500,222.659,"3:15:51.182",3,15,51.182
2000,"Juan Pablo Montoya","G Force","Oldsmobile","2.98317528",167.607,9,2,"Target","28-May",500,223.372,"2:58:59.431",2,58,59.431
2001,"Helio Castroneves","Dallara","Oldsmobile","3.53171667",141.574,68,11,"Marlboro Team Penske","27-May",500,224.142,"3:31:54.1800",3,31,54.18
2002,"Helio Castroneves","Dallara","Chevrolet","3.00301983",166.499,3,13,"Marlboro Team Penske","26-May",500,229.052,"3:00:10.8714",3,0,10.8714
2003,"Gil de Ferran","Panoz G Force","Toyota","3.19916364",156.291,6,10,"Marlboro Team Penske","25-May",500,228.633,"3:11:56.9891",3,11,56.9891
2004,"Buddy Rice","Panoz G Force","Honda","3.24867764",138.518,15,1,"Rahal-Letterman Argent/Pioneer","30-May",450,222.024,"3:14:55.2395",3,14,55.2395
2005,"Dan Wheldon","Dallara","Honda","3.17271361",157.603,26,16,"Klein Tools/Jim Beam","29-May",500,224.308,"3:10:21:0769",3,10,21.769
2006,"Sam Hornish Jr.","Dallara","Honda","3.18298861",157.085,6,1,"Marlboro Team Penske","28-May",500,228.985,"3:10:58.7590",3,10,58.759
2007,"Dario Franchitti","Dallara","Honda","2.73432244",151.774,27,3,"Canadian Club","27-May",415,225.191,"2:44:03.5608",2,44,3.5608
2008,"Scott Dixon","Dallara","Honda","3.48268867",143.567,9,1,"Target Chip Ganassi Racing","25-May",500,226.366,"3:28:57.6792",3,28,57.6792
2009,"Helio Castroneves","Dallara","Honda","3.32628964",150.318,3,1,"Team Penske","24-May",500,224.864,"3:19:34.6427",3,19,34.6427
2010,"Dario Franchitti","Dallara","Honda","3.09361475",161.623,10,3,"Target Chip Ganassi Racing","30-May",500,226.99,"3:05:37.0131",3,5,37.0131
2011,"Dan Wheldon","Dallara","Honda","2.93659075",170.265,98,6,"William Rast - Curb/Big Machine","30-May",500,226.49,"2:56:11.7267",2,56,11.7267
2012,"Dario Franchitti","Dallara","Honda","2.98090367",167.734,50,16,"Target Chip Ganassi Racing","30-May",500,223.582,"2:58:51.2532",2,58,51.2532
2013,"Tony Kanaan","Dallara","Chevrolet","2.66761614",187.433,11,12,"Hydroxycut KV Racing Technology-SH Racing","30-May",500,226.949,"2:40:03.4181",2,40,3.4181
2014,"Ryan Hunter-Reay","Dallara","Honda","2.68006403",186.563,28,19,"DHL Honda","25-May",500,229.719,"2:40:48.2305",2,40,48.2305
2015,"Juan Pablo Montoya","Dallara","Chevrolet","3.0990357",161.314,2,,,"24-May",500,,"3:05:56.5286",3,5,56.5286
2016,"Alexander Rossi","Dallara","Honda","3..00058",166.634,98,,,"29-May",500,,"3:00:02.0872",3,0,872
