"movie_title","director_name","title_year","duration","genre","gross","budget","imdb_score","classify_score","cast_total_facebook_likes"
"X-Men: The Last Stand ","Brett Ratner",2006,104,"Action",234360014,2.1e+08,6.8,"Average",21714
"Monsters University ","Dan Scanlon",2013,104,"Comedy",268488329,2e+08,7.3,"Hit",14863
"Transformers: Revenge of the Fallen ","Michael Bay",2009,150,"Action",402076689,2e+08,6,"Average",3218
"Transformers: Age of Extinction ","Michael Bay",2014,165,"Action",245428137,2.1e+08,5.7,"Average",3988
"Oz the Great and Powerful ","Sam Raimi",2013,130,"Adventure",234903076,2.15e+08,6.4,"Average",73441
"The Amazing Spider-Man 2 ","Marc Webb",2014,142,"Action",202853933,2e+08,6.7,"Average",28631
"TRON: Legacy ","Joseph Kosinski",2010,125,"Action",172051787,1.7e+08,6.8,"Average",25550
"Cars 2 ","John Lasseter",2011,106,"Comedy",191450875,2e+08,6.3,"Average",4482
"Green Lantern ","Martin Campbell",2011,123,"Action",116593191,2e+08,5.6,"Average",17657
"Toy Story 3 ","Lee Unkrich",2010,103,"Comedy",414984497,2e+08,8.3,"Hit",19085
"Terminator Salvation ","McG",2009,118,"Action",125320003,2e+08,6.6,"Average",27468
"Furious 7 ","James Wan",2015,140,"Action",350034110,1.9e+08,7.2,"Hit",79150
"World War Z ","Marc Forster",2013,123,"Action",202351611,1.9e+08,7,"Average",32392
"X-Men: Days of Future Past ","Bryan Singer",2014,149,"Action",233914986,2e+08,8,"Hit",91434
"Star Trek Into Darkness ","J.J. Abrams",2013,132,"Action",228756232,1.9e+08,7.8,"Hit",21411
"Jack the Giant Slayer ","Bryan Singer",2013,114,"Adventure",65171860,1.95e+08,6.3,"Average",1766
"The Great Gatsby ","Baz Luhrmann",2013,143,"Romance",144812796,1.05e+08,7.3,"Hit",29770
"Prince of Persia: The Sands of Time ","Mike Newell",2010,116,"Action",90755643,2e+08,6.6,"Average",16149
"Pacific Rim ","Guillermo del Toro",2013,131,"Action",101785482,1.9e+08,7,"Average",19166
"Transformers: Dark of the Moon ","Michael Bay",2011,154,"Action",352358779,1.95e+08,6.3,"Average",2593
"Indiana Jones and the Kingdom of the Crystal Skull ","Steven Spielberg",2008,122,"Action",317011114,1.85e+08,6.2,"Average",14959
"Brave ","Mark Andrews",2012,93,"Comedy",237282182,1.85e+08,7.2,"Hit",5005
"Star Trek Beyond ","Justin Lin",2016,122,"Action",130468626,1.85e+08,7.5,"Hit",1327
"WALL·E ","Andrew Stanton",2008,98,"Sci-Fi",223806889,1.8e+08,8.4,"Hit",2975
"Rush Hour 3 ","Brett Ratner",2007,91,"Action",140080850,1.4e+08,6.2,"Average",1125
"2012 ","Roland Emmerich",2009,158,"Action",166112167,2e+08,5.8,"Average",2144
"A Christmas Carol ","Robert Zemeckis",2009,96,"Drama",137850096,2e+08,6.8,"Average",48878
"Jupiter Ascending ","Lana Wachowski",2015,127,"Action",47375327,1.76e+08,5.4,"Average",47334
"The Legend of Tarzan ","David Yates",2016,110,"Action",124051759,1.8e+08,6.6,"Average",21175
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ","Andrew Adamson",2005,150,"Adventure",291709845,1.8e+08,6.9,"Average",1317
"X-Men: Apocalypse ","Bryan Singer",2016,144,"Action",154985087,1.78e+08,7.3,"Hit",49684
"The Dark Knight ","Christopher Nolan",2008,152,"Action",533316061,1.85e+08,9,"Hit",57802
"Up ","Pete Docter",2009,96,"Comedy",292979556,1.75e+08,8.3,"Hit",2635
"Monsters vs. Aliens ","Rob Letterman",2009,94,"Action",198332128,1.75e+08,6.5,"Average",2579
"Iron Man ","Jon Favreau",2008,126,"Action",318298180,1.4e+08,7.9,"Hit",39252
"Hugo ","Martin Scorsese",2011,126,"Drama",73820094,1.7e+08,7.5,"Hit",36017
"Wild Wild West ","Barry Sonnenfeld",1999,106,"Action",113745408,1.7e+08,4.8,"Average",15870
"The Mummy: Tomb of the Dragon Emperor ","Rob Cohen",2008,112,"Action",102176165,1.45e+08,5.2,"Average",9131
"Suicide Squad ","David Ayer",2016,123,"Action",161087183,1.75e+08,6.9,"Average",11287
"Evan Almighty ","Tom Shadyac",2007,96,"Comedy",100289690,1.75e+08,5.4,"Average",108016
"Edge of Tomorrow ","Doug Liman",2014,113,"Action",100189501,1.78e+08,7.9,"Hit",12652
"Waterworld ","Kevin Reynolds",1995,176,"Action",88246220,1.75e+08,6.1,"Average",1004
"G.I. Joe: The Rise of Cobra ","Stephen Sommers",2009,118,"Action",150167630,1.75e+08,5.8,"Average",26683
"Inside Out ","Pete Docter",2015,95,"Comedy",356454367,1.75e+08,8.3,"Hit",2944
"The Jungle Book ","Jon Favreau",2016,106,"Drama",362645141,1.75e+08,7.8,"Hit",32921
"Iron Man 2 ","Jon Favreau",2010,124,"Action",312057433,2e+08,7,"Average",48638
"Snow White and the Huntsman ","Rupert Sanders",2012,132,"Action",155111815,1.7e+08,6.1,"Average",72881
"Maleficent ","Robert Stromberg",2014,97,"Action",241407328,1.8e+08,7,"Average",15516
"Dawn of the Planet of the Apes ","Matt Reeves",2014,130,"Action",208543795,1.7e+08,7.6,"Hit",14363
"47 Ronin ","Carl Rinsch",2013,128,"Action",38297305,1.75e+08,6.3,"Average",20965
"Captain America: The Winter Soldier ","Anthony Russo",2014,136,"Action",259746958,1.7e+08,7.8,"Hit",36188
"Shrek Forever After ","Mike Mitchell",2010,93,"Comedy",238371987,1.65e+08,6.4,"Average",4628
"Tomorrowland ","Brad Bird",2015,130,"Action",93417865,1.9e+08,6.5,"Average",5046
"Big Hero 6 ","Don Hall",2014,102,"Action",222487711,1.65e+08,7.9,"Hit",2963
"Wreck-It Ralph ","Rich Moore",2012,101,"Comedy",189412677,1.65e+08,7.8,"Hit",4451
"The Polar Express ","Robert Zemeckis",2004,100,"Adventure",665426,1.65e+08,6.6,"Average",16264
"Independence Day: Resurgence ","Roland Emmerich",2016,120,"Action",102315545,1.65e+08,5.5,"Average",3233
"How to Train Your Dragon ","Dean DeBlois",2010,98,"Adventure",217387997,1.65e+08,8.2,"Hit",20453
"Terminator 3: Rise of the Machines ","Jonathan Mostow",2003,109,"Action",150350192,2e+08,6.4,"Average",1769
"Guardians of the Galaxy ","James Gunn",2014,121,"Action",333130696,1.7e+08,8.1,"Hit",32438
"Interstellar ","Christopher Nolan",2014,169,"Drama",187991439,1.65e+08,8.6,"Hit",31488
"Inception ","Christopher Nolan",2010,148,"Action",292568851,1.6e+08,8.8,"Hit",81115
"The Hobbit: An Unexpected Journey ","Peter Jackson",2012,182,"Adventure",303001229,1.8e+08,7.9,"Hit",9152
"The Fast and the Furious ","Rob Cohen",2001,106,"Action",144512310,3.8e+07,6.7,"Average",45327
"The Curious Case of Benjamin Button ","David Fincher",2008,166,"Romance",127490802,1.5e+08,7.8,"Hit",13333
"X-Men: First Class ","Matthew Vaughn",2011,132,"Action",146405371,1.6e+08,7.8,"Hit",50983
"The Hunger Games: Mockingjay - Part 2 ","Francis Lawrence",2015,137,"Sci-Fi",281666058,1.6e+08,6.6,"Average",81385
"The Sorcerer's Apprentice ","Jon Turteltaub",2010,109,"Action",63143812,1.5e+08,6.1,"Average",13388
"Poseidon ","Wolfgang Petersen",2006,98,"Action",60655503,1.6e+08,5.6,"Average",92456
"Alice Through the Looking Glass ","James Bobin",2016,113,"Adventure",76846624,1.7e+08,6.4,"Average",80806
"Shrek the Third ","Chris Miller",2007,93,"Comedy",320706665,1.6e+08,6.1,"Average",4705
"Warcraft ","Duncan Jones",2016,123,"Action",46978995,1.6e+08,7.3,"Hit",5505
"Terminator Genisys ","Alan Taylor",2015,126,"Action",89732035,1.55e+08,6.6,"Average",38873
"The Chronicles of Narnia: The Voyage of the Dawn Treader ","Michael Apted",2010,113,"Adventure",104383624,1.55e+08,6.3,"Average",764
"Pearl Harbor ","Michael Bay",2001,184,"Action",198539855,1.4e+08,6.1,"Average",5401
"Transformers ","Michael Bay",2007,144,"Action",318759914,1.5e+08,7.1,"Hit",2333
"Alexander ","Oliver Stone",2004,206,"Action",34293771,1.55e+08,5.5,"Average",24598
"Harry Potter and the Order of the Phoenix ","David Yates",2007,138,"Adventure",292000866,1.5e+08,7.5,"Hit",33433
"Harry Potter and the Goblet of Fire ","Mike Newell",2005,157,"Adventure",289994397,1.5e+08,7.6,"Hit",53413
"Hancock ","Peter Berg",2008,102,"Action",227946274,1.5e+08,6.4,"Average",21584
"I Am Legend ","Francis Lawrence",2007,104,"Drama",256386216,1.5e+08,7.2,"Hit",13076
"Charlie and the Chocolate Factory ","Tim Burton",2005,115,"Comedy",206456431,1.5e+08,6.7,"Average",57844
"Ratatouille ","Brad Bird",2007,111,"Comedy",206435493,1.5e+08,8,"Hit",4764
"Batman Begins ","Christopher Nolan",2005,128,"Action",205343774,1.5e+08,8.3,"Hit",59558
"Madagascar: Escape 2 Africa ","Eric Darnell",2008,89,"Action",179982968,1.5e+08,6.7,"Average",3285
"Night at the Museum: Battle of the Smithsonian ","Shawn Levy",2009,105,"Comedy",177243721,1.5e+08,5.9,"Average",54039
"X-Men Origins: Wolverine ","Gavin Hood",2009,119,"Action",179883016,1.5e+08,6.7,"Average",40054
"The Matrix Revolutions ","Lana Wachowski",2003,129,"Action",139259759,1.5e+08,6.7,"Average",1062
"Frozen ","Chris Buck",2013,102,"Comedy",400736600,1.5e+08,7.6,"Hit",2582
"The Matrix Reloaded ","Lana Wachowski",2003,138,"Action",281492479,1.5e+08,7.2,"Hit",534
"Thor: The Dark World ","Alan Taylor",2013,112,"Action",206360018,1.7e+08,7.1,"Hit",59803
"Mad Max: Fury Road ","George Miller",2015,120,"Action",153629485,1.5e+08,8.1,"Hit",40025
"Angels & Demons ","Ron Howard",2009,146,"Horror",133375846,1.5e+08,6.7,"Average",16948
"Thor ","Kenneth Branagh",2011,115,"Action",181015141,1.5e+08,7,"Average",60059
"Bolt ","Byron Howard",2008,96,"Comedy",114053579,1.5e+08,6.9,"Average",20007
"G-Force ","Hoyt Yeatman",2009,88,"Action",119420252,1.5e+08,5.1,"Average",2217
"Wrath of the Titans ","Jonathan Liebesman",2012,99,"Action",83640426,1.5e+08,5.8,"Average",16184
"Dark Shadows ","Tim Burton",2012,113,"Comedy",79711678,1e+08,6.2,"Average",80849
"Mission: Impossible - Rogue Nation ","Christopher McQuarrie",2015,131,"Action",195000874,1.5e+08,7.4,"Hit",21840
"The Wolfman ","Joe Johnston",2010,119,"Drama",61937495,1.5e+08,5.8,"Average",13071
"Bee Movie ","Steve Hickner",2007,91,"Comedy",126597121,1.5e+08,6.2,"Average",6576
"Kung Fu Panda 2 ","Jennifer Yuh Nelson",2011,90,"Action",165230261,1.5e+08,7.3,"Hit",21015
"The Last Airbender ","M. Night Shyamalan",2010,103,"Action",131564731,1.5e+08,4.2,"Average",2857
"Mission: Impossible III ","J.J. Abrams",2006,124,"Action",133382309,1.5e+08,6.9,"Average",34817
"White House Down ","Roland Emmerich",2013,131,"Action",73103784,1.5e+08,6.4,"Average",18204
"Mars Needs Moms ","Simon Wells",2011,88,"Action",21379315,1.5e+08,5.4,"Average",2652
"Flushed Away ","David Bowers",2006,85,"Comedy",64459316,1.49e+08,6.7,"Average",35161
"Pan ","Joe Wright",2015,111,"Adventure",34964818,1.5e+08,5.8,"Average",21393
"Mr. Peabody & Sherman ","Rob Minkoff",2014,92,"Comedy",111505642,1.45e+08,6.9,"Average",5810
"Troy ","Wolfgang Petersen",2004,196,"Adventure",133228348,1.75e+08,7.2,"Hit",17944
"Madagascar 3: Europe's Most Wanted ","Eric Darnell",2012,93,"Comedy",216366733,1.45e+08,6.9,"Average",2444
"Die Another Day ","Lee Tamahori",2002,133,"Action",160201106,1.42e+08,6.1,"Average",2538
"Ghostbusters ","Paul Feig",2016,116,"Action",118099659,1.44e+08,5.5,"Average",2097
"Armageddon ","Michael Bay",1998,153,"Action",201573391,1.4e+08,6.6,"Average",26029
"Men in Black II ","Barry Sonnenfeld",2002,88,"Action",190418803,1.4e+08,6.1,"Average",14823
"Beowulf ","Robert Zemeckis",2007,115,"Action",82161969,1.5e+08,6.3,"Average",31523
"Kung Fu Panda 3 ","Alessandro Carloni",2016,95,"Action",143523463,1.45e+08,7.2,"Hit",36095
"Mission: Impossible - Ghost Protocol ","Brad Bird",2011,133,"Action",209364921,1.45e+08,7.4,"Hit",21768
"Rise of the Guardians ","Peter Ramsey",2012,97,"Adventure",103400692,1.45e+08,7.3,"Hit",20645
"Fun with Dick and Jane ","Dean Parisot",2005,90,"Comedy",110332737,1e+08,6.1,"Average",1997
"The Last Samurai ","Edward Zwick",2003,154,"Action",111110575,1.4e+08,7.7,"Hit",11945
"Exodus: Gods and Kings ","Ridley Scott",2014,150,"Action",65007045,1.4e+08,6.1,"Average",26490
"Star Trek ","J.J. Abrams",2009,127,"Action",257704099,1.5e+08,8,"Hit",39284
"Spider-Man ","Sam Raimi",2002,121,"Action",403706375,1.39e+08,7.3,"Hit",40484
"How to Train Your Dragon 2 ","Dean DeBlois",2014,102,"Action",176997107,1.45e+08,7.9,"Hit",23378
"Gods of Egypt ","Alex Proyas",2016,126,"Action",31141074,1.4e+08,5.5,"Average",19769
"Stealth ","Rob Cohen",2005,121,"Action",31704416,1.35e+08,5,"Average",2705
"Watchmen ","Zack Snyder",2009,215,"Action",107503316,1.3e+08,7.7,"Hit",2530
"Lethal Weapon 4 ","Richard Donner",1998,127,"Action",129734803,1.4e+08,6.6,"Average",6171
"Hulk ","Ang Lee",2003,138,"Action",132122995,1.37e+08,5.7,"Average",1814
"G.I. Joe: Retaliation ","Jon M. Chu",2013,122,"Action",122512052,1.3e+08,5.8,"Average",31958
"Sahara ","Breck Eisner",2005,124,"Action",68642452,1.3e+08,6,"Average",13073
"Final Fantasy: The Spirits Within ","Hironobu Sakaguchi",2001,106,"Action",32131830,1.37e+08,6.4,"Average",15015
"Captain America: The First Avenger ","Joe Johnston",2011,124,"Action",176636816,1.4e+08,6.9,"Average",19761
"The World Is Not Enough ","Michael Apted",1999,128,"Action",126930660,1.35e+08,6.4,"Average",2037
"Master and Commander: The Far Side of the World ","Peter Weir",2003,138,"Action",93926386,1.5e+08,7.4,"Hit",1205
"The Twilight Saga: Breaking Dawn - Part 2 ","Bill Condon",2012,115,"Romance",292298923,1.2e+08,5.5,"Average",59177
"Happy Feet 2 ","George Miller",2011,100,"Comedy",63992328,1.35e+08,5.9,"Average",62644
"The Incredible Hulk ","Louis Leterrier",2008,135,"Action",134518390,1.5e+08,6.8,"Average",5811
"The BFG ","Steven Spielberg",2016,117,"Adventure",52792307,1.4e+08,6.8,"Average",1950
"The Revenant ","Alejandro G. Iñárritu",2015,156,"Drama",183635922,1.35e+08,8.1,"Hit",57108
"Turbo ","David Soren",2013,96,"Comedy",83024900,1.35e+08,6.5,"Average",17416
"Rango ","Gore Verbinski",2011,107,"Comedy",123207194,1.35e+08,7.2,"Hit",43291
"Penguins of Madagascar ","Eric Darnell",2014,92,"Comedy",83348920,1.32e+08,6.7,"Average",19963
"The Bourne Ultimatum ","Paul Greengrass",2007,115,"Action",227137090,1.1e+08,8.1,"Hit",17369
"Kung Fu Panda ","Mark Osborne",2008,92,"Action",215395021,1.3e+08,7.6,"Hit",12754
"Ant-Man ","Peyton Reed",2015,117,"Action",180191634,1.3e+08,7.4,"Hit",5730
"The Hunger Games: Catching Fire ","Francis Lawrence",2013,146,"Sci-Fi",424645577,1.3e+08,7.6,"Hit",49355
"Home ","Tim Johnson",2015,94,"Comedy",177343675,1.35e+08,6.7,"Average",17883
"War of the Worlds ","Steven Spielberg",2005,116,"Sci-Fi",234277056,1.32e+08,6.5,"Average",12758
"Bad Boys II ","Michael Bay",2003,147,"Action",138396624,1.3e+08,6.6,"Average",12954
"Puss in Boots ","Chris Miller",2011,90,"Action",149234747,1.3e+08,6.7,"Average",5046
"Salt ","Phillip Noyce",2010,101,"Action",118311368,1.1e+08,6.4,"Average",12406
"Noah ","Darren Aronofsky",2014,138,"Action",101160529,1.25e+08,5.8,"Average",32355
"The Adventures of Tintin ","Steven Spielberg",2011,107,"Action",77564037,1.35e+08,7.4,"Hit",4631
"Harry Potter and the Prisoner of Azkaban ","Alfonso Cuarón",2004,142,"Adventure",249358727,1.3e+08,7.8,"Hit",33284
"Australia ","Baz Luhrmann",2008,165,"Romance",49551662,1.3e+08,6.6,"Average",921
"After Earth ","M. Night Shyamalan",2013,100,"Action",60522097,1.3e+08,4.9,"Average",14168
"Dinosaur ","Eric Leighton",2000,82,"Horror",137748063,127500000,6.5,"Average",2945
"Night at the Museum: Secret of the Tomb ","Shawn Levy",2014,98,"Comedy",113733726,1.27e+08,6.2,"Average",53587
"Megamind ","Tom McGrath",2010,95,"Action",148337537,1.3e+08,7.3,"Hit",46120
"Harry Potter and the Sorcerer's Stone ","Chris Columbus",2001,159,"Adventure",317557891,1.25e+08,7.5,"Hit",13191
"R.I.P.D. ","Robert Schwentke",2013,96,"Action",33592415,1.3e+08,5.6,"Average",31549
"Pirates of the Caribbean: The Curse of the Black Pearl ","Gore Verbinski",2003,143,"Action",305388685,1.4e+08,8.1,"Hit",48184
"The Hunger Games: Mockingjay - Part 1 ","Francis Lawrence",2014,123,"Sci-Fi",337103873,1.25e+08,6.7,"Average",81385
"The Da Vinci Code ","Ron Howard",2006,174,"Horror",217536138,1.25e+08,6.6,"Average",16008
"Rio 2 ","Carlos Saldanha",2014,101,"Comedy",131536019,1.03e+08,6.4,"Average",1031
"X-Men 2 ","Bryan Singer",2003,134,"Action",214948780,1.1e+08,7.5,"Hit",20952
"Fast Five ","Justin Lin",2011,132,"Action",209805005,1.25e+08,7.3,"Hit",55345
"Sherlock Holmes: A Game of Shadows ","Guy Ritchie",2011,129,"Action",186830669,1.25e+08,7.5,"Hit",22403
"Clash of the Titans ","Louis Leterrier",2010,106,"Action",163192114,1.25e+08,5.8,"Average",18003
"Total Recall ","Paul Verhoeven",1990,113,"Action",119412921,6.5e+07,7.5,"Hit",1441
"The 13th Warrior ","John McTiernan",1999,102,"Action",32694788,8.5e+07,6.6,"Average",1815
"The Bourne Legacy ","Tony Gilroy",2012,135,"Action",113165635,1.25e+08,6.7,"Average",12175
"Batman & Robin ","Joel Schumacher",1997,125,"Action",107285004,1.25e+08,3.7,"Average",2699
"How the Grinch Stole Christmas ","Ron Howard",2000,110,"Comedy",260031035,1.23e+08,6,"Average",4146
"The Day After Tomorrow ","Roland Emmerich",2004,124,"Action",186739919,1.25e+08,6.4,"Average",20553
"Mission: Impossible II ","John Woo",2000,123,"Action",215397307,1.25e+08,6.1,"Average",11930
"The Perfect Storm ","Wolfgang Petersen",2000,130,"Action",182618434,1.4e+08,6.4,"Average",2684
"Fantastic 4: Rise of the Silver Surfer ","Tim Story",2007,92,"Action",131920333,1.3e+08,5.6,"Average",15302
"Life of Pi ","Ang Lee",2012,127,"Drama",124976634,1.2e+08,8,"Hit",2121
"Ghost Rider ","Mark Steven Johnson",2007,123,"Action",115802596,1.1e+08,5.2,"Average",14017
"Jason Bourne ","Paul Greengrass",2016,123,"Action",108521835,1.2e+08,7.1,"Hit",13752
"Charlie's Angels: Full Throttle ","McG",2003,107,"Action",100685880,1.2e+08,4.8,"Average",4046
"Prometheus ","Ridley Scott",2012,124,"Sci-Fi",126464904,1.3e+08,7,"Average",24098
"Stuart Little 2 ","Rob Minkoff",2002,77,"Comedy",64736114,1.2e+08,5.4,"Average",2682
"Elysium ","Neill Blomkamp",2013,109,"Action",93050117,1.15e+08,6.6,"Average",17689
"The Chronicles of Riddick ","David Twohy",2004,134,"Action",57637485,1.05e+08,6.7,"Average",17159
"RoboCop ","José Padilha",2014,117,"Action",58607007,1e+08,6.2,"Average",14161
"Speed Racer ","Lana Wachowski",2008,135,"Action",43929341,1.2e+08,6.1,"Average",902
"How Do You Know ","James L. Brooks",2010,121,"Comedy",30212620,1.2e+08,5.3,"Average",993
"Knight and Day ","James Mangold",2010,117,"Action",76418654,1.17e+08,6.3,"Average",12731
"Oblivion ","Joseph Kosinski",2013,124,"Action",89021735,1.2e+08,7,"Average",22004
"Star Wars: Episode III - Revenge of the Sith ","George Lucas",2005,140,"Action",380262555,1.13e+08,7.6,"Hit",44042
"Star Wars: Episode II - Attack of the Clones ","George Lucas",2002,142,"Action",310675583,1.15e+08,6.7,"Average",42990
"Monsters, Inc. ","Pete Docter",2001,92,"Comedy",289907418,1.15e+08,8.1,"Hit",15013
"The Wolverine ","James Mangold",2013,138,"Action",132550960,1.2e+08,6.7,"Average",23755
"Star Wars: Episode I - The Phantom Menace ","George Lucas",1999,136,"Action",474544677,1.15e+08,6.5,"Average",37723
"The Croods ","Kirk De Micco",2013,98,"Comedy",187165546,1.35e+08,7.3,"Hit",43286
"Windtalkers ","John Woo",2002,153,"Action",40911830,1.15e+08,6,"Average",15046
"The Huntsman: Winter's War ","Cedric Nicolas-Troyan",2016,120,"Action",47952020,1.15e+08,6.1,"Average",46719
"Teenage Mutant Ninja Turtles ","Jonathan Liebesman",2014,101,"Action",190871240,1.25e+08,5.9,"Average",2690
"Gravity ","Alfonso Cuarón",2013,91,"Drama",274084951,1e+08,7.8,"Hit",87
"Dante's Peak ","Roger Donaldson",1997,108,"Action",67155742,1.16e+08,5.8,"Average",1569
"Teenage Mutant Ninja Turtles: Out of the Shadows ","Dave Green",2016,112,"Action",81638674,1.35e+08,6.3,"Average",8306
"Fantastic Four ","Josh Trank",2015,100,"Action",56114221,1.2e+08,4.3,"Average",1261
"Night at the Museum ","Shawn Levy",2006,108,"Action",250863268,1.1e+08,6.4,"Average",55486
"San Andreas ","Brad Peyton",2015,114,"Action",155181732,1.1e+08,6.1,"Average",16718
"Tomorrow Never Dies ","Roger Spottiswoode",1997,119,"Action",125332007,1.1e+08,6.5,"Average",2958
"The Patriot ","Roland Emmerich",2000,142,"Action",113330342,1.1e+08,7.1,"Hit",19454
"Ocean's Twelve ","Steven Soderbergh",2004,125,"Horror",125531634,1.1e+08,6.4,"Average",19359
"Mr. & Mrs. Smith ","Doug Liman",2005,126,"Action",186336103,1.2e+08,6.5,"Average",22722
"Insurgent ","Robert Schwentke",2015,119,"Sci-Fi",129995817,1.1e+08,6.3,"Average",22622
"The Aviator ","Martin Scorsese",2004,170,"Drama",102608827,1.1e+08,7.5,"Hit",34582
"Gulliver's Travels ","Rob Letterman",2010,85,"Comedy",42776259,1.12e+08,4.9,"Average",1173
"The Green Hornet ","Michel Gondry",2011,119,"Action",98780042,1.2e+08,5.8,"Average",13391
"300: Rise of an Empire ","Noam Murro",2014,102,"Action",106369117,1.1e+08,6.2,"Average",10583
"The Smurfs ","Raja Gosnell",2011,103,"Comedy",142614158,1.1e+08,5.5,"Average",692
"Home on the Range ","Will Finn",2004,76,"Comedy",50026353,1.1e+08,5.4,"Average",13607
"Allegiant ","Robert Schwentke",2016,120,"Action",66002193,1.1e+08,5.8,"Average",12452
"Real Steel ","Shawn Levy",2011,127,"Action",85463309,1.1e+08,7.1,"Hit",22254
"The Smurfs 2 ","Raja Gosnell",2013,105,"Comedy",71017784,1.05e+08,5.4,"Average",914
"Speed 2: Cruise Control ","Jan de Bont",1997,121,"Action",48068396,1.6e+08,3.7,"Average",2027
"Ender's Game ","Gavin Hood",2013,114,"Action",61656849,1.1e+08,6.7,"Average",12908
"Live Free or Die Hard ","Len Wiseman",2007,129,"Action",134520804,1.1e+08,7.2,"Hit",13961
"The Lord of the Rings: The Fellowship of the Ring ","Peter Jackson",2001,171,"Action",313837577,9.3e+07,8.8,"Hit",22342
"Around the World in 80 Days ","Frank Coraci",2004,120,"Action",24004159,1.1e+08,5.8,"Average",3175
"Ali ","Michael Mann",2001,165,"Drama",58183966,1.07e+08,6.8,"Average",14196
"The Cat in the Hat ","Bo Welch",2003,82,"Comedy",100446895,1.09e+08,3.8,"Average",2762
"I, Robot ","Alex Proyas",2004,115,"Action",144795350,1.2e+08,7.1,"Hit",12068
"Kingdom of Heaven ","Ridley Scott",2005,194,"Action",47396698,1.3e+08,7.2,"Hit",19600
"Stuart Little ","Rob Minkoff",1999,84,"Comedy",140015224,1.33e+08,5.9,"Average",3382
"The Princess and the Frog ","Ron Clements",2009,97,"Romance",104374107,1.05e+08,7.1,"Hit",2480
"The Martian ","Ridley Scott",2015,151,"Drama",228430993,1.08e+08,8.1,"Hit",14831
