Band,Species,Sex,First adult year,Last Year,Weight (g),Wing (mm),Tarsus (mm),Beak Length (mm),Beak Depth (mm),Beak Width (mm),,,,Sources: 
428,Geospiza fortis,female,1975,1977,17,72,20.1,11.6,10.2,9,,,,
452,Geospiza fortis,unknown,1975,1977,15,68,20,10.5,8.9,8.5,,,,
456,Geospiza fortis,male,1973,1977,16.5,68.9,18.5,10.2,9.6,8.7,,,,
457,Geospiza fortis,unknown,1975,1977,14.75,64.2,17.05,9.7,7.85,7.55,,,,
458,Geospiza fortis,male,1973,1977,16,73,19.6,11.1,9.6,8.9,,,,
461,Geospiza fortis,female,1975,1977,17,68,20,11.1,9.8,8.6,,,,
462,Geospiza fortis,male,1973,1977,15,68,19.6,10.2,8.8,8.2,,,,
468,Geospiza fortis,male,1975,1977,16,68,19,10.8,9,8.2,,,,
503,Geospiza fortis,unknown,1975,1977,14.5,65,18.9,10,9.1,8.6,,,,
506,Geospiza fortis,female,1975,1977,17,69,18.6,11.1,9.2,8.9,,,,
507,Geospiza fortis,male,1973,1977,16,70,19,10.3,8.8,8.1,,,,
509,Geospiza fortis,male,1973,1977,17,70,20,11.1,9.2,9,,,,
511,Geospiza fortis,male,1975,1977,14.5,66,19.1,10.5,8.8,8.5,,,,
512,Geospiza fortis,unknown,1975,1977,15.5,67,20.3,11,9.4,8.7,,,,
519,Geospiza fortis,male,1973,1977,14.5,67,19.1,10,8.3,7.9,,,,
522,Geospiza fortis,female,1975,1977,15.5,66,18.2,10.3,8.4,8,,,,
561,Geospiza fortis,unknown,1975,1977,16.5,70,20,11.7,10.2,8.9,,,,
564,Geospiza fortis,unknown,1975,1977,14,66,18.8,10.2,9.3,8.2,,,,
605,Geospiza fortis,unknown,1975,1977,15.5,71,19.9,10.9,10.2,8.9,,,,
609,Geospiza fortis,male,1975,1977,16.5,69,19.6,11.9,10.5,9,,,,
610,Geospiza fortis,male,1975,1977,14,66,18.8,10.2,9,8.3,,,,
611,Geospiza fortis,female,1975,1977,16,66,18.9,10.5,9.8,9.1,,,,
619,Geospiza fortis,unknown,1975,1977,14,65,18,10.5,9.3,8.5,,,,
621,Geospiza fortis,male,1973,1977,15.5,67,18.5,9.8,7.6,7.8,,,,
674,Geospiza fortis,male,1973,1977,18.5,70,20.5,11.8,10.5,9.3,,,,
676,Geospiza fortis,male,1975,1977,17,72,20,11,9.7,8.9,,,,
687,Geospiza fortis,unknown,1975,1977,14,66,18.9,10.3,8.6,7.8,,,,
309,Geospiza fortis,male,1973,1978,18,71,20.2,11.5,9.8,9.2,,,,
560,Geospiza fortis,unknown,1975,1978,14,67,19.1,10.2,8.5,8.2,,,,
572,Geospiza fortis,unknown,1975,1978,18,70,20.2,12.1,10.3,9.2,,,,
618,Geospiza fortis,female,1975,1978,17.5,68,20.7,11.6,9.9,8.8,,,,
623,Geospiza fortis,female,1975,1978,15,67,19,10.3,8.8,8.3,,,,
673,Geospiza fortis,male,1973,1978,18,72,19,11.4,10.1,9.3,,,,
685,Geospiza fortis,unknown,1975,1978,14.5,67,18,8.7,8.2,8,,,,
891,Geospiza fortis,unknown,1975,1978,15,65,18.6,9.9,8,7.9,,,,
931,Geospiza fortis,unknown,1975,1978,14.5,65,19.6,10.2,8.9,8.1,,,,
943,Geospiza fortis,male,1975,1978,15,66,19.3,10.3,9.1,8.3,,,,
1452,Geospiza fortis,unknown,1976,1978,16.24,68.19,18.47,11.43,9.8,8.5,,,,
1477,Geospiza fortis,unknown,1976,1978,17.34,70.19,20.57,11.93,10.1,9.5,,,,
1528,Geospiza fortis,male,1976,1978,17.09,68.19,19.32,11.03,8.55,8.1,,,,
1587,Geospiza fortis,male,1976,1978,17.64,72.19,20.57,10.63,9.3,9,,,,
1592,Geospiza fortis,unknown,1976,1978,17.24,71.19,18.87,10.83,10,9.6,,,,
1599,Geospiza fortis,male,1976,1978,18.04,72.19,19.77,11.23,10.7,9.3,,,,
1635,Geospiza fortis,male,1976,1978,15.84,68.19,20.07,11.23,9.1,8.1,,,,
1643,Geospiza fortis,unknown,1976,1978,15.24,65.19,20.17,10.23,8.8,8.4,,,,
1850,Geospiza fortis,female,1976,1978,16.14,66.19,19.07,11.63,10.4,8.9,,,,
1861,Geospiza fortis,male,1976,1978,20.19,72.69,19.32,12.23,10.7,9.95,,,,
1884,Geospiza fortis,male,1973,1978,16.24,67.69,17.97,11.03,9.15,8.55,,,,
1919,Geospiza fortis,male,1976,1978,21.24,72.19,19.47,11.13,11.2,9.4,,,,
2206,Geospiza fortis,male,1976,1978,17.44,72.19,20.07,10.93,10.5,8.9,,,,
2211,Geospiza fortis,unknown,1976,1978,16.94,70.19,19.27,11.03,9.7,8.8,,,,
2226,Geospiza fortis,unknown,1976,1978,14.74,65.19,18.27,10.23,8.9,8.3,,,,
2887,Geospiza fortis,female,1976,1978,17.34,69.19,19.07,11.33,10.1,9.4,,,,
8136,Geospiza fortis,unknown,1976,1978,15.54,68.19,18.07,10.03,8.9,8,,,,
616,Geospiza fortis,male,1975,1979,19,70,20,10.7,9.6,8.8,,,,
1248,Geospiza fortis,male,1976,1979,15.4,66,19.5,10,8.5,8.3,,,,
2210,Geospiza fortis,male,1976,1979,16.34,68.01,18.96,12.43,10.08,8.54,,,,
2242,Geospiza fortis,male,1976,1979,15.41,72.94,18.26,11.09,9.45,8.03,,,,
2939,Geospiza fortis,unknown,1973,1979,15.37,67.95,19.41,9.63,8.31,7.72,,,,
354,Geospiza fortis,female,1975,1980,17.5,67,20.3,11.6,9.8,9.1,,,,
678,Geospiza fortis,male,1973,1980,16.5,71,18.2,11.3,9.7,8.3,,,,
1418,Geospiza fortis,male,1976,1980,17.94,71.01,18.76,12.13,10.38,9.24,,,,
1426,Geospiza fortis,female,1976,1980,21.22,71.45,21.01,12.03,10.61,10.07,,,,
1527,Geospiza fortis,female,1976,1980,17.04,68.01,18.46,10.63,8.38,8.14,,,,
1659,Geospiza fortis,male,1976,1980,17.74,71.01,19.16,11.83,10.78,9.34,,,,
2244,Geospiza fortis,male,1976,1980,18.87,71.95,20.16,12.43,11.01,9.77,,,,
2249,Geospiza fortis,male,1976,1980,18.44,74.01,20.06,12.73,10.68,9.74,,,,
2940,Geospiza fortis,female,1976,1980,15.14,70.01,17.86,10.33,8.78,8.14,,,,
3642,Geospiza fortis,male,1973,1980,17.84,71.01,19.16,11.03,10.28,9.04,,,,
8191,Geospiza fortis,male,1976,1980,19.63,70.41,20.81,12.53,10.86,9.62,,,,
1019,Geospiza fortis,male,1976,1981,20.82,70.45,19.86,12.13,11.21,9.87,,,,
1372,Geospiza fortis,female,1976,1981,16.64,69.01,18.16,10.43,9.48,8.54,,,,
1797,Geospiza fortis,male,1976,1982,16.67,69.45,19.21,10.53,9.31,8.37,,,,
2378,Geospiza fortis,male,1976,1981,18.07,70.95,21.06,11.23,9.86,8.67,,,,
8190,Geospiza fortis,unknown,1976,1981,15.6,69.47,18.36,11.23,9.28,8.24,,,,
316,Geospiza fortis,male,1973,1982,17.55,67.5,19.55,10.9,9.85,9.2,,,,
710,Geospiza fortis,male,1975,1982,15,69,19,10.5,10,8.7,,,,
