All data provided by EQUIBASE -  http://www.equibase.com/,,,,,,,,,,
North American Thoroughbred Racing Starters - Trainer - Dirt/All Weather Surfaces,,,,,,,,,,
,,,,,,,,,,
Trainer Name,Starts,Starters,1st,2nd,3rd,Total $,Per Start $,Win %,Top 3 %,Racing Date
Kathleen A. Demasi,270,83,43,51,38,"$1,233,346 ","$4,568 ",16%,49%,2016
Greg Tracy,320,79,91,59,49,"$1,231,981 ","$3,850 ",28%,62%,2016
Flint W. Stites,468,86,56,65,70,"$1,230,247 ","$2,629 ",12%,41%,2016
"Ollie L. Figgins, III",345,75,73,48,43,"$1,227,363 ","$3,558 ",21%,48%,2016
David Fawkes,102,48,22,13,14,"$1,219,815 ","$11,959 ",22%,48%,2016
Gregory D. Sacco,240,75,36,45,21,"$1,219,082 ","$5,080 ",15%,43%,2016
Scott E. Young,324,84,67,52,48,"$1,218,972 ","$3,762 ",21%,52%,2016
Sid C. Attard,154,50,27,22,20,"$1,204,218 ","$7,820 ",18%,45%,2016
Thomas Morley,118,52,16,10,13,"$1,200,363 ","$10,173 ",14%,33%,2016
"Ed Moger, Jr.",368,82,56,63,57,"$1,199,896 ","$3,261 ",15%,48%,2016
John F. Martin,373,119,112,73,66,"$1,198,542 ","$3,213 ",30%,67%,2016
Michael J. Doyle,177,43,28,30,19,"$1,193,287 ","$6,742 ",16%,44%,2016
Kellyn Gorder,184,63,33,30,21,"$1,168,961 ","$6,353 ",18%,46%,2016
"Robert E. Reid, Jr.",169,36,22,32,24,"$1,166,990 ","$6,905 ",13%,46%,2016
Gary P. Gullo,164,66,32,22,26,"$1,160,537 ","$7,076 ",20%,49%,2016
Brendan P. Walsh,131,53,26,15,19,"$1,154,011 ","$8,809 ",20%,46%,2016
Brian A. Lynch,103,50,18,11,16,"$1,150,350 ","$11,168 ",17%,44%,2016
Gerald E. Brooks,304,68,51,58,42,"$1,148,804 ","$3,779 ",17%,50%,2016
Joseph M. Foster,409,103,66,65,62,"$1,144,395 ","$2,798 ",16%,47%,2016
Juan Carlos Guerrero,175,39,40,29,33,"$1,143,204 ","$6,533 ",23%,58%,2016
Cathal A. Lynch,186,61,32,33,32,"$1,121,089 ","$6,027 ",17%,52%,2016
Claude R. McGaughey III,88,40,15,13,10,"$1,108,606 ","$12,598 ",17%,43%,2016
Gary Sherlock,142,28,18,19,21,"$1,106,637 ","$7,793 ",13%,41%,2016
Kelly R. Von Hemel,199,56,38,32,27,"$1,103,448 ","$5,545 ",19%,49%,2016
Kristin Mulhall,183,55,33,23,29,"$1,098,639 ","$6,003 ",18%,46%,2016
Francisco Bravo,269,76,47,42,35,"$1,097,686 ","$4,081 ",17%,46%,2016
Norman McKnight,184,44,55,30,21,"$1,093,078 ","$5,941 ",30%,58%,2016
Eoin G. Harty,164,54,39,25,23,"$1,086,838 ","$6,627 ",24%,53%,2016
Dale Capuano,231,60,49,41,41,"$1,086,057 ","$4,702 ",21%,57%,2016
Jose Pinchin,88,22,12,10,15,"$1,076,872 ","$12,237 ",14%,42%,2016
Stanley I. Gold,102,35,18,9,19,"$1,076,833 ","$10,557 ",18%,45%,2016
Barclay Tagg,71,22,13,14,11,"$1,070,568 ","$15,078 ",18%,54%,2016
"Michael W. Salvaggio, Jr.",227,48,36,47,39,"$1,059,955 ","$4,669 ",16%,54%,2016
Timothy C. Grams,281,47,58,53,35,"$1,053,659 ","$3,750 ",21%,52%,2016
Anthony J. Granitz,177,43,33,28,33,"$1,052,042 ","$5,944 ",19%,53%,2016
Reade Baker,163,53,21,22,17,"$1,039,871 ","$6,380 ",13%,37%,2016
Neil J. Howard,101,34,11,11,23,"$1,039,465 ","$10,292 ",11%,45%,2016
Simon Callaghan,63,30,13,13,6,"$1,029,860 ","$16,347 ",21%,51%,2016
Steven Miyadi,237,82,38,53,36,"$1,022,966 ","$4,316 ",16%,54%,2016
Bart G. Hone,276,72,61,53,42,"$1,022,911 ","$3,706 ",22%,57%,2016
Hugh I. McMahon,233,79,47,41,28,"$1,018,150 ","$4,370 ",20%,50%,2016
Mike Puype,198,84,35,27,22,"$1,013,957 ","$5,121 ",18%,42%,2016
Maximo Gomez,724,115,112,136,108,"$1,011,709 ","$1,397 ",15%,49%,2016
William E. Morey,276,86,53,61,37,"$1,011,678 ","$3,666 ",19%,55%,2016
Steve Manley,358,62,65,54,51,"$1,010,130 ","$2,822 ",18%,47%,2016
Michael S. Ferraro,327,57,71,69,45,"$1,007,312 ","$3,080 ",22%,57%,2016
Jeffrey S. Englehart,315,45,69,57,60,"$1,002,976 ","$3,184 ",22%,59%,2016
Wayne Potts,452,132,58,65,74,"$1,002,318 ","$2,218 ",13%,44%,2016
Timothy E. Martin,437,90,49,52,56,"$995,983 ","$2,279 ",11%,36%,2016
Phil Schoenthal,145,42,34,27,14,"$991,036 ","$6,835 ",23%,52%,2016
"Robert N. Falcone, Jr.",71,28,10,11,8,"$990,011 ","$13,944 ",14%,41%,2016
Ron G. Potts,246,48,42,41,37,"$978,172 ","$3,976 ",17%,49%,2016
Steve Klesaris,145,47,25,24,19,"$977,939 ","$6,744 ",17%,47%,2016
Nabu Morales,311,54,71,68,35,"$976,404 ","$3,140 ",23%,56%,2016
Bernard S. Flint,154,40,29,23,15,"$963,557 ","$6,257 ",19%,44%,2016
"Henry B. Johnson, Jr.",252,61,39,39,38,"$961,701 ","$3,816 ",15%,46%,2016
Boyd Caster,243,57,36,31,33,"$958,814 ","$3,946 ",15%,41%,2016
Brett A. Brinkman,273,67,46,29,30,"$958,303 ","$3,510 ",17%,38%,2016
William B. Bradley,191,63,33,28,19,"$954,155 ","$4,996 ",17%,42%,2016
Keith G. Bourgeois,173,67,36,34,25,"$936,899 ","$5,416 ",21%,55%,2016
John C. Kimmel,94,32,13,11,16,"$934,617 ","$9,943 ",14%,43%,2016
Jon G. Arnett,312,74,52,57,39,"$930,200 ","$2,981 ",17%,47%,2016
Michael E. Hushion,94,38,15,17,8,"$929,528 ","$9,889 ",16%,43%,2016
"Rodrigo Madrigal, Sr.",255,54,34,34,37,"$927,010 ","$3,635 ",13%,41%,2016
Hamilton A. Smith,170,55,28,17,26,"$926,117 ","$5,448 ",16%,42%,2016
William Spawr,134,41,25,24,24,"$919,433 ","$6,861 ",19%,54%,2016
Carlos F. Martin,99,39,20,21,14,"$919,199 ","$9,285 ",20%,56%,2016
Ron Faucheux,162,53,35,33,19,"$915,069 ","$5,649 ",22%,54%,2016
M. Anthony Ferraro,359,54,74,50,43,"$907,353 ","$2,527 ",21%,47%,2016
Vladimir Cerin,138,28,21,26,23,"$907,293 ","$6,575 ",15%,51%,2016
Gary Capuano,117,33,29,18,12,"$902,499 ","$7,714 ",25%,50%,2016
Anthony W. Dutrow,136,57,13,15,14,"$901,126 ","$6,626 ",10%,31%,2016
Frank Lucarelli,364,90,49,52,64,"$900,220 ","$2,473 ",13%,45%,2016
Greg Green,282,71,53,40,38,"$898,524 ","$3,186 ",19%,46%,2016
R. Gary Patrick,375,67,39,49,52,"$891,769 ","$2,378 ",10%,37%,2016
Michael A. Tomlinson,128,38,14,19,21,"$889,036 ","$6,946 ",11%,42%,2016
Jose Corrales,243,62,41,36,31,"$884,249 ","$3,639 ",17%,44%,2016
Wesley E. Hawley,122,34,22,19,12,"$883,380 ","$7,241 ",18%,43%,2016
Jeffrey Metz,478,116,70,81,60,"$878,470 ","$1,838 ",15%,44%,2016
Brandon L. Kulp,251,75,57,45,33,"$871,978 ","$3,474 ",23%,54%,2016
Guadalupe Preciado,142,33,22,20,16,"$871,206 ","$6,135 ",15%,41%,2016
Clinton C. Stuart,156,39,29,22,18,"$865,863 ","$5,550 ",19%,44%,2016
J. Eric Kruljac,290,80,51,45,57,"$864,105 ","$2,980 ",18%,53%,2016
Miguel L. Hernandez,292,43,57,43,37,"$860,394 ","$2,947 ",20%,47%,2016
Kim Hammond,218,60,42,40,29,"$859,321 ","$3,942 ",19%,51%,2016
Jonathan Wong,237,97,64,42,35,"$850,213 ","$3,587 ",27%,59%,2016
Thomas F. Proctor,117,55,20,24,14,"$841,395 ","$7,191 ",17%,50%,2016
Paul J. McGee,75,17,14,11,14,"$817,482 ","$10,900 ",19%,52%,2016
James T. Ryerson,165,47,12,25,21,"$811,413 ","$4,918 ",7%,35%,2016
Genaro Garcia,324,91,46,43,39,"$807,222 ","$2,491 ",14%,40%,2016
Ronald W. Ellis,98,40,24,9,12,"$805,035 ","$8,215 ",24%,46%,2016
Allen Landry,267,58,34,31,37,"$805,015 ","$3,015 ",13%,38%,2016
"Efren Loza, Jr.",100,35,32,21,13,"$804,135 ","$8,041 ",32%,66%,2016
Don Von Hemel,73,18,13,18,9,"$799,224 ","$10,948 ",18%,55%,2016
Kevin S. Patterson,134,33,60,20,21,"$796,217 ","$5,942 ",45%,75%,2016
Kenny P. Smith,256,64,36,32,20,"$795,776 ","$3,109 ",14%,34%,2016
Miguel Penaloza,183,51,29,21,23,"$795,485 ","$4,347 ",16%,40%,2016
William D. Cowans,164,55,39,37,25,"$789,713 ","$4,815 ",24%,62%,2016
Ian Kruljac,12,4,3,2,2,"$787,270 ","$65,606 ",25%,58%,2016
Weston Martin,91,26,17,17,15,"$785,884 ","$8,636 ",19%,54%,2016
James M. Cassidy,134,48,15,17,20,"$784,542 ","$5,855 ",11%,39%,2016
Michael Dilger,92,29,14,16,11,"$779,444 ","$8,472 ",15%,45%,2016
Edward J. Johnston,118,38,26,23,19,"$776,610 ","$6,581 ",22%,58%,2016
Tim McCanna,335,89,60,48,44,"$771,688 ","$2,304 ",18%,45%,2016
Nicholas P. Zito,200,59,13,19,28,"$771,673 ","$3,858 ",7%,30%,2016
Tim Glyshaw,214,61,24,39,35,"$769,037 ","$3,594 ",11%,46%,2016
Scott Gelner,302,72,33,46,44,"$765,958 ","$2,536 ",11%,41%,2016
Raymond Morales,306,85,77,79,60,"$763,781 ","$2,496 ",25%,71%,2016
John J. Robb,171,31,26,30,18,"$760,743 ","$4,449 ",15%,43%,2016
Shane Meyers,267,53,52,43,34,"$755,966 ","$2,831 ",19%,48%,2016
William H. Fires,117,29,20,7,9,"$749,985 ","$6,410 ",17%,31%,2016
Marvin A. Johnson,249,50,43,21,30,"$741,479 ","$2,978 ",17%,38%,2016
Alan E. Goldberg,51,17,14,6,6,"$734,285 ","$14,398 ",27%,51%,2016
Brian Williamson,136,39,18,23,18,"$733,418 ","$5,393 ",13%,43%,2016
Catherine Day Phillips,58,18,16,5,6,"$733,405 ","$12,645 ",28%,47%,2016
Teresa Connelly,209,49,45,32,24,"$730,497 ","$3,495 ",22%,48%,2016
Ralph Ziadie,143,34,26,25,20,"$730,103 ","$5,106 ",18%,50%,2016
Roger F. Engel,154,43,46,17,28,"$729,460 ","$4,737 ",30%,59%,2016
Jack C. Van Berg,210,56,24,29,24,"$725,972 ","$3,457 ",11%,37%,2016
Paul E. Holthus,187,41,34,25,28,"$725,570 ","$3,880 ",18%,47%,2016
Alfredo Velazquez,160,40,29,30,19,"$724,580 ","$4,529 ",18%,49%,2016
"John P. Terranova, II",99,36,16,14,15,"$723,594 ","$7,309 ",16%,45%,2016
William Delia,287,74,49,37,42,"$722,818 ","$2,519 ",17%,45%,2016
Leah Gyarmati,87,31,6,8,19,"$722,528 ","$8,305 ",7%,38%,2016
"James L. Lawrence, II",124,38,23,23,10,"$715,662 ","$5,771 ",19%,45%,2016
Elliot Sullivan,330,87,83,56,61,"$712,669 ","$2,160 ",25%,61%,2016
David G. Donk,115,44,10,13,16,"$709,572 ","$6,170 ",9%,34%,2016
John Haran,480,66,44,56,58,"$709,350 ","$1,478 ",9%,33%,2016
"Thomas Drury, Jr.",116,45,32,17,15,"$708,762 ","$6,110 ",28%,55%,2016
Martin D. Wolfson,88,30,13,13,21,"$707,448 ","$8,039 ",15%,53%,2016
Mark A. Hennig,92,37,10,20,10,"$705,989 ","$7,674 ",11%,43%,2016
Jonathan E. Sheppard,140,44,21,22,20,"$703,191 ","$5,023 ",15%,45%,2016
Doug L. Anderson,132,29,24,16,17,"$695,830 ","$5,271 ",18%,43%,2016
Uriah St. Lewis,290,36,10,22,22,"$693,359 ","$2,391 ",3%,19%,2016
Eddie Clouston,456,139,112,74,62,"$692,093 ","$1,518 ",25%,54%,2016
Ralph D'Alessandro,326,58,43,46,55,"$691,709 ","$2,122 ",13%,44%,2016
Paul W. Barrow,278,46,49,49,39,"$689,158 ","$2,479 ",18%,49%,2016
Philip T. Aristone,269,52,22,27,36,"$683,360 ","$2,540 ",8%,32%,2016
Bruce R. Brown,172,67,9,18,31,"$683,052 ","$3,971 ",5%,34%,2016
Jonathan B. Buckley,343,60,38,57,65,"$682,211 ","$1,989 ",11%,47%,2016
Marcus J. Vitali,80,34,15,9,16,"$680,916 ","$8,511 ",19%,50%,2016
Joseph F. Orseno,159,44,17,27,23,"$680,611 ","$4,281 ",11%,42%,2016
"Daniel H. Conway, Jr.",273,48,58,50,56,"$675,117 ","$2,473 ",21%,60%,2016
Jason DaCosta,275,42,49,44,38,"$673,602 ","$2,449 ",18%,48%,2016
Steven Specht,201,46,33,36,28,"$667,657 ","$3,322 ",16%,48%,2016
"Victor Barboza, Jr.",147,46,37,34,32,"$663,110 ","$4,511 ",25%,70%,2016
Ralph J. Biamonte,113,31,20,16,16,"$658,366 ","$5,826 ",18%,46%,2016
Kari Craddock,212,42,35,36,28,"$654,795 ","$3,089 ",17%,47%,2016
Mike Harrington,138,37,18,13,15,"$653,088 ","$4,733 ",13%,33%,2016
Tim Rycroft,207,53,52,42,27,"$652,533 ","$3,152 ",25%,58%,2016
"Ray E. Tracy, Jr.",302,72,24,42,36,"$651,827 ","$2,158 ",8%,34%,2016
Eric R. Reed,215,62,43,35,38,"$647,183 ","$3,010 ",20%,54%,2016
Robert Mosco,157,37,21,22,33,"$645,066 ","$4,109 ",13%,48%,2016
Randy Allen,238,53,17,34,23,"$639,672 ","$2,688 ",7%,31%,2016
Lee Thomas,232,46,27,36,43,"$639,261 ","$2,755 ",12%,46%,2016
Edward R. Barker,81,16,15,14,9,"$638,747 ","$7,886 ",19%,47%,2016
Aaron M. West,188,58,48,29,30,"$637,091 ","$3,389 ",26%,57%,2016
Martin Drexler,98,30,26,21,13,"$635,993 ","$6,490 ",27%,61%,2016
Richard Vega,182,39,21,26,19,"$635,853 ","$3,494 ",12%,36%,2016
Steven B. Flint,175,37,21,22,25,"$634,365 ","$3,625 ",12%,39%,2016
Shane M. Spiess,536,97,62,84,79,"$633,643 ","$1,182 ",12%,42%,2016
William N. Martin,214,54,33,29,33,"$633,521 ","$2,960 ",15%,44%,2016
George Papaprodromou,143,49,12,15,20,"$631,155 ","$4,414 ",8%,33%,2016
"Louis C. Linder, Jr.",172,40,19,21,25,"$629,449 ","$3,660 ",11%,38%,2016
"Robert B. Hess, Jr.",134,56,23,11,29,"$626,050 ","$4,672 ",17%,47%,2016
Timothy L. Keefe,145,49,14,23,23,"$623,134 ","$4,297 ",10%,41%,2016
Allen Milligan,309,86,34,38,40,"$619,589 ","$2,005 ",11%,36%,2016
"Howard R. Brown, Jr.",195,44,24,26,30,"$619,375 ","$3,176 ",12%,41%,2016
Mertkan Kantarmaci,160,27,23,26,28,"$618,738 ","$3,867 ",14%,48%,2016
Eric J. Guillot,43,15,5,4,5,"$617,014 ","$14,349 ",12%,33%,2016
Barbara I. McBride,185,35,22,19,25,"$615,870 ","$3,329 ",12%,36%,2016
Donald H. Barr,164,29,25,22,21,"$612,514 ","$3,735 ",15%,41%,2016
Jose M. Jimenez,280,74,82,60,50,"$608,721 ","$2,174 ",29%,69%,2016
Michael W. Nance,188,29,34,29,24,"$607,974 ","$3,234 ",18%,46%,2016
Mark V. Salvaggio,193,60,36,33,32,"$607,558 ","$3,148 ",19%,52%,2016
Kimberly A Graci,272,77,44,41,33,"$606,870 ","$2,231 ",16%,43%,2016
Howard Belvoir,240,38,50,41,37,"$605,933 ","$2,525 ",21%,53%,2016
Gilberto Zerpa,61,28,21,13,9,"$605,470 ","$9,926 ",34%,70%,2016
John A. Ross,50,13,10,10,8,"$602,484 ","$12,050 ",20%,56%,2016
Kenneth Nolen,173,45,25,28,29,"$602,055 ","$3,480 ",14%,47%,2016
Debra A. Breed,219,30,37,24,26,"$600,471 ","$2,742 ",17%,40%,2016
Malcolm Pierce,40,23,8,12,9,"$597,675 ","$14,942 ",20%,73%,2016
Daniel J. Vella,147,43,16,17,26,"$597,360 ","$4,064 ",11%,40%,2016
Randy L. Klopp,174,45,20,23,27,"$596,912 ","$3,431 ",11%,40%,2016
"Ronald D. Allen, Sr.",242,37,49,41,37,"$595,408 ","$2,460 ",20%,52%,2016
C. R. Trout,39,12,12,12,0,"$595,193 ","$15,261 ",31%,62%,2016
"Edwin Diaz, Jr.",264,82,101,47,43,"$595,135 ","$2,254 ",38%,72%,2016
Andy Mathis,181,52,40,25,23,"$592,735 ","$3,275 ",22%,49%,2016
Jeff Mullins,79,36,20,16,10,"$589,694 ","$7,464 ",25%,58%,2016
