All data provided by EQUIBASE -  http://www.equibase.com/,,,,,,,,,,
North American Thoroughbred Racing Starters - Jockeys - Dirt/All Weather Surfaces,,,,,,,,,,
,,,,,,,,,,
Jockey Name,Starts,1st,2nd,3rd,Total $,Per Start $,Win %,Top 3,Top 3 %,Racing Year
Rajiv Maragh,543,78,68,74,"$5,454,776 ","$10,046 ",14%,220,41%,2017
Tyler Gaffalione,667,124,107,100,"$5,453,557 ","$8,176 ",19%,331,50%,2017
Robby Albarado,582,84,84,85,"$5,303,596 ","$9,113 ",14%,253,43%,2017
Rafael Bejarano,374,81,70,53,"$4,712,403 ","$12,600 ",22%,204,55%,2017
Kent J. Desormeaux,299,64,52,37,"$4,555,992 ","$15,237 ",21%,153,51%,2017
Frankie Pennington,649,124,113,97,"$4,500,656 ","$6,935 ",19%,334,51%,2017
Edgard J. Zayas,647,136,108,86,"$4,430,574 ","$6,848 ",21%,330,51%,2017
Angel S. Arroyo,611,86,87,89,"$4,389,869 ","$7,185 ",14%,262,43%,2017
Tyler Baze,602,91,105,96,"$4,247,499 ","$7,056 ",15%,292,49%,2017
Rafael Manuel Hernandez,717,130,100,93,"$4,193,250 ","$5,848 ",18%,323,45%,2017
Evin A. Roman,674,145,101,93,"$4,003,898 ","$5,941 ",22%,339,50%,2017
Diego Saenz,882,209,164,125,"$3,950,338 ","$4,479 ",24%,498,56%,2017
Mario Gutierrez,314,42,45,41,"$3,848,237 ","$12,256 ",13%,128,41%,2017
Emisael Jaramillo,599,148,123,59,"$3,769,019 ","$6,292 ",25%,330,55%,2017
Victor Espinoza,141,26,25,18,"$3,765,220 ","$26,704 ",18%,69,49%,2017
Horacio Karamanos,503,89,68,78,"$3,734,178 ","$7,424 ",18%,235,47%,2017
Richard E. Eramia,932,164,174,136,"$3,720,065 ","$3,991 ",18%,474,51%,2017
Dylan Davis,558,72,79,78,"$3,701,591 ","$6,634 ",13%,229,41%,2017
Patrick Husbands,444,92,75,62,"$3,672,886 ","$8,272 ",21%,229,52%,2017
Antonio A. Gallardo,611,112,104,93,"$3,653,320 ","$5,979 ",18%,309,51%,2017
David Cabrera,974,174,171,151,"$3,637,945 ","$3,735 ",18%,496,51%,2017
Jevian Toledo,712,119,121,87,"$3,556,954 ","$4,996 ",17%,327,46%,2017
Ry Eikleberry,855,158,132,132,"$3,543,472 ","$4,144 ",18%,422,49%,2017
Alex Birzer,930,110,129,109,"$3,522,262 ","$3,787 ",12%,348,37%,2017
Martin Garcia,258,33,34,30,"$3,510,972 ","$13,608 ",13%,97,38%,2017
Mychel J. Sanchez,734,113,100,95,"$3,423,985 ","$4,665 ",15%,308,42%,2017
Joseph Talamo,439,78,68,58,"$3,393,964 ","$7,731 ",18%,204,46%,2017
Jon Kenton Court,550,76,47,70,"$3,386,113 ","$6,157 ",14%,193,35%,2017
James Graham,580,77,95,72,"$3,320,758 ","$5,725 ",13%,244,42%,2017
Feargal Lynch,460,93,69,64,"$3,255,803 ","$7,078 ",20%,226,49%,2017
Nik Juarez,530,88,80,73,"$3,254,724 ","$6,141 ",17%,241,45%,2017
Angel R. Rodriguez,840,168,156,136,"$3,242,091 ","$3,860 ",20%,460,55%,2017
"Alfredo J. Juarez, Jr.",771,171,128,109,"$3,236,290 ","$4,198 ",22%,408,53%,2017
Pablo Morales,805,178,130,119,"$3,231,594 ","$4,014 ",22%,427,53%,2017
"Jorge A. Vargas, Jr.",498,91,79,69,"$3,201,658 ","$6,429 ",18%,239,48%,2017
Gary Boulanger,557,85,72,82,"$3,198,870 ","$5,743 ",15%,239,43%,2017
Miguel Mena,642,101,82,76,"$3,178,293 ","$4,951 ",16%,259,40%,2017
Deshawn L. Parker,774,126,125,101,"$3,158,305 ","$4,080 ",16%,352,45%,2017
Drayden Van Dyke,207,39,29,19,"$3,096,041 ","$14,957 ",19%,87,42%,2017
Trevor McCarthy,446,93,83,75,"$3,031,931 ","$6,798 ",21%,251,56%,2017
Alex L. Canchari,605,105,75,84,"$2,990,464 ","$4,943 ",17%,264,44%,2017
Channing Hill,357,44,41,42,"$2,941,573 ","$8,240 ",12%,127,36%,2017
Emmanuel Esquivel,572,106,81,82,"$2,914,629 ","$5,096 ",19%,269,47%,2017
Luis M. Quinones,"1,320",268,214,192,"$2,910,103 ","$2,205 ",20%,674,51%,2017
Colby J. Hernandez,746,131,122,114,"$2,875,757 ","$3,855 ",18%,367,49%,2017
Marcelino Pedroza,693,119,103,94,"$2,810,199 ","$4,055 ",17%,316,46%,2017
Ashley Broussard,894,132,164,130,"$2,741,480 ","$3,067 ",15%,426,48%,2017
Jesse M. Campbell,510,73,66,59,"$2,714,644 ","$5,323 ",14%,198,39%,2017
Jomar Torres,678,120,87,101,"$2,712,093 ","$4,000 ",18%,308,45%,2017
Timothy Thornton,810,187,116,114,"$2,701,992 ","$3,336 ",23%,417,51%,2017
Alex Cintron,484,88,61,71,"$2,666,350 ","$5,509 ",18%,220,45%,2017
Hector Caballero,545,86,99,65,"$2,650,327 ","$4,863 ",16%,250,46%,2017
Christian Hiraldo,700,144,129,106,"$2,532,807 ","$3,618 ",21%,379,54%,2017
Arnaldo Bocachica,582,147,104,95,"$2,489,862 ","$4,278 ",25%,346,59%,2017
Ruben Silvera,567,91,80,77,"$2,473,140 ","$4,362 ",16%,248,44%,2017
Andrew Wolfsont,731,118,120,116,"$2,469,298 ","$3,378 ",16%,354,48%,2017
Tyler Conner,692,129,114,112,"$2,467,222 ","$3,565 ",19%,355,51%,2017
"Joseph Rocco, Jr.",484,58,48,54,"$2,461,967 ","$5,087 ",12%,160,33%,2017
Walter De La Cruz,830,146,117,95,"$2,461,223 ","$2,965 ",18%,358,43%,2017
T. D. Houghton,"1,051",145,163,153,"$2,444,829 ","$2,326 ",14%,461,44%,2017
Joe Bravo,223,41,42,39,"$2,442,481 ","$10,953 ",18%,122,55%,2017
Geovanni Franco,328,55,35,34,"$2,422,740 ","$7,386 ",17%,124,38%,2017
Tracy J. Hebert,644,115,98,92,"$2,409,766 ","$3,742 ",18%,305,47%,2017
"Jose Valdivia, Jr.",414,111,75,61,"$2,400,537 ","$5,798 ",27%,247,60%,2017
Cornelio H. Velasquez,273,50,43,40,"$2,356,415 ","$8,632 ",18%,133,49%,2017
Thomas L. Pompell,675,92,88,74,"$2,341,306 ","$3,469 ",14%,254,38%,2017
Carol Cedeno,624,89,90,105,"$2,290,884 ","$3,671 ",14%,284,46%,2017
Chris Landeros,376,43,42,62,"$2,290,471 ","$6,092 ",11%,147,39%,2017
Ken S. Tohill,740,88,105,110,"$2,289,206 ","$3,094 ",12%,303,41%,2017
Dana G. Whitney,607,108,89,81,"$2,285,272 ","$3,765 ",18%,278,46%,2017
Rodney A. Prescott,807,109,118,93,"$2,252,558 ","$2,791 ",14%,320,40%,2017
Edwin Gonzalez,504,104,93,77,"$2,229,770 ","$4,424 ",21%,274,54%,2017
"Ronald Dale Allen, Jr.",797,129,127,127,"$2,180,136 ","$2,735 ",16%,383,48%,2017
Steve D. Hamilton,521,71,78,75,"$2,150,658 ","$4,128 ",14%,224,43%,2017
Emma-Jayne Wilson,505,48,71,69,"$2,150,656 ","$4,259 ",10%,188,37%,2017
Jose Lezcano,284,32,38,33,"$2,146,056 ","$7,557 ",11%,103,36%,2017
Roberto Morales,645,99,103,94,"$2,140,910 ","$3,319 ",15%,296,46%,2017
Eric Cancel,380,31,51,57,"$2,134,374 ","$5,617 ",8%,139,37%,2017
Iram Vargas Diego,618,127,101,83,"$2,088,934 ","$3,380 ",21%,311,50%,2017
Frank T. Alvarado,618,128,115,95,"$2,075,786 ","$3,359 ",21%,338,55%,2017
Jaime Rodriguez,914,129,149,115,"$2,071,421 ","$2,266 ",14%,393,43%,2017
Juan J. Hernandez,536,128,107,94,"$2,070,567 ","$3,863 ",24%,329,61%,2017
Mitchell Murrill,550,85,82,81,"$2,051,890 ","$3,731 ",15%,248,45%,2017
Gerard Melancon,470,86,73,80,"$2,043,128 ","$4,347 ",18%,239,51%,2017
"John R. Davila, Jr.",529,183,96,78,"$2,035,604 ","$3,848 ",35%,357,67%,2017
Edwin Rivera,535,68,62,71,"$2,016,858 ","$3,770 ",13%,201,38%,2017
Luis M. Ocasio,629,77,74,84,"$2,015,880 ","$3,205 ",12%,235,37%,2017
Victor R. Carrasco,426,64,81,70,"$2,006,763 ","$4,711 ",15%,215,50%,2017
Abel Cedillo,800,137,129,147,"$2,001,782 ","$2,502 ",17%,413,52%,2017
Juan C. Diaz,798,247,169,124,"$1,995,286 ","$2,500 ",31%,540,68%,2017
Corey S. Nakatani,97,20,11,16,"$1,980,437 ","$20,417 ",21%,47,48%,2017
Tiago Josue Pereira,414,52,46,57,"$1,964,050 ","$4,744 ",13%,155,37%,2017
"Hector Rafael Diaz, Jr.",454,53,63,65,"$1,938,574 ","$4,270 ",12%,181,40%,2017
Roimes Chirinos,456,111,77,79,"$1,930,170 ","$4,233 ",24%,267,59%,2017
Luis H. Colon,418,116,63,61,"$1,920,850 ","$4,595 ",28%,240,57%,2017
Daniel Centeno,437,100,78,49,"$1,919,073 ","$4,391 ",23%,227,52%,2017
Julio A. Hernandez,589,87,84,88,"$1,917,209 ","$3,255 ",15%,259,44%,2017
Christian P. Pilares,718,119,125,114,"$1,904,356 ","$2,652 ",17%,358,50%,2017
David Moran,481,39,59,63,"$1,882,752 ","$3,914 ",8%,161,33%,2017
Glenn W. Corbett,550,79,80,68,"$1,866,126 ","$3,393 ",14%,227,41%,2017
Jose C. Ferrer,320,79,48,34,"$1,846,576 ","$5,771 ",25%,161,50%,2017
Sheldon Russell,329,59,60,48,"$1,841,192 ","$5,596 ",18%,167,51%,2017
Gerald Almodovar,549,103,95,64,"$1,833,742 ","$3,340 ",19%,262,48%,2017
Julien Couton,662,125,111,119,"$1,832,037 ","$2,767 ",19%,355,54%,2017
Fernando De La Cruz,530,95,72,76,"$1,828,667 ","$3,450 ",18%,243,46%,2017
Irving Orozco,569,105,126,95,"$1,825,420 ","$3,208 ",18%,326,57%,2017
Jareth Loveberry,572,81,73,75,"$1,818,864 ","$3,180 ",14%,229,40%,2017
Rocco Bowen,796,167,122,128,"$1,806,489 ","$2,269 ",21%,417,52%,2017
Catalino Martinez,653,119,112,96,"$1,781,664 ","$2,728 ",18%,327,50%,2017
William Antongeorgi III,704,114,116,110,"$1,777,057 ","$2,524 ",16%,340,48%,2017
David Cora,627,89,94,97,"$1,758,989 ","$2,805 ",14%,280,45%,2017
Junior Alvarado,171,25,27,24,"$1,755,976 ","$10,269 ",15%,76,44%,2017
Julian Pimentel,280,55,48,44,"$1,755,160 ","$6,268 ",20%,147,53%,2017
Luis S. Quinonez,392,56,44,60,"$1,750,537 ","$4,466 ",14%,160,41%,2017
J. D. Acosta,596,61,78,81,"$1,743,024 ","$2,925 ",10%,220,37%,2017
Elvin Gonzalez,583,106,93,88,"$1,732,262 ","$2,971 ",18%,287,49%,2017
Edgar Paucar,946,169,166,121,"$1,726,384 ","$1,825 ",18%,456,48%,2017
Stewart Elliott,396,50,54,61,"$1,721,151 ","$4,346 ",13%,165,42%,2017
Miguel Angel Vasquez,548,73,91,100,"$1,718,930 ","$3,137 ",13%,264,48%,2017
"Floyd Wethey, Jr.",549,99,70,66,"$1,709,143 ","$3,113 ",18%,235,43%,2017
Forest Boyce,366,49,53,60,"$1,691,042 ","$4,620 ",13%,162,44%,2017
Rico W. Walcott,447,135,88,62,"$1,665,190 ","$3,725 ",30%,285,64%,2017
Victor Santiago,621,146,107,78,"$1,648,668 ","$2,655 ",24%,331,53%,2017
Jose Luis Flores,408,46,52,43,"$1,634,932 ","$4,007 ",11%,141,35%,2017
Ricardo Feliciano,394,91,70,57,"$1,628,058 ","$4,132 ",23%,218,55%,2017
Erik Ramirez,815,228,133,153,"$1,616,106 ","$1,983 ",28%,514,63%,2017
Jose Montano,451,100,76,65,"$1,614,957 ","$3,581 ",22%,241,53%,2017
Santo Sanjur,598,81,105,91,"$1,614,106 ","$2,699 ",14%,277,46%,2017
Katie Davis,377,61,64,50,"$1,607,927 ","$4,265 ",16%,175,46%,2017
Santiago Gonzalez,352,33,54,63,"$1,605,922 ","$4,562 ",9%,150,43%,2017
Eduardo E. Perez,446,59,51,64,"$1,591,239 ","$3,568 ",13%,174,39%,2017
Martin A. Pedroza,364,38,57,64,"$1,579,796 ","$4,340 ",10%,159,44%,2017
Anthony Salgado,378,43,47,63,"$1,576,315 ","$4,170 ",11%,153,40%,2017
Edwin A. Maldonado,356,48,44,50,"$1,574,210 ","$4,422 ",13%,142,40%,2017
Shaun Bridgmohan,332,48,50,43,"$1,573,371 ","$4,739 ",14%,141,42%,2017
Albin Jimenez,509,92,91,68,"$1,571,533 ","$3,087 ",18%,251,49%,2017
Ricardo Gonzalez,409,83,68,52,"$1,565,618 ","$3,828 ",20%,203,50%,2017
Orlando Mojica,575,91,97,79,"$1,555,905 ","$2,706 ",16%,267,46%,2017
Luis Raul Rivera,779,100,101,109,"$1,539,274 ","$1,976 ",13%,310,40%,2017
Mario G. Pino,411,76,76,58,"$1,534,533 ","$3,734 ",18%,210,51%,2017
Jomar Garcia,575,78,99,97,"$1,534,169 ","$2,668 ",14%,274,48%,2017
Addiel J. Ayala,612,82,81,95,"$1,528,085 ","$2,497 ",13%,258,42%,2017
Perry Wayne Ouzts,865,142,127,120,"$1,520,023 ","$1,757 ",16%,389,45%,2017
Huber Villa-Gomez,608,86,83,87,"$1,498,137 ","$2,464 ",14%,256,42%,2017
Gabriel Saez,428,59,36,44,"$1,481,173 ","$3,461 ",14%,139,32%,2017
Katie Clawson,430,67,57,47,"$1,474,845 ","$3,430 ",16%,171,40%,2017
Joshua Navarro,483,108,61,72,"$1,472,531 ","$3,049 ",22%,241,50%,2017
Marlon St. Julien,582,52,54,63,"$1,456,457 ","$2,503 ",9%,169,29%,2017
Jorge Carreno,436,56,46,57,"$1,454,526 ","$3,336 ",13%,159,36%,2017
Edgar S. Prado,158,28,29,21,"$1,430,764 ","$9,055 ",18%,78,49%,2017
Luca Panici,476,50,41,68,"$1,416,215 ","$2,975 ",11%,159,33%,2017
Rosario Montanez,314,34,33,37,"$1,411,799 ","$4,496 ",11%,104,33%,2017
Kevin Gomez,409,52,53,59,"$1,410,558 ","$3,449 ",13%,164,40%,2017
William P. Otero,472,74,54,77,"$1,404,805 ","$2,976 ",16%,205,43%,2017
Luis E. Perez,587,101,115,96,"$1,396,029 ","$2,378 ",17%,312,53%,2017
Miguel A. Perez,359,72,64,53,"$1,391,712 ","$3,877 ",20%,189,53%,2017
John Bisono,227,31,36,32,"$1,385,881 ","$6,105 ",14%,99,44%,2017
Christopher A. Emigh,505,75,63,74,"$1,383,552 ","$2,740 ",15%,212,42%,2017
Shane Laviolette,464,44,55,58,"$1,378,863 ","$2,972 ",9%,157,34%,2017
Dexter Haddock,429,54,53,53,"$1,366,394 ","$3,185 ",13%,160,37%,2017
Julio E. Felix,531,66,69,62,"$1,361,971 ","$2,565 ",12%,197,37%,2017
Kerwin D. Clark,390,60,53,47,"$1,336,780 ","$3,428 ",15%,160,41%,2017
Alonso Quinonez,547,80,92,78,"$1,316,952 ","$2,408 ",15%,250,46%,2017
Steve J. Bourque,520,68,69,69,"$1,315,454 ","$2,530 ",13%,206,40%,2017
Rex A. Stokes III,411,83,61,63,"$1,300,075 ","$3,163 ",20%,207,50%,2017
Calvin H. Borel,394,27,47,38,"$1,293,799 ","$3,284 ",7%,112,28%,2017
Silvestre Gonzalez,468,49,52,60,"$1,283,680 ","$2,743 ",10%,161,34%,2017
Enrique Portillo Gomez,602,56,109,78,"$1,269,393 ","$2,109 ",9%,243,40%,2017
Dean A. Sarvis,470,93,74,65,"$1,263,541 ","$2,688 ",20%,232,49%,2017
Michael J. Luzzi,244,26,29,31,"$1,257,659 ","$5,154 ",11%,86,35%,2017
Oscar Flores,486,75,83,70,"$1,251,359 ","$2,575 ",15%,228,47%,2017
Wesley Ho,576,88,81,66,"$1,245,479 ","$2,162 ",15%,235,41%,2017
Fredy Peltroche,574,82,87,84,"$1,244,764 ","$2,169 ",14%,253,44%,2017
Kyle Frey,311,54,35,50,"$1,231,805 ","$3,961 ",17%,139,45%,2017
Lindey Wade,466,65,68,57,"$1,229,987 ","$2,639 ",14%,190,41%,2017
Richard Harvey Hamel,267,77,29,43,"$1,229,572 ","$4,605 ",29%,149,56%,2017
Declan Cannon,342,38,31,43,"$1,227,838 ","$3,590 ",11%,112,33%,2017
Jose Andres Guerrero,816,87,84,91,"$1,214,525 ","$1,488 ",11%,262,32%,2017
Luis Garcia,366,65,54,48,"$1,204,936 ","$3,292 ",18%,167,46%,2017
Alan Garcia,291,35,35,34,"$1,198,934 ","$4,120 ",12%,104,36%,2017
Roberto J. Rosado,271,41,50,30,"$1,187,519 ","$4,382 ",15%,121,45%,2017
Malcolm Franklin,431,49,55,63,"$1,178,020 ","$2,733 ",11%,167,39%,2017
Brian Pedroza,185,42,35,19,"$1,174,259 ","$6,347 ",23%,96,52%,2017
Leandro D. Goncalves,446,49,52,58,"$1,171,390 ","$2,626 ",11%,159,36%,2017
"Eddie Martin, Jr.",426,66,59,58,"$1,162,289 ","$2,728 ",15%,183,43%,2017
Irwin J. Rosendo,462,53,49,71,"$1,161,221 ","$2,513 ",11%,173,37%,2017
Jesus M. Rios,248,33,39,37,"$1,144,353 ","$4,614 ",13%,109,44%,2017
Oscar Gomez,605,71,99,81,"$1,139,572 ","$1,884 ",12%,251,41%,2017
John McKee,588,97,95,98,"$1,135,360 ","$1,931 ",16%,290,49%,2017
Constantino Roman,553,51,57,80,"$1,131,820 ","$2,047 ",9%,188,34%,2017
Jack Gilligan,580,58,90,75,"$1,129,493 ","$1,947 ",10%,223,38%,2017
Angel Cruz,361,39,60,51,"$1,129,337 ","$3,128 ",11%,150,42%,2017
Jeremy Rose,357,56,65,44,"$1,123,771 ","$3,148 ",16%,165,46%,2017
Gary L. Stevens,91,11,14,14,"$1,123,454 ","$12,346 ",12%,39,43%,2017
Bryan McNeil,398,69,55,60,"$1,114,020 ","$2,799 ",17%,184,46%,2017
Scott Spieth,410,56,68,67,"$1,098,254 ","$2,679 ",14%,191,47%,2017
"Norberto Arroyo, Jr.",152,24,23,17,"$1,088,343 ","$7,160 ",16%,64,42%,2017
Emanuel Nieves,536,66,68,58,"$1,086,260 ","$2,027 ",12%,192,36%,2017
Harry Hernandez,457,76,76,70,"$1,081,204 ","$2,366 ",17%,222,49%,2017
Luis R. Reyes,369,32,38,51,"$1,078,483 ","$2,923 ",9%,121,33%,2017
Gerardo Mora,609,74,87,75,"$1,077,990 ","$1,770 ",12%,236,39%,2017
Frank Reyes,550,61,84,69,"$1,077,315 ","$1,959 ",11%,214,39%,2017
Cassidy Burg,568,50,76,93,"$1,073,225 ","$1,889 ",9%,219,39%,2017
Edgar Perez,405,72,60,60,"$1,070,827 ","$2,644 ",18%,192,47%,2017
Silvio Ruiz Amador,472,82,83,83,"$1,062,864 ","$2,252 ",17%,248,53%,2017
Jorge Martin Bourdieu,605,99,80,87,"$1,056,113 ","$1,746 ",16%,266,44%,2017
Gabriel Lagunes,956,98,105,118,"$1,051,699 ","$1,100 ",10%,321,34%,2017
Kevin Roman,529,42,42,63,"$1,044,159 ","$1,974 ",8%,147,28%,2017
Andrew R. Ramgeet,483,93,84,70,"$1,043,035 ","$2,159 ",19%,247,51%,2017
"Carlos H. Marquez, Jr.",300,46,45,35,"$1,042,410 ","$3,475 ",15%,126,42%,2017
Quincy Hamilton,496,45,52,61,"$1,036,043 ","$2,089 ",9%,158,32%,2017
Willie Martinez,388,55,48,45,"$1,034,360 ","$2,666 ",14%,148,38%,2017
Luis A. Rodriguez Castro,404,40,53,41,"$1,023,322 ","$2,533 ",10%,134,33%,2017
Angel Suarez,387,49,53,47,"$1,017,023 ","$2,628 ",13%,149,39%,2017
C.J. McMahon,388,34,47,40,"$1,009,117 ","$2,601 ",9%,121,31%,2017
Samy Camacho,478,58,59,77,"$1,006,438 ","$2,106 ",12%,194,41%,2017
Christopher P. DeCarlo,75,14,9,8,"$1,003,977 ","$13,386 ",19%,31,41%,2017
Jamie Theriot,215,21,21,25,"$1,000,785 ","$4,655 ",10%,67,31%,2017
Orlando Bocachica,334,59,41,48,"$997,103 ","$2,985 ",18%,148,44%,2017
Jose A. Bracho,438,71,61,57,"$983,185 ","$2,245 ",16%,189,43%,2017
Ty Kennedy,342,39,34,41,"$974,880 ","$2,851 ",11%,114,33%,2017
Leslie Mawing,411,67,60,58,"$973,581 ","$2,369 ",16%,185,45%,2017
Brayan Pena,377,31,47,53,"$969,795 ","$2,572 ",8%,131,35%,2017
Daniel P. Vergara,425,80,71,61,"$963,522 ","$2,267 ",19%,212,50%,2017
Wilmer A. Garcia,330,37,50,49,"$961,682 ","$2,914 ",11%,136,41%,2017
Jose A. Batista,298,38,39,36,"$959,500 ","$3,220 ",13%,113,38%,2017
Kevin E. Orozco,512,98,90,90,"$951,034 ","$1,857 ",19%,278,54%,2017
Terry J. Thompson,356,38,39,49,"$943,932 ","$2,651 ",11%,126,35%,2017
Charle Oliveros,728,110,104,114,"$942,812 ","$1,295 ",15%,328,45%,2017
Keishan Balgobin,375,66,57,70,"$937,766 ","$2,501 ",18%,193,51%,2017
Jarred Journet,539,65,62,76,"$935,682 ","$1,736 ",12%,203,38%,2017
David Michael Lopez,506,89,80,77,"$927,435 ","$1,833 ",18%,246,49%,2017
Hector Berrios,597,101,102,98,"$927,150 ","$1,553 ",17%,301,50%,2017
Antonio Lopez,278,49,51,44,"$924,602 ","$3,326 ",18%,144,52%,2017
Jansen Melancon,461,63,47,45,"$918,270 ","$1,992 ",14%,155,34%,2017
Rayan Gazader,357,34,37,45,"$897,545 ","$2,514 ",10%,116,32%,2017
David G. Lopez,349,67,66,51,"$895,260 ","$2,565 ",19%,184,53%,2017
Luis A. Batista,415,56,58,65,"$892,137 ","$2,150 ",13%,179,43%,2017
Pedro M. Terrero,454,52,65,71,"$890,067 ","$1,961 ",11%,188,41%,2017
Alexander Castillo,492,61,63,50,"$886,385 ","$1,802 ",12%,174,35%,2017
Carlos J. Hernandez,326,31,37,50,"$876,107 ","$2,687 ",10%,118,36%,2017
Jose Delgadillo,340,31,31,49,"$873,576 ","$2,569 ",9%,111,33%,2017
Alejandro L. Contreras,365,34,35,42,"$871,165 ","$2,387 ",9%,111,30%,2017
Gerardo Corrales,343,45,48,45,"$865,131 ","$2,522 ",13%,138,40%,2017
Eddie Castro,164,35,23,20,"$855,967 ","$5,219 ",21%,78,48%,2017
Carlos Marrero,413,60,40,65,"$844,160 ","$2,044 ",15%,165,40%,2017
Alejandro Medellin,509,53,56,66,"$842,335 ","$1,655 ",10%,175,34%,2017
Sasha Risenhoover,359,68,48,53,"$841,860 ","$2,345 ",19%,169,47%,2017
Isaias D. Enriquez,542,72,72,75,"$840,639 ","$1,551 ",13%,219,40%,2017
Aby Medina,328,41,39,54,"$840,330 ","$2,562 ",13%,134,41%,2017
Megan Fadlovich,440,67,80,63,"$838,520 ","$1,906 ",15%,210,48%,2017
Jenn Miller,321,43,36,35,"$834,451 ","$2,600 ",13%,114,36%,2017
Victor Rodriguez,554,53,65,60,"$832,104 ","$1,502 ",10%,178,32%,2017
Erik Barbaran,522,87,83,77,"$830,902 ","$1,592 ",17%,247,47%,2017
Ricardo Chiappe,319,30,54,57,"$818,547 ","$2,566 ",9%,141,44%,2017
Luis Negron,489,52,55,70,"$818,366 ","$1,674 ",11%,177,36%,2017
Denny Velazquez,330,37,44,49,"$816,680 ","$2,475 ",11%,130,39%,2017
"Hector L. Rosario, Jr.",381,35,52,46,"$816,633 ","$2,143 ",9%,133,35%,2017
Andre Shivnarine Worrie,357,49,55,56,"$810,728 ","$2,271 ",14%,160,45%,2017
Darius Thorpe,530,47,51,61,"$807,778 ","$1,524 ",9%,159,30%,2017
Israel Hernandez,565,64,77,84,"$804,641 ","$1,424 ",11%,225,40%,2017
Amadeo Perez,305,43,53,34,"$804,135 ","$2,637 ",14%,130,43%,2017
Leonel Reyes,279,29,37,44,"$800,557 ","$2,869 ",10%,110,39%,2017
David Romero Flores,131,23,18,22,"$794,650 ","$6,066 ",18%,63,48%,2017
Carlos Montalvo,175,16,21,24,"$792,080 ","$4,526 ",9%,61,35%,2017
Marcos Meneses,267,31,34,28,"$788,395 ","$2,953 ",12%,93,35%,2017
Lery Pinero,362,24,38,41,"$787,481 ","$2,175 ",7%,103,28%,2017
Sonny Leon,395,36,32,39,"$785,592 ","$1,989 ",9%,107,27%,2017
Jacqueline A. Davis,357,25,44,48,"$778,414 ","$2,180 ",7%,117,33%,2017
Javier Santiago,427,99,83,78,"$775,427 ","$1,816 ",23%,260,61%,2017
Noel Vigil,476,52,62,50,"$774,422 ","$1,627 ",11%,164,34%,2017
Nicky Figueroa,329,46,54,50,"$774,204 ","$2,353 ",14%,150,46%,2017
Luis J. Rodriguez,467,41,48,57,"$768,920 ","$1,647 ",9%,146,31%,2017
Jorge Ruiz,205,34,17,33,"$768,025 ","$3,746 ",17%,84,41%,2017
Enrique Alonzo Gonzalez,269,51,58,47,"$763,685 ","$2,839 ",19%,156,58%,2017
Curtis Kimes,434,63,67,67,"$760,892 ","$1,753 ",15%,197,45%,2017
Joel Cruz,393,56,68,63,"$757,816 ","$1,928 ",14%,187,48%,2017
Agustin Bracho,418,53,45,64,"$750,726 ","$1,796 ",13%,162,39%,2017
Scott A. Stevens,327,63,51,47,"$747,812 ","$2,287 ",19%,161,49%,2017
Aubrie Green,481,74,52,65,"$744,567 ","$1,548 ",15%,191,40%,2017
Emilio Flores,403,37,31,42,"$743,141 ","$1,844 ",9%,110,27%,2017
Edwin Castro,333,73,66,47,"$740,389 ","$2,223 ",22%,186,56%,2017
