Source: baseball-reference.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,League,Year,RS,RA,RD,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,,,,,,,,,,,,,
ATL,NL,2011,641,605,36,89,0.308,0.387,0.243,0,,,162,0.31,0.361,,,,,,,,,,,,,
BAL,AL,2011,708,860,-152,69,0.316,0.413,0.257,0,,,162,0.341,0.46,,,,,,,,,,,,,
BOS,AL,2011,875,737,138,90,0.349,0.461,0.28,0,,,162,0.322,0.392,,,,,,,,,,,,,
CHC,NL,2011,654,756,-102,71,0.314,0.401,0.256,0,,,162,0.335,0.413,,,,,,,,,,,,,
CHW,AL,2011,654,706,-52,79,0.319,0.388,0.252,0,,,162,0.317,0.397,,,,,,,,,,,,,
CIN,NL,2011,735,720,15,79,0.326,0.408,0.256,0,,,162,0.325,0.415,,,,,,,,,,,,,
CLE,AL,2011,704,760,-56,80,0.317,0.396,0.25,0,,,162,0.323,0.413,,,,,,,,,,,,,
COL,NL,2011,735,774,-39,73,0.329,0.41,0.258,0,,,162,0.331,0.431,,,,,,,,,,,,,
DET,AL,2011,787,711,76,95,0.34,0.434,0.277,1,4,3,162,0.321,0.396,,,,,,,,,,,,,
FLA,NL,2011,625,702,-77,72,0.318,0.388,0.247,0,,,162,0.316,0.401,,,,,,,,,,,,,
HOU,NL,2011,615,796,-181,56,0.311,0.374,0.258,0,,,162,0.337,0.432,,,,,,,,,,,,,
KCR,AL,2011,730,762,-32,71,0.329,0.415,0.275,0,,,162,0.337,0.425,,,,,,,,,,,,,
LAA,AL,2011,667,633,34,86,0.313,0.402,0.253,0,,,162,0.313,0.388,,,,,,,,,,,,,
LAD,NL,2011,644,612,32,82,0.322,0.375,0.257,0,,,161,0.31,0.371,,,,,,,,,,,,,
MIL,NL,2011,721,638,83,96,0.325,0.425,0.261,1,3,3,162,0.304,0.385,,,,,,,,,,,,,
MIN,AL,2011,619,804,-185,63,0.306,0.36,0.247,0,,,162,0.34,0.435,,,,,,,,,,,,,
NYM,NL,2011,718,742,-24,77,0.335,0.391,0.264,0,,,162,0.332,0.411,,,,,,,,,,,,,
NYY,AL,2011,867,657,210,97,0.343,0.444,0.263,1,2,4,162,0.322,0.399,,,,,,,,,,,,,
OAK,AL,2011,645,679,-34,74,0.311,0.369,0.244,0,,,162,0.317,0.378,,,,,,,,,,,,,
PHI,NL,2011,713,529,184,102,0.323,0.395,0.253,1,1,4,162,0.296,0.361,,,,,,,,,,,,,
PIT,NL,2011,610,712,-102,72,0.309,0.368,0.244,0,,,162,0.338,0.409,,,,,,,,,,,,,
SDP,NL,2011,593,611,-18,71,0.305,0.349,0.237,0,,,162,0.314,0.375,,,,,,,,,,,,,
SEA,AL,2011,556,675,-119,67,0.292,0.348,0.233,0,,,162,0.31,0.386,,,,,,,,,,,,,
SFG,NL,2011,570,578,-8,86,0.303,0.368,0.242,0,,,162,0.309,0.346,,,,,,,,,,,,,
STL,NL,2011,762,692,70,90,0.341,0.425,0.273,1,7,1,162,0.319,0.398,,,,,,,,,,,,,
TBR,AL,2011,707,614,93,91,0.322,0.402,0.244,1,6,4,162,0.303,0.383,,,,,,,,,,,,,
TEX,AL,2011,855,677,178,96,0.34,0.46,0.283,1,3,2,162,0.307,0.392,,,,,,,,,,,,,
TOR,AL,2011,743,761,-18,81,0.317,0.413,0.249,0,,,162,0.328,0.419,,,,,,,,,,,,,
WSN,NL,2011,624,643,-19,80,0.309,0.383,0.242,0,,,161,0.319,0.382,,,,,,,,,,,,,
ARI,NL,2010,713,836,-123,65,0.325,0.416,0.25,0,,,162,0.34,0.448,,,,,,,,,,,,,
ATL,NL,2010,738,629,109,91,0.339,0.401,0.258,1,6,4,162,0.314,0.376,,,,,,,,,,,,,
BAL,AL,2010,613,785,-172,66,0.316,0.386,0.259,0,,,162,0.336,0.434,,,,,,,,,,,,,
BOS,AL,2010,818,744,74,89,0.339,0.451,0.268,0,,,162,0.327,0.399,,,,,,,,,,,,,
CHC,NL,2010,685,767,-82,75,0.32,0.401,0.257,0,,,162,0.334,0.398,,,,,,,,,,,,,
CHW,AL,2010,752,704,48,88,0.332,0.42,0.268,0,,,162,0.325,0.395,,,,,,,,,,,,,
CIN,NL,2010,790,685,105,91,0.338,0.436,0.272,1,6,4,162,0.323,0.396,,,,,,,,,,,,,
CLE,AL,2010,646,752,-106,69,0.322,0.378,0.248,0,,,162,0.342,0.416,,,,,,,,,,,,,
COL,NL,2010,770,717,53,83,0.336,0.425,0.263,0,,,162,0.326,0.397,,,,,,,,,,,,,
DET,AL,2010,751,743,8,81,0.335,0.415,0.268,0,,,162,0.332,0.4,,,,,,,,,,,,,
FLA,NL,2010,719,717,2,80,0.321,0.403,0.254,0,,,162,0.331,0.398,,,,,,,,,,,,,
HOU,NL,2010,611,729,-118,76,0.303,0.362,0.247,0,,,162,0.33,0.402,,,,,,,,,,,,,
KCR,AL,2010,676,845,-169,67,0.331,0.399,0.274,0,,,162,0.342,0.435,,,,,,,,,,,,,
LAA,AL,2010,681,702,-21,80,0.311,0.39,0.248,0,,,162,0.327,0.403,,,,,,,,,,,,,
LAD,NL,2010,667,692,-25,80,0.322,0.379,0.252,0,,,162,0.316,0.378,,,,,,,,,,,,,
MIL,NL,2010,750,804,-54,77,0.335,0.424,0.262,0,,,162,0.338,0.427,,,,,,,,,,,,,
MIN,AL,2010,781,671,110,94,0.341,0.422,0.273,1,4,4,162,0.317,0.417,,,,,,,,,,,,,
NYM,NL,2010,656,652,4,79,0.314,0.383,0.249,0,,,162,0.33,0.394,,,,,,,,,,,,,
NYY,AL,2010,859,693,166,95,0.35,0.436,0.267,1,3,3,162,0.322,0.399,,,,,,,,,,,,,
OAK,AL,2010,663,626,37,81,0.324,0.378,0.256,0,,,162,0.313,0.379,,,,,,,,,,,,,
PHI,NL,2010,772,640,132,97,0.332,0.413,0.26,1,1,3,162,0.311,0.405,,,,,,,,,,,,,
PIT,NL,2010,587,866,-279,57,0.304,0.373,0.242,0,,,162,0.348,0.449,,,,,,,,,,,,,
SDP,NL,2010,665,581,84,90,0.317,0.371,0.246,0,,,162,0.308,0.368,,,,,,,,,,,,,
SEA,AL,2010,513,698,-185,61,0.298,0.339,0.236,0,,,162,0.313,0.401,,,,,,,,,,,,,
SFG,NL,2010,697,583,114,92,0.321,0.408,0.257,1,5,1,162,0.313,0.37,,,,,,,,,,,,,
STL,NL,2010,736,641,95,86,0.332,0.402,0.263,0,,,162,0.319,0.387,,,,,,,,,,,,,
TBR,AL,2010,802,649,153,96,0.333,0.403,0.247,1,2,4,162,0.308,0.404,,,,,,,,,,,,,
TEX,AL,2010,787,687,100,90,0.338,0.419,0.276,1,7,2,162,0.319,0.39,,,,,,,,,,,,,
TOR,AL,2010,755,728,27,85,0.312,0.454,0.248,0,,,162,0.326,0.405,,,,,,,,,,,,,
WSN,NL,2010,655,742,-87,69,0.318,0.39,0.25,0,,,162,0.33,0.41,,,,,,,,,,,,,
ARI,NL,2009,720,782,-62,70,0.324,0.418,0.253,0,,,162,0.33,0.419,,,,,,,,,,,,,
ATL,NL,2009,735,641,94,86,0.339,0.405,0.263,0,,,162,0.323,0.39,,,,,,,,,,,,,
BAL,AL,2009,741,876,-135,64,0.332,0.415,0.268,0,,,162,0.353,0.476,,,,,,,,,,,,,
BOS,AL,2009,872,736,136,95,0.352,0.454,0.27,1,3,4,162,0.335,0.422,,,,,,,,,,,,,
CHC,NL,2009,707,672,35,83,0.332,0.407,0.255,0,,,161,0.324,0.391,,,,,,,,,,,,,
CHW,AL,2009,724,732,-8,79,0.329,0.411,0.258,0,,,162,0.325,0.414,,,,,,,,,,,,,
CIN,NL,2009,673,723,-50,78,0.318,0.394,0.247,0,,,162,0.333,0.418,,,,,,,,,,,,,
CLE,AL,2009,773,865,-92,65,0.339,0.417,0.264,0,,,162,0.351,0.443,,,,,,,,,,,,,
COL,NL,2009,804,715,89,92,0.343,0.441,0.261,1,5,4,162,0.328,0.405,,,,,,,,,,,,,
DET,AL,2009,743,745,-2,86,0.331,0.416,0.26,0,,,163,0.336,0.422,,,,,,,,,,,,,
FLA,NL,2009,772,766,6,87,0.34,0.416,0.268,0,,,162,0.333,0.408,,,,,,,,,,,,,
HOU,NL,2009,643,770,-127,74,0.319,0.4,0.26,0,,,162,0.344,0.44,,,,,,,,,,,,,
KCR,AL,2009,686,842,-156,65,0.318,0.405,0.259,0,,,162,0.343,0.422,,,,,,,,,,,,,
LAA,AL,2009,883,761,122,97,0.35,0.441,0.285,1,2,3,162,0.338,0.432,,,,,,,,,,,,,
LAD,NL,2009,780,611,169,95,0.346,0.412,0.27,1,3,3,162,0.312,0.361,,,,,,,,,,,,,
MIL,NL,2009,785,818,-33,80,0.341,0.426,0.263,0,,,162,0.345,0.45,,,,,,,,,,,,,
MIN,AL,2009,817,765,52,87,0.345,0.429,0.274,1,7,4,163,0.331,0.431,,,,,,,,,,,,,
NYM,NL,2009,671,757,-86,70,0.335,0.394,0.27,0,,,162,0.342,0.418,,,,,,,,,,,,,
NYY,AL,2009,915,753,162,103,0.362,0.478,0.283,1,1,1,162,0.327,0.408,,,,,,,,,,,,,
OAK,AL,2009,759,761,-2,75,0.328,0.397,0.262,0,,,162,0.329,0.413,,,,,,,,,,,,,
PHI,NL,2009,820,709,111,93,0.334,0.447,0.258,1,4,2,162,0.329,0.427,,,,,,,,,,,,,
PIT,NL,2009,636,768,-132,62,0.318,0.387,0.252,0,,,161,0.346,0.442,,,,,,,,,,,,,
SDP,NL,2009,638,769,-131,75,0.321,0.381,0.242,0,,,162,0.333,0.406,,,,,,,,,,,,,
SEA,AL,2009,640,692,-52,85,0.314,0.402,0.258,0,,,162,0.316,0.394,,,,,,,,,,,,,
SFG,NL,2009,657,611,46,88,0.309,0.389,0.257,0,,,162,0.314,0.372,,,,,,,,,,,,,
STL,NL,2009,730,640,90,91,0.332,0.415,0.263,1,6,4,162,0.319,0.386,,,,,,,,,,,,,
TBR,AL,2009,803,754,49,84,0.343,0.439,0.263,0,,,162,0.324,0.417,,,,,,,,,,,,,
TEX,AL,2009,784,740,44,87,0.32,0.445,0.26,0,,,162,0.331,0.416,,,,,,,,,,,,,
TOR,AL,2009,798,771,27,75,0.333,0.44,0.266,0,,,162,0.339,0.434,,,,,,,,,,,,,
WSN,NL,2009,710,874,-164,59,0.337,0.406,0.258,0,,,162,0.352,0.45,,,,,,,,,,,,,
ARI,NL,2008,720,706,14,82,0.327,0.415,0.251,0,,,162,0.318,0.398,,,,,,,,,,,,,
ATL,NL,2008,753,778,-25,72,0.345,0.408,0.27,0,,,162,0.336,0.423,,,,,,,,,,,,,
BAL,AL,2008,782,869,-87,68,0.333,0.429,0.267,0,,,161,0.361,0.435,,,,,,,,,,,,,
BOS,AL,2008,845,694,151,95,0.358,0.447,0.28,1,3,3,162,0.323,0.39,,,,,,,,,,,,,
CHC,NL,2008,855,671,184,97,0.354,0.443,0.278,1,2,4,161,0.316,0.395,,,,,,,,,,,,,
CHW,AL,2008,811,729,82,89,0.332,0.448,0.263,1,6,4,163,0.32,0.41,,,,,,,,,,,,,
CIN,NL,2008,704,800,-96,74,0.321,0.408,0.247,0,,,162,0.345,0.45,,,,,,,,,,,,,
CLE,AL,2008,805,761,44,81,0.339,0.424,0.262,0,,,162,0.33,0.424,,,,,,,,,,,,,
COL,NL,2008,747,822,-75,74,0.336,0.415,0.263,0,,,162,0.344,0.431,,,,,,,,,,,,,
DET,AL,2008,821,857,-36,74,0.34,0.444,0.271,0,,,162,0.353,0.437,,,,,,,,,,,,,
FLA,NL,2008,770,767,3,84,0.326,0.433,0.254,0,,,161,0.333,0.407,,,,,,,,,,,,,
HOU,NL,2008,712,743,-31,86,0.323,0.415,0.263,0,,,161,0.328,0.44,,,,,,,,,,,,,
KCR,AL,2008,691,781,-90,75,0.32,0.397,0.269,0,,,162,0.328,0.415,,,,,,,,,,,,,
LAA,AL,2008,765,697,68,100,0.33,0.413,0.268,1,1,4,162,0.323,0.406,,,,,,,,,,,,,
LAD,NL,2008,700,648,52,84,0.333,0.399,0.264,1,7,3,162,0.315,0.376,,,,,,,,,,,,,
MIL,NL,2008,750,689,61,90,0.325,0.431,0.253,1,5,4,162,0.323,0.406,,,,,,,,,,,,,
MIN,AL,2008,829,745,84,88,0.34,0.408,0.279,0,,,163,0.324,0.431,,,,,,,,,,,,,
NYM,NL,2008,799,715,84,89,0.34,0.42,0.266,0,,,162,0.331,0.397,,,,,,,,,,,,,
NYY,AL,2008,789,727,62,89,0.342,0.427,0.271,0,,,162,0.329,0.405,,,,,,,,,,,,,
OAK,AL,2008,646,690,-44,75,0.318,0.369,0.242,0,,,161,0.328,0.392,,,,,,,,,,,,,
PHI,NL,2008,799,680,119,92,0.332,0.438,0.255,1,4,1,162,0.329,0.41,,,,,,,,,,,,,
PIT,NL,2008,735,884,-149,67,0.32,0.403,0.258,0,,,162,0.362,0.454,,,,,,,,,,,,,
SDP,NL,2008,637,764,-127,63,0.317,0.39,0.25,0,,,162,0.332,0.409,,,,,,,,,,,,,
SEA,AL,2008,671,811,-140,61,0.318,0.389,0.265,0,,,162,0.351,0.433,,,,,,,,,,,,,
SFG,NL,2008,640,759,-119,72,0.321,0.382,0.262,0,,,162,0.341,0.404,,,,,,,,,,,,,
STL,NL,2008,779,725,54,86,0.35,0.433,0.281,0,,,162,0.332,0.431,,,,,,,,,,,,,
TBR,AL,2008,774,671,103,97,0.34,0.422,0.26,1,2,2,162,0.314,0.4,,,,,,,,,,,,,
TEX,AL,2008,901,967,-66,79,0.354,0.462,0.283,0,,,162,0.362,0.455,,,,,,,,,,,,,
TOR,AL,2008,714,610,104,86,0.331,0.399,0.264,0,,,162,0.309,0.38,,,,,,,,,,,,,
WSN,NL,2008,641,825,-184,59,0.323,0.373,0.251,0,,,161,0.343,0.436,,,,,,,,,,,,,
ARI,NL,2007,712,732,-20,90,0.321,0.413,0.25,1,3,3,162,0.334,0.42,,,,,,,,,,,,,
ATL,NL,2007,810,733,77,84,0.339,0.435,0.275,0,,,162,0.327,0.415,,,,,,,,,,,,,
BAL,AL,2007,756,868,-112,69,0.333,0.412,0.272,0,,,162,0.354,0.412,,,,,,,,,,,,,
BOS,AL,2007,867,657,210,96,0.362,0.444,0.279,1,1,1,162,0.314,0.392,,,,,,,,,,,,,
CHC,NL,2007,752,690,62,85,0.333,0.422,0.271,1,5,4,162,0.322,0.399,,,,,,,,,,,,,
CHW,AL,2007,693,839,-146,72,0.318,0.404,0.246,0,,,162,0.338,0.435,,,,,,,,,,,,,
CIN,NL,2007,783,853,-70,72,0.335,0.436,0.267,0,,,162,0.343,0.456,,,,,,,,,,,,,
CLE,AL,2007,811,704,107,96,0.343,0.428,0.268,1,1,3,162,0.322,0.407,,,,,,,,,,,,,
COL,NL,2007,860,758,102,90,0.354,0.437,0.28,1,3,2,163,0.33,0.423,,,,,,,,,,,,,
DET,AL,2007,887,797,90,88,0.345,0.458,0.287,0,,,162,0.338,0.427,,,,,,,,,,,,,
FLA,NL,2007,790,891,-101,71,0.336,0.448,0.267,0,,,162,0.364,0.442,,,,,,,,,,,,,
HOU,NL,2007,723,813,-90,73,0.33,0.412,0.26,0,,,162,0.337,0.454,,,,,,,,,,,,,
KCR,AL,2007,706,778,-72,69,0.322,0.388,0.261,0,,,162,0.339,0.445,,,,,,,,,,,,,
LAA,AL,2007,822,731,91,94,0.345,0.417,0.284,1,2,4,162,0.328,0.412,,,,,,,,,,,,,
LAD,NL,2007,735,727,8,82,0.337,0.406,0.275,0,,,162,0.326,0.399,,,,,,,,,,,,,
MIL,NL,2007,801,776,25,83,0.329,0.456,0.262,0,,,162,0.333,0.422,,,,,,,,,,,,,
MIN,AL,2007,718,725,-7,79,0.33,0.391,0.264,0,,,162,0.324,0.431,,,,,,,,,,,,,
NYM,NL,2007,804,750,54,88,0.342,0.432,0.275,0,,,162,0.329,0.409,,,,,,,,,,,,,
NYY,AL,2007,968,777,191,94,0.366,0.463,0.29,1,2,4,162,0.34,0.417,,,,,,,,,,,,,
OAK,AL,2007,741,758,-17,76,0.338,0.407,0.256,0,,,162,0.329,0.404,,,,,,,,,,,,,
PHI,NL,2007,892,821,71,89,0.354,0.458,0.274,1,4,4,162,0.346,0.451,,,,,,,,,,,,,
PIT,NL,2007,724,846,-122,68,0.325,0.411,0.263,0,,,162,0.352,0.447,,,,,,,,,,,,,
SDP,NL,2007,741,666,75,89,0.322,0.411,0.251,0,,,163,0.311,0.374,,,,,,,,,,,,,
SEA,AL,2007,794,813,-19,88,0.337,0.425,0.287,0,,,162,0.349,0.431,,,,,,,,,,,,,
SFG,NL,2007,683,720,-37,71,0.322,0.387,0.254,0,,,162,0.334,0.405,,,,,,,,,,,,,
STL,NL,2007,725,829,-104,78,0.337,0.405,0.274,0,,,162,0.336,0.431,,,,,,,,,,,,,
TBD,AL,2007,782,944,-162,66,0.336,0.433,0.268,0,,,162,0.358,0.467,,,,,,,,,,,,,
TEX,AL,2007,816,844,-28,75,0.328,0.426,0.263,0,,,162,0.356,0.423,,,,,,,,,,,,,
TOR,AL,2007,753,699,54,83,0.327,0.419,0.259,0,,,162,0.315,0.391,,,,,,,,,,,,,
WSN,NL,2007,673,783,-110,73,0.325,0.39,0.256,0,,,162,0.339,0.433,,,,,,,,,,,,,
ARI,NL,2006,773,788,-15,76,0.331,0.424,0.267,0,,,162,0.335,0.431,,,,,,,,,,,,,
ATL,NL,2006,849,805,44,79,0.337,0.455,0.27,0,,,162,0.343,0.438,,,,,,,,,,,,,
BAL,AL,2006,768,899,-131,70,0.339,0.424,0.277,0,,,162,0.357,0.462,,,,,,,,,,,,,
BOS,AL,2006,820,825,-5,86,0.351,0.435,0.269,0,,,162,0.343,0.447,,,,,,,,,,,,,
CHC,NL,2006,716,834,-118,66,0.319,0.422,0.268,0,,,162,0.342,0.431,,,,,,,,,,,,,
CHW,AL,2006,868,794,74,90,0.342,0.464,0.28,0,,,162,0.326,0.44,,,,,,,,,,,,,
CIN,NL,2006,749,801,-52,80,0.336,0.432,0.257,0,,,162,0.337,0.457,,,,,,,,,,,,,
CLE,AL,2006,870,782,88,78,0.349,0.457,0.28,0,,,162,0.335,0.431,,,,,,,,,,,,,
COL,NL,2006,813,812,1,76,0.341,0.433,0.27,0,,,162,0.346,0.438,,,,,,,,,,,,,
DET,AL,2006,822,675,147,95,0.329,0.449,0.274,1,3,2,162,0.321,0.405,,,,,,,,,,,,,
FLA,NL,2006,758,772,-14,78,0.331,0.435,0.264,0,,,162,0.347,0.423,,,,,,,,,,,,,
HOU,NL,2006,735,719,16,82,0.332,0.409,0.255,0,,,162,0.319,0.421,,,,,,,,,,,,,
KCR,AL,2006,757,971,-214,62,0.332,0.411,0.271,0,,,162,0.367,0.476,,,,,,,,,,,,,
LAA,AL,2006,766,732,34,89,0.334,0.425,0.274,0,,,162,0.316,0.402,,,,,,,,,,,,,
LAD,NL,2006,820,751,69,88,0.348,0.432,0.276,1,5,4,162,0.33,0.418,,,,,,,,,,,,,
MIL,NL,2006,730,833,-103,75,0.327,0.42,0.258,0,,,162,0.333,0.438,,,,,,,,,,,,,
MIN,AL,2006,801,683,118,96,0.347,0.425,0.287,1,2,4,162,0.312,0.423,,,,,,,,,,,,,
NYM,NL,2006,834,731,103,97,0.334,0.445,0.264,1,1,3,162,0.323,0.407,,,,,,,,,,,,,
NYY,AL,2006,930,767,163,97,0.363,0.461,0.285,1,1,4,162,0.326,0.413,,,,,,,,,,,,,
OAK,AL,2006,771,727,44,93,0.34,0.412,0.26,1,4,3,162,0.338,0.422,,,,,,,,,,,,,
PHI,NL,2006,865,812,53,85,0.347,0.447,0.267,0,,,162,0.339,0.46,,,,,,,,,,,,,
PIT,NL,2006,691,797,-106,67,0.327,0.397,0.263,0,,,162,0.357,0.431,,,,,,,,,,,,,
SDP,NL,2006,731,679,52,88,0.332,0.416,0.263,1,5,4,162,0.312,0.404,,,,,,,,,,,,,
SEA,AL,2006,756,792,-36,78,0.325,0.424,0.272,0,,,162,0.337,0.432,,,,,,,,,,,,,
SFG,NL,2006,746,790,-44,76,0.324,0.422,0.259,0,,,161,0.337,0.415,,,,,,,,,,,,,
STL,NL,2006,781,762,19,83,0.337,0.431,0.269,1,6,1,161,0.337,0.443,,,,,,,,,,,,,
TBD,AL,2006,689,856,-167,61,0.314,0.42,0.255,0,,,162,0.358,0.452,,,,,,,,,,,,,
TEX,AL,2006,835,784,51,80,0.338,0.446,0.278,0,,,162,0.341,0.424,,,,,,,,,,,,,
TOR,AL,2006,809,754,55,87,0.348,0.463,0.284,0,,,162,0.328,0.422,,,,,,,,,,,,,
WSN,NL,2006,746,872,-126,71,0.338,0.418,0.262,0,,,162,0.349,0.447,,,,,,,,,,,,,
ARI,NL,2005,696,856,-160,77,0.332,0.421,0.256,0,,,162,0.345,0.455,,,,,,,,,,,,,
ATL,NL,2005,769,674,95,90,0.333,0.435,0.265,1,4,4,162,0.333,0.406,,,,,,,,,,,,,
BAL,AL,2005,729,800,-71,74,0.327,0.434,0.269,0,,,162,0.336,0.416,,,,,,,,,,,,,
BOS,AL,2005,910,805,105,95,0.357,0.454,0.281,1,3,4,162,0.335,0.441,,,,,,,,,,,,,
CHC,NL,2005,703,714,-11,79,0.324,0.44,0.27,0,,,162,0.325,0.407,,,,,,,,,,,,,
CHW,AL,2005,741,645,96,99,0.322,0.425,0.262,1,2,1,162,0.31,0.397,,,,,,,,,,,,,
CIN,NL,2005,820,889,-69,73,0.339,0.446,0.261,0,,,163,0.352,0.483,,,,,,,,,,,,,
CLE,AL,2005,790,642,148,93,0.334,0.453,0.271,0,,,162,0.302,0.387,,,,,,,,,,,,,
COL,NL,2005,740,862,-122,67,0.333,0.411,0.267,0,,,162,0.362,0.457,,,,,,,,,,,,,
DET,AL,2005,723,787,-64,71,0.321,0.428,0.272,0,,,162,0.33,0.436,,,,,,,,,,,,,
FLA,NL,2005,717,732,-15,83,0.339,0.409,0.272,0,,,162,0.339,0.402,,,,,,,,,,,,,
HOU,NL,2005,693,609,84,89,0.322,0.408,0.256,1,5,2,163,0.308,0.389,,,,,,,,,,,,,
KCR,AL,2005,701,935,-234,56,0.32,0.396,0.263,0,,,162,0.362,0.463,,,,,,,,,,,,,
LAA,AL,2005,761,643,118,95,0.325,0.409,0.27,1,3,3,162,0.312,0.401,,,,,,,,,,,,,
LAD,NL,2005,685,755,-70,71,0.326,0.395,0.253,0,,,162,0.327,0.429,,,,,,,,,,,,,
MIL,NL,2005,726,697,29,81,0.331,0.423,0.259,0,,,162,0.324,0.408,,,,,,,,,,,,,
MIN,AL,2005,688,662,26,83,0.323,0.391,0.259,0,,,162,0.307,0.408,,,,,,,,,,,,,
NYM,NL,2005,722,648,74,83,0.322,0.416,0.258,0,,,162,0.321,0.387,,,,,,,,,,,,,
NYY,AL,2005,886,789,97,95,0.355,0.45,0.276,1,3,4,162,0.332,0.422,,,,,,,,,,,,,
OAK,AL,2005,772,658,114,88,0.33,0.407,0.262,0,,,162,0.311,0.382,,,,,,,,,,,,,
PHI,NL,2005,807,726,81,88,0.348,0.423,0.27,0,,,162,0.32,0.426,,,,,,,,,,,,,
PIT,NL,2005,680,769,-89,67,0.322,0.4,0.259,0,,,162,0.344,0.424,,,,,,,,,,,,,
SDP,NL,2005,684,726,-42,82,0.333,0.391,0.257,1,6,4,162,0.322,0.408,,,,,,,,,,,,,
SEA,AL,2005,699,751,-52,69,0.317,0.391,0.256,0,,,162,0.332,0.422,,,,,,,,,,,,,
SFG,NL,2005,649,745,-96,75,0.319,0.396,0.261,0,,,162,0.336,0.412,,,,,,,,,,,,,
STL,NL,2005,805,634,171,100,0.339,0.423,0.27,1,1,3,162,0.318,0.398,,,,,,,,,,,,,
