,,,,,,
,,,,,,
State,County,Size of Land,Sale Price,Price per Acre (approx),Land Details,Date
Illinois,Mason,362 acres,"$3,886,922 ","$10,737.00 ",353 tillable acres with Class C soils,December 2013
Iowa,Hamilton,205 acres,"$1,920,000 ","$9,366.00 ",202 tillable acres and 75 acres of CRP ground,December 2013
Iowa,Montgomery,73 acres,"$747,252 ","$10,200.00 ",72 cropland acres,December 2013
Kansas,Clay,160 acres,"$530,000 ","$3,312.00 ",132 cropland acres,December 2013
Kentucky,Allen,201 acres,"$620,000 ","$3,084.00 ",Includes complete fencing and crossfencing,December 2013
Missouri,Chariton,745 acres,"$2,500,000 ","$3,355.00 ",430 tillable acres and 160 acres in pecan groves,December 2013
Virginia,Goochland,"1,002 acres","$1,503,000 ","$1,500.00 ",Sold in two tracts,December 2013
Georgia,Crisp,98.4 acres,"$326,463 ","$3,317.00 ",73 cropland acres with the balance in woodland,Winter 2014
Illinois,DeKalb,73 acres,"$1,095,000 ","$15,000.00 ",70.5 cropland acres,Winter 2014
Illinois,Grundy,542 acres,"$6,930,012 ","$12,786.00 ",531 cropland acres,Winter 2014
Kansas,Washington,160 acres,"$330,000 ","$2,062.00 ",103 acres of CRP ground with the balance in timber and waterways,Winter 2014
Kentucky,Breckinridge,265 acres,"$484,399 ","$1,827.00 ",182 acres of cropland and pastureland with 83 wooded acres,Winter 2014
Louisiana,Tensas Parish,815 acres,"$2,851,685 ","$3,499.00 ",Mostly irrigated soil,Winter 2014
Minnesota,"Big Stone, Grant, Lyon, Stevens, Swift, Traverse and Yellow Medicine","5,369 acres","$37,710,162 ","$7,023.00 ","4,820 FSA tillable acres",Winter 2014
South Dakota,Dewey,"1,108 acres","$1,551,242 ","$1,400.00 ",800 tillable acres and 308 acres in pastureland,Winter 2014
Arkansas,Lee and Monroe,"1,741 acres","$6,410,000 ","$3,681.00 ","1,530 tillable acres, 15 wells, 1 irrigation river, and a 60,000-bushel grain storage",February 2014
Illinois,Cass,59 acres,"$160,875 ","$2,750.00 ",59 acres of timber for deer hunting,February 2014
Illinois,McDonough and Warren,"1,431 acres","$16,814,250 ","$11,750.00 ","1,363 cropland acres",February 2014
Illinois,Ogle,80 acres,"$860,000 ","$10,750.00 ",77 cropland acres,February 2014
Indiana,Lake,"1,730 acres","$10,240,000 ","$5,888.00 ","1,190 tillable acres",February 2014
Kansas,"Gove, Greeley, Hamilton, Logan and Meade","33,667 acres","$46,485,770 ","$1,380.00 ","16,346 farmland acres and 17,321 ranchland acres",February 2014
Kentucky,Henderson,772 acres,"$4,027,123 ","$5,213.00 ",772 cropland acres,February 2014
Arkansas,Mississippi and Poinsett,"1,441 acres","$7,300,000 ","$5,065.00 ","Cropland rotated in cotton, corn, soybeans, rice and wheat",March 2014
Georgia,Wilcox,540 acres,"$1,188,242 ","$2,200.00 ","204 cropland acres, 330 acres in timber and 6 acres in ponds",March 2014
Illinois,Grundy,542 acres,"$6,930,012 ","$12,786.00 ",531 cropland acres,March 2014
Illinois,Mercer,75 acres,"$907,500 ","$12,100.00 ",75 tillable acres with high B-class soils,March 2014
Iowa,Adams,"1,495 acres","$8,750,000 ","$5,857.00 ","1,261 tillable acres",March 2014
Iowa,Calhoun,525 acres,"$6,825,000 ","$13,000.00 ",518 tillable acres,March 2014
Kansas,Washington,160 acres,"$312,500 ","$1,953.00 ",Includes 70 acres of expired CRP ground,March 2014
Kentucky,Hopkins,91 acres,"$410,000 ","$4,505.00 ",57 cropland acres and 34 acres of wooded land,March 2014
Kentucky,Meade,122 acres,"$606,950 ","$4,975.00 ",122 acres of cropland and pasture,March 2014
Kentucky,Warren,140 acres,"$559,900 ","$3,999.00 ","Includes a working cattle operation, house, pond and loafing sheds",March 2014
Missouri,Clay and Clinton,275 acres,"$1,306,250 ","$4,750.00 ",180 tillable acres,March 2014
Alabama,Limestone,158 acres,"$1,025,420 ","$6,400.00 ",158 cropland acres,April 2014
Georgia,Dodge,106 acres,"$246,638 ","$2,310.00 ",Includes a 5-acre lake,April 2014
Illinois,DeKalb,73 acres,"$1,095,000 ","$15,000.00 ",70.5 cropland acres,April 2014
Kentucky,Ohio,131 acres,"$707,400 ","$5,400.00 ",Includes a Harvestore feeding operation and 100-year-old home,April 2014
Missouri,Clay,80 acres,"$400,000 ","$5,000.00 ",72 cropland acres,April 2014
Missouri,Platte,70 acres,"$300,000 ","$4,285.00 ",70 acres of timber and recreational land,April 2014
Arkansas,Lonoke,"1,076 acres","$5,140,452 ","$4,777.00 ",862 tillable acres and a 27-acre reservoir,May 2014
Florida,Charlotte,80 acres,"$265,000 ","$3,312.00 ",23 acres of wetlands and 56 acres of upland cropland,May 2014
Florida,Martin,"2,620 acres","$15,950,000 ","$6,088.00 ",Formerly citrus groves,May 2014
Georgia,Terrell,233 acres,"$624,027 ","$2,678.00 ","40-acre pecan grove, 145 acres of timber and 46 acres of farmland",May 2014
Illinois,Christian,166 acres,"$1,500,000 ","$9,009.00 ",161 tillable acres,May 2014
Illinois,Douglas,960 acres,"$14,000,000 ","$14,583.00 ",947 tillable acres of class A soils,May 2014
Kansas,Nemaha,400 acres,"$2,215,000 ","$5,537.00 ","128 cropland acres, 270 acres of brome hay meadow and a 2-acre cattle lot",May 2014
Kentucky,Daviess,235 acres,"$819,363 ","$3,486.00 ",126 cropland acres and 75 acres of cutover timber,May 2014
Nebraska,Lancaster,160 acres,"$328,000 ","$2,050.00 ",106 cropland acres,May 2014
South Dakota,Moody,160 acres,"$1,872,000 ","$11,700.00 ",157 cropland acres,May 2014
Illinois,Montgomery,176 acres,"$2,450,000 ","$13,920.00 ",175 tillable acres,June 2014
Illinois,Crawford,"1,553 acres","$8,200,800 ","$5,280.00 ","1,273 contiguous tillable acres and 198 recreational acres",June 2014
Indiana,Boone,107 acres,"$1,120,000 ","$10,447.00 ",94 tillable acres and nearly 10 wooded acres,June 2014
Iowa,Calhoun,435 acres,"$5,350,500 ","$12,300.00 ",428 tillable acres,June 2014
Iowa,Webster,453 acres,"$4,643,250 ","$10,250.00 ",449 tillable acres with systematic tiling and two wind turbine leases,June 2014
Kentucky,Crittenden,126 acres,"$461,470 ","$3,639.00 ",69 tillable acres with a five-bedroom home,June 2014
Nebraska,Rock,320 acres,"$336,000 ","$1,050.00 ",320 acres of pastureland,June 2014
Ohio,Clinton,100 acres,"$369,000 ","$3,690.00 ",57 tillable acres and 38 wooded acres,June 2014
Ohio,Scioto,175 acres,"$746,647 ","$4,249.00 ",154 tillable acres and 13 wooded acres,June 2014
Georgia,Wilcox,143 acres,"$260,289 ","$1,815.00 ",Land Includes 18-year-old pines,July 2014
Georgia,Thomas,128 acres,"$495,649 ","$3,850.00 ",111 tillable acres with the remainder in woods and waterways,July 2014
Illinois,DeKalb,144 acres,"$1,861,470 ","$12,900.00 ",Sold in two tracts,July 2014
Iowa,Plymouth,157 acres,"$2,251,535 ","$14,300.00 ",157 tillable acres,July 2014
Iowa,Plymouth,182 acres,"$1,594,950 ","$10,500.00 ",151 cropland acres with the balance in road and waterways,July 2014
Kansas,Rice,319 acres,"$1,000,000 ","$3,134.00 ",295 cropland acres,July 2014
Kansas,Marshall,470 acres,"$2,400,000 ","$5,000.00 ",238 cropland acres and 242 acres of pasture,July 2014
Kentucky,Jackson,200 acres,"$990,000 ","$4,950.00 ","200 precision-leveled acres with three wells, a home and a pole barn",July 2014
Louisiana,Morehouse Parish,603 acres,"$2,188,200 ","$3,628.00 ",523 tillable acres precision-leveled and irrigated,July 2014
Oregon,Malheur,"2,300 acress","$1,175,000 ",$510.00 ,"Includes a home, barns and a private airstrip",July 2014
Alabama,Crenshaw and Monroe,"1,476 acres","$2,038,650 ","$1,381.00 ","400 tillable acres, 100 acres of pasture and 801 acres of timber",August 2014
Georgia,Terrell,80 acres,"$154,134 ","$1,925.00 ","20 acres of cropland, 55 acres in planted pines, and 5 acres in hardwoods",August 2014
Illinois,DeWitt,540 acres,"$7,089,000 ","$13,127.00 ",Two separate farms sold to two buyers,August 2014
Illinois,Morgan,87 acres,"$1,103,884 ","$12,700.00 ",84 tillable acres with the remainder in waterways,August 2014
Indiana,Newton,637 acres,"$6,020,000 ","$9,450.00 ",Includes two homes and several sheds and grain bins,August 2014
Iowa,Webster,280 acres,"$2,610,000 ","$9,321.00 ",269 tillable acres,August 2014
Iowa,Wright,80 acres,"$1,032,000 ","$12,900.00 ",76 cropland acres,August 2014
Kentucky,Daviess,67 acres,"$475,700 ","$7,100.00 ",60 cropland acres and a home,August 2014
Kentucky,Spencer,125 acres,"$681,560 ","$5,452.00 ",Includes a barn,August 2014
Oregon,Union,"1,000 acres","$1,675,000 ","$1,675.00 ",390 acres in irrigated hay and pastures,August 2014
Colorado,Kit Carson,313 acres,"$489,845 ","$1,565.00 ",313 dryland crop acres,September 2014
Georgia,Randolph,211 acres,"$359,342 ","$1,703.00 ",Includes a 4-acre lake,September 2014
Iowa,Fremont,255 acres,"$1,750,000 ","$6,862.00 ",232 cropland acres with the balance in timber,September 2014
Louisiana,Morehouse Parish,160 acres,"$640,000 ","$4,000.00 ",155 tillable acres with two ground wells,September 2014
Kentucky,Warren,59 acres,"$583,549 ","$10,347.00 ",Includes wooded areas and gently rolling pasture,September 2014
Oklahoma,Murray,550 acres,"$2,367,750 ","$4,305.00 ",450 tillable acres,September 2014
Ohio,Paulding,40 acres,"$237,800 ","$5,884.00 ",35 tillable acres with the remainder in woods,September 2014
South Carolina,Florence,108 acres,"$225,000 ","$2,083.00 ",40 tillable acres and a 5-acre duck impoundment,September 2014
Arkansas,Lee,"1,012 acres","$5,061,250 ","$5,000.00 ","962 tillable acres with the remainder in woods, ditches and roadways",October 2014
Colorado,Baca,310 acres,"$191,950 ",$618.00 ,310 dryland acres,October 2014
Florida,St. Lucie,"1,944 acres","$10,692,000 ","$5,500.00 ","Includes a 212-acre lake and 125,500 citrus trees",October 2014
Illinois,Greene,"1,342 acres","$9,510,000 ","$7,086.00 ","1,240 tillable acres with a 5-acre building site",October 2014
Illinois,McHenry,132 acres,"$1,200,087 ","$9,030.00 ",81 tillable acres with the balance in woods and two homes,October 2014
Nebraska,Polk,160 acres,"$1,808,000 ","$11,300.00 ",160 leveled and irrigated acres,October 2014
Ohio,Paulding,40 acres,"$480,000 ","$12,000.00 ",Rectangular configuration with significant road frontage,October 2014
Ohio,Allen,29 acres,"$275,680 ","$9,334.00 ",Includes a three-year lease for an adjacent 30 acres,October 2014
South Dakota,Haakon,"12,000 acres","$14,856,000 ","$1,238.00 ",Variety of cropland and pasture with four camping lots,October 2014
Colorado,Prowers,646 acres,"$484,500 ",$750.00 ,646 acres of CRP ground,November 2014
Georgia,Lee,78 acres,"$286,858 ","$3,685.00 ",35 tillable acres with the balance in woods,November 2014
Illinois,Lee,80 acres,"$512,000 ","$6,400.00 ","Includes a cabin, duck pond and groomed trails",November 2014
Indiana,St. Joseph,525 acres,"$4,525,000 ","$8,619.00 ",Includes a Case IH tractor and combine and a 16-row Kinze planter,November 2014
Iowa,Pocahontas,80 acres,"$700,000 ","$8,750.00 ",79 tillable acres,November 2014
Kansas,Rush,225 acres,"$545,625 ","$2,425.00 ",225 tillable acres,November 2014
Ohio,Clinton,642 acres,"$4,520,000 ","$7,094.00 ",580 tillable acres and 40 wooded acres,November 2014
Wisconsin,Green,133 acres,"$664,000 ","$5,000.00 ",132 tillable acres,November 2014
Colorado,Cheyenne,873 acres,"$309,915 ",$355.00 ,161 acres of CRP ground and 712 acres of grass,December 2014
Illinois,Franklin,765 acres,"$4,195,000 ","$5,483.00 ","714 tillable acres and a 12-acre, wooded home site",December 2014
Indiana,Huntington,151 acres,"$1,400,000 ","$9,272.00 ",143 tillable acres with the remainder in wooded land,December 2014
Kansas,Marshall,135 acres,"$557,500 ","$4,129.00 ",123 gently sloping tillable acres,December 2014
Illinois,Vermilion,116 acres,"$990,000 ","$8,534.00 ",116 tillable acres,Winter 2015
Indiana,Warren,147 acres,"$94,375 ",$640.00 ,In a permanent easement under the Wetland Reserve Program,Winter 2015
Iowa,Ida,616 acres,"$4,620,708 ","$7,493.00 ",115 acres of CRP ground,Winter 2015
Michigan,Calhoun,"1,848 acres","$10,633,693 ","$5,753.00 ","1,495 tillable acres and nearly 300 wooded acres",Winter 2015
Nebraska,Cuming,80 acres,"$1,024,000 ","$12,800.00 ",80 dryland acres,Winter 2015
North Carolina,Halifax,"1,367 acres","$2,125,000 ","$1,554.00 ","1,367 acres of managed timber, recreational property and pastureland",Winter 2015
Ohio,Van Wert,135 acres,"$1,388,750 ","$10,233.00 ",134 tillable acres,Winter 2015
Texas,Hartley,"4,158 acres","$10,331,465 ","$2,484.00 ","4,061 cropland acres, 22 irrigation wells and 11 center pivots",Winter 2015
Colorado,Baca,155 acres,"$108,810 ",$702.00 ,155 acres of CRP ground,February 2015
Georgia,Dodge,427 acres,"$1,034,332 ","$2,420.00 ","Includes a home, three ponds and a center-pivot irrigation system",February 2015
Illinois,McLean,294 acres,"$3,215,000 ","$10,935.00 ","Includes a home, grain storage and machine sheds",February 2015
Indiana,Tipton,94 acres,"$1,128,000 ","$12,000.00 ",88 tillable acres,February 2015
Kansas,Decatur,470 acres,"$763,750 ","$1,625.00 ",249 cropland acres and 207 acres of grass,February 2015
Kentucky,Simpson,295 acres,"$1,883,200 ","$6,383.00 ",235 tillable acres,February 2015
North Dakota,Cass,542 acres,"$3,287,363 ","$6,065.00 ",522 tillable acres with the balance in roadways,February 2015
Ohio,Morgan and Muskingum,"1,966 acres","$3,582,340 ","$1,822.00 ",100% recreational ground,February 2015
Texas,Dallam and Sherman,"1,896 acres","$4,711,029 ","$2,484.00 ","1,885 cropland acres, 11 irrigation wells and five center pivots",February 2015
Alabama,Autauga,"1,358 acres","$3,390,000 ","$2,478.00 ","386 tillable acres, 611 acres of hardwoods and 307 acres in pines",March 2015
Arkansas,Monroe,425 acres,"$2,279,400 ","$4,350.00 ","466 tillable acres with the remainder in timber, roads and ditches",March 2015
Arkansas,Yell,652 acres,"$2,705,800 ","$4,150.00 ",652 leveled and irrigated acres,March 2015
Georgia,Dodge,427 acres,"$1,034,332 ","$2,420.00 ",233 tillable acres with the remainder in mature pines,March 2015
Illinois,DeWitt,402 acres,"$2,525,000 ","$6,281.00 ",236 tillable acres and 166 acres of recreational wooded land,March 2015
Iowa,Greene,40 acres,"$398,000 ","$9,950.00 ",37 tillable acres,March 2015
Iowa,Webster,35 acres,"$348,985 ","$9,971.00 ",34 tillable acres,March 2015
Kansas,Doniphan,240 acres,"$1,200,00","$5,000.00 ",181 cropland acres,March 2015
Kansas,Sherman,550 acres,"$412,000 ",$750.00 ,238-acre tract of expiring CRP ground and a 317-acre tract of grass,March 2015
Kentucky,Daviess,54 acres,"$426,000 ","$7,900.00 ",50 tillable acres with a mobile home and a tobacco barn,March 2015
Nebraska,Polk,40 acres,"$300,000 ","$7,500.00 ",40 dryland acres,March 2015
Iowa,Webster,281 acres,"$2,912,000 ","$10,363.00 ",272 tillable acres and 5 acres in filter strips,April 2015
Kentucky,Henderson,397 acres,"$3,172,608 ","$8,000.00 ",369 tillable acres with the balance in woods,April 2015
Louisiana,Richland Parish,885 acres,"$3,867,500 ","$4,370.00 ",850 tillable acres with six irrigation wells,April 2015
North Dakota,Cass,541 acres,"$3,306,862 ","$6,112.00 ",Sold in four parcels,April 2015
South Dakota,Brookings,113 acres,"$1,138,000 ","$10,000.00 ",113 tillable acres,April 2015
Arkansas,Woodruff,424 acres,"$1,462,800 ","$3,450.00 ",100% irrigated land that is susceptible to flooding,May 2015
Colorado,Pueblo and Otero,382 acres,"$2,167,890 ","$5,675.00 ",Sold in five tracts,May 2015
Georgia,Terrell,102 acres,"$169,455 ","$1,650.00 ",102 acres in planted pines and hardwoods,May 2015
Indiana,Greene,160 acres,"$439,500 ","$2,747.00 ","Includes a restaurant, cabin, skeet/trap range and sporting clay range",May 2015
Kansas,Finney,800 acres,"$1,744,000 ","$2,180.00 ",789 tillable acres,May 2015
Louisiana,Morehouse Parish,"1,088 acres","$5,151,505 ","$4,734.00 ","1,010 tillable acres with four ground wells",May 2015
Missouri,Callaway,"1,252 acres","$7,151,831 ","$5,712.00 ",985 tillable acres and 267 recreational acres,May 2015
Nebraska,Merrick,156 acres,"$1,170,075 ","$7,500.00 ",141 tillable acres with gravity irrigation,May 2015
Arkansas,Yell,"1,608 acres","$6,512,400 ","$4,050.00 ","1,050 tillable acres, seven wells, six center pivots and 558 acres of pasture",June 2015
Illinois,Carroll,156 acres,"$1,285,350 ","$8,250.00 ",144 tillable acres,June 2015
Iowa,Fremont,288 acres,"$2,552,376 ","$8,868.00 ",Sold in four tracts,June 2015
Kansas,Gove,"2,400 acres","$4,847,960 ","$2,015.00 ",Sold in ten tracts,June 2015
Nebraska,Polk,159 acres,"$1,670,550 ","$10,500.00 ",155 acres under center-pivot irrigation with a home on 4 acres,June 2015
South Dakota,Brookings,152 acres,"$1,540,250 ","$10,100.00 ",120 tillable acres and 32 acres in grass and CRP,June 2015
Tennessee,Weakley,223 acres,"$1,321,468 ","$5,930.00 ",Sold in three tracts,June 2015
Colorado,Yuma,160 acres,"$300,000 ","$1,875.00 ",157 tillable acres,July 2015
Georgia,Brooks,159 acres,"$477,000 ","$3,000.00 ","Includes a two-story home, a barn converted to an office and a 10-acre pond",July 2015
Illinois,Kankakee,81 acres,"$729,000 ","$9,000.00 ",81 tillable acres,July 2015
Iowa,Kossuth,219 acres,"$1,336,557 ","$6,103.00 ",164 tillable acres and 32 acres in CRP ground,July 2015
Iowa,Page,212 acres,"$1,843,878 ","$8,700.00 ",200 tillable acres,July 2015
Kansas,Cheyenne and Rawlins,"2,056 acres","$4,297,079 ","$2,090.00 ","1,286 cropland acres with the remainder in grass, improvements or roadways",July 2015
Kentucky,Webster,250 acres,"$1,275,000 ","$5,100.00 ",222 tillable acres with the balance in wooded hill land,July 2015
Minnesota,Mower,224 acres,"$2,080,000 ","$9,285.00 ",223 tillable acres,July 2015
Missouri,Nodaway,200 acres,"$500,000 ","$2,500.00 ",170 acres of pasture and 30 cropland acres,July 2015
Nebraska,Lancaster,557 acres,"$4,926,401 ","$8,844.00 ",537 tillable acres,July 2015
Colorado,Kit Carson,320 acres,"$224,000 ",$700.00 ,100% CRP ground,August 2015
Colorado,Kit Carson,403 acres,"$282,100 ",$700.00 ,100% CRP ground,August 2015
Indiana,Tippecanoe,50 acres,"$310,000 ","$6,200.00 ","50 acres of woods, pasture and tillable acreage",August 2015
Iowa,Kossuth,155 acres,"$1,054,000 ","$6,800.00 ",147 tillable acres,August 2015
Kansas,Greeley,480 acres,"$908,160 ","$1,892.00 ",469 cropland acres with the balance in grass and roadways,August 2015
Kentucky,McLean,171 acres,"$1,605,925 ","$9,367.00 ",Sold in two tracts,August 2015
Nebraska,Johnson and Otoe,160 acres,"$787,200 ","$4,920.00 ",142 tillable acres,August 2015
Oklahoma,Caddo,240 acres,"$825,000 ","$3,437.00 ",Sold in two tracts,August 2015
South Dakota,Potter,160 acres,"$902,000 ","$5,700.00 ",158 cropland acres,August 2015
Arkansas,Crittenden,644 acres,"$3,040,000 ","$4,720.00 ",644 tillable acres leveled and irrigated,September 2015
Arkansas,Desha,785 acres,"$3,725,000 ","$4,745.00 ",570 tillable acres and 215 wooded acres,September 2015
Colorado,Kit Carson,346 acres,"$583,702 ","$1,687.00 ",332 acres of dryland crop acres,September 2015
Indiana,Kosciusko,329 acres,"$3,200,000 ","$9,727.00 ",318 tillable acres,September 2015
Indiana,Pulaski,118 acres,"$1,045,000 ","$8,856.00 ",118 tillable acres,September 2015
Kansas,Rawlins,960 acres,"$1,660,054 ","$1,729.00 ","690 cropland acres with the remainder in farmstead, grass and roadways",September 2015
Kentucky,McLean,348 acres,"$2,657,840 ","$7,631.00 ",Sold in four tracts,September 2015
Louisiana,Franklin,120 acres,"$490,000 ","$4,083.00 ",120 acres of precision-leveled cropland,September 2015
Nebraska,Wayne,160 acres,"$1,220,000 ","$7,625.00 ",151 tillable acres,September 2015
Oklahoma,Garfield,380 acres,"$1,218,000 ","$3,205.00 ",377 cropland acres,September 2015
Arkansas,Desha and Drew,"1,200 acres","$5,200,000 ","$4,333.00 ","1,000 tillable acres and 200 wooded acres",October 2015
Arkansas,Perry,"1,760 acres","$4,600,000 ","$2,614.00 ","1,300 tillable acres and 460 wooded acres",October 2015
Louisiana,Allen Parish,"2,045 acres","$4,215,050 ","$2,060.00 ","1,910 tillable acres",October 2015
Louisiana,Catahoula Parish,"4,927 acres","$15,000,000 ","$3,044.00 ","4,400 cropland acres with a shop and grain storage",October 2015
Nebraska,Lincoln,111 acres,"$750,000 ","$6,756.00 ",103 tillable acres,October 2015
Oklahoma,Garfield,240 acres,"$435,000 ","$1,812.00 ",181 tillable acres with cattle pasture and 5 ponds,October 2015
Colorado,Kit Carson,480 acres,"$509,280 ","$1,061.00 ",461 acres of dryland crop acres,November 2015
Florida,Collier and Hendry,"1,151 acres","$10,200,000 ","$8,861.00 ",901 tillable acres,November 2015
Indiana,Warren,342 acres,"$2,939,100 ","$8,594.00 ",327 tillable acres with 9 wooded acres,November 2015
Iowa,Page,75 acres,"$525,000 ","$7,000.00 ",71 cropland acres with the balance in roadways,November 2015
Kansas,Thomas,320 acres,"$992,000 ","$3,100.00 ",310 tillable acres with the remainder in ditches and roadways,November 2015
Kentucky,Hopkins,194 acres,"$942,055 ","$4,838.00 ",Sold in three tracts,November 2015
Kentucky,Webster,171 acres,"$273,856 ","$1,600.00 ",171 acres of wooded hill land,November 2015
Louisiana,Catahoula Parish,674 acres,"$2,493,800 ","$3,700.00 ",650 tillable acres,November 2015
Missouri,"Carroll, Lafayette and Ray","1,195 acres","$3,825,000 ","$3,200.00 ","1,056 tillable acres with a 1.5-acre lot with a home, shop and pole barn",November 2015
Nebraska,Cuming,80 acres,"$836,000 ","$10,450.00 ",74 tillable acres with an abandoned 6-acre building site,November 2015
Arkansas,Ashley,"1,292 acres","$4,000,000 ","$3,095.00 ",695 leveled and irrigated cropland acres,December 2015
Arkansas,Crittenden,"1,383 acres","$6,146,650 ","$4,444.00 ","1,313 tillable acres",December 2015
Georgia,Miller,508 acres,"$2,620,000 ","$5,155.00 ",385 cropland acres and 60 wooded acres,December 2015
Illinois,Kane,80 acres,"$840,000 ","$10,400.00 ",80 tillable acres,December 2015
Iowa,Calhoun,593 acres,"$5,930,000 ","$10,000.00 ",577 tillable acres,December 2015
Louisiana,West Carroll Parish,415 acres,"$1,500,000 ","$3,615.00 ",Includes two ground wells,December 2015
Kansas,Decatur,290 acres,"$442,250 ","$1,525.00 ",209 cropland acres and 81 acres of grassland,December 2015
Nebraska,Madison,396 acres,"$3,067,871 ","$7,747.00 ",Sold in two tracts,December 2015
Nebraska,Platte,233 acres,"$2,525,040 ","$10,800.00 ",233 dryland crop acres,December 2015
Oklahoma,Alfalfa,158 acres,"$274,000 ","$1,734.00 ",120 cropland acres with the remainder in pasture,December 2015
Oklahoma,Major,520 acres,"$1,214,000 ","$2,334.00 ",369.1 cropland acres with the remainder in Bermuda grass pasture,December 2015
Arkansas,Arkansas,653 acres,"$3,150,496 ","$4,820.00 ",541 irrigated cropland acres,Winter 2016
Colorado,Kit Carson,140 acres,"$389,900 ","$2,785.00 ",140 dryland crop acres with a home and shop building,Winter 2016
Illinois,McDonough,334 acres,"$3,835,000 ","$11,482.00 ","330 tillable acres and 40,000 bushels of grain storage",Winter 2016
Indiana,Benton,102 acres,"$943,500 ","$9,250.00 ",102 tillable acres,Winter 2016
Indiana,Wells,114 acres,"$820,000 ","$7,193.00 ",100 tillable acres,Winter 2016
Iowa,Calhoun,120 acres,"$1,092,000 ","$9,100.00 ",119 tillable acres,Winter 2016
