All data provided by EQUIBASE -  http://www.equibase.com/,,,,,,,,,,
North American Thoroughbred Racing Starters - Trainer - Dirt/All Weather Surfaces,,,,,,,,,,
,,,,,,,,,,
Trainer Name,Starts,Starters,1st,2nd,3rd,Total $,Per Start $,Win %,Top 3 %,Racing Date
Blaine D. Wright,420,124,105,66,73,"$1,848,339 ","$4,401 ",25%,58%,2017
T. Bernard Houghton,349,76,71,56,59,"$1,847,918 ","$5,295 ",20%,53%,2017
Jamie Ness,469,139,77,86,78,"$1,803,980 ","$3,846 ",16%,51%,2017
Scott Becker,369,76,106,75,59,"$1,793,880 ","$4,861 ",29%,65%,2017
Robert P. Tiller,210,47,33,24,33,"$1,789,587 ","$8,522 ",16%,43%,2017
Richard Baltas,240,94,41,38,37,"$1,781,849 ","$7,424 ",17%,48%,2017
Wesley A. Ward,243,114,64,50,30,"$1,773,453 ","$7,298 ",26%,59%,2017
Danny Gargan,151,55,44,31,22,"$1,749,011 ","$11,583 ",29%,64%,2017
J. Larry Jones,187,55,47,37,23,"$1,747,495 ","$9,345 ",25%,57%,2017
D. Wayne Lukas,223,48,20,28,23,"$1,736,652 ","$7,788 ",9%,32%,2017
Steven Miyadi,284,94,56,46,45,"$1,710,889 ","$6,024 ",20%,52%,2017
McLean Robertson,230,83,57,34,34,"$1,686,199 ","$7,331 ",25%,54%,2017
Chris A. Hartman,312,97,56,49,50,"$1,682,881 ","$5,394 ",18%,50%,2017
Peter Eurton,154,58,31,23,17,"$1,673,598 ","$10,868 ",20%,46%,2017
Wayne M. Catalano,183,69,38,25,29,"$1,644,217 ","$8,985 ",21%,50%,2017
Lynn Chleborad,422,82,52,51,45,"$1,621,215 ","$3,842 ",12%,35%,2017
Norman McKnight,244,67,77,50,30,"$1,612,403 ","$6,608 ",32%,64%,2017
Josie Carroll,92,35,22,12,7,"$1,588,813 ","$17,270 ",24%,45%,2017
Juan Carlos Guerrero,251,67,56,38,43,"$1,568,191 ","$6,248 ",22%,55%,2017
David A. Cannizzo,230,88,27,35,27,"$1,566,128 ","$6,809 ",12%,39%,2017
Marcos Zulueta,254,78,50,44,39,"$1,563,640 ","$6,156 ",20%,52%,2017
Jeff Bonde,206,61,38,31,18,"$1,550,792 ","$7,528 ",18%,42%,2017
"John T. Toscano, Jr.",199,54,33,38,28,"$1,532,457 ","$7,701 ",17%,50%,2017
Gary P. Gullo,182,68,42,28,24,"$1,531,670 ","$8,416 ",23%,52%,2017
"George R. Arnold, II",133,46,12,22,24,"$1,526,174 ","$11,475 ",9%,44%,2017
Cathal A. Lynch,199,61,37,29,31,"$1,517,410 ","$7,625 ",19%,49%,2017
Mick Ruis,86,34,15,5,13,"$1,509,747 ","$17,555 ",17%,38%,2017
Eddie Kenneally,146,67,31,18,25,"$1,483,679 ","$10,162 ",21%,51%,2017
Richard E. Mandella,74,42,12,15,9,"$1,479,135 ","$19,988 ",16%,49%,2017
Michael E. Lauer,350,65,53,28,48,"$1,473,576 ","$4,210 ",15%,37%,2017
Nicholas Gonzalez,296,83,42,61,45,"$1,465,314 ","$4,950 ",14%,50%,2017
Michael V. Pino,292,123,57,47,39,"$1,460,730 ","$5,003 ",20%,49%,2017
Kathleen A. Demasi,310,101,65,52,44,"$1,457,281 ","$4,701 ",21%,52%,2017
Joel H. Marr,321,91,55,50,36,"$1,451,959 ","$4,523 ",17%,44%,2017
Gary C. Contessa,294,104,26,38,49,"$1,450,647 ","$4,934 ",9%,38%,2017
Michael Stidham,249,114,48,39,32,"$1,427,740 ","$5,734 ",19%,48%,2017
Scott E. Young,310,95,71,43,38,"$1,414,063 ","$4,561 ",23%,49%,2017
John F. Martin,343,115,109,70,52,"$1,392,202 ","$4,059 ",32%,67%,2017
James W. Casey,261,54,54,45,41,"$1,390,430 ","$5,327 ",21%,54%,2017
Flint W. Stites,474,82,60,61,73,"$1,383,973 ","$2,920 ",13%,41%,2017
Brian A. Lynch,112,45,22,18,18,"$1,375,172 ","$12,278 ",20%,52%,2017
Stanley I. Gold,143,40,26,30,23,"$1,373,708 ","$9,606 ",18%,55%,2017
Mary E. Eppler,235,61,36,35,34,"$1,364,928 ","$5,808 ",15%,45%,2017
Timothy E. Martin,469,89,54,61,71,"$1,348,845 ","$2,876 ",12%,40%,2017
J. Keith Desormeaux,145,53,20,19,24,"$1,337,519 ","$9,224 ",14%,43%,2017
"Robert E. Reid, Jr.",182,38,32,28,28,"$1,336,689 ","$7,344 ",18%,48%,2017
Miguel L. Hernandez,308,53,35,38,44,"$1,331,578 ","$4,323 ",11%,38%,2017
"Mario Serey, Jr.",348,81,37,42,60,"$1,328,175 ","$3,817 ",11%,40%,2017
"Victor Barboza, Jr.",224,68,62,39,40,"$1,322,060 ","$5,902 ",28%,63%,2017
Genaro Garcia,353,99,66,60,58,"$1,321,879 ","$3,745 ",19%,52%,2017
Roger L. Attfield,118,45,22,20,12,"$1,320,788 ","$11,193 ",19%,46%,2017
Donnie K. Von Hemel,212,75,28,30,20,"$1,302,420 ","$6,143 ",13%,37%,2017
Eduardo Ramirez,337,116,75,46,53,"$1,300,045 ","$3,858 ",22%,52%,2017
"Ollie L. Figgins, III",308,66,62,49,44,"$1,294,530 ","$4,203 ",20%,50%,2017
Kathleen O'Connell,307,111,54,54,31,"$1,254,342 ","$4,086 ",18%,45%,2017
Michael P. De Paulo,265,69,28,43,34,"$1,252,991 ","$4,728 ",11%,40%,2017
Kevin Attard,218,63,32,37,27,"$1,249,792 ","$5,733 ",15%,44%,2017
"Richard A. Violette, Jr.",82,30,14,7,8,"$1,230,412 ","$15,005 ",17%,35%,2017
Juan C. Vazquez,240,65,45,33,36,"$1,223,500 ","$5,098 ",19%,48%,2017
Scott Gelner,385,88,55,56,52,"$1,219,436 ","$3,167 ",14%,42%,2017
Ben Colebrook,189,59,34,30,20,"$1,210,014 ","$6,402 ",18%,44%,2017
John C. Kimmel,86,31,13,9,11,"$1,205,842 ","$14,021 ",15%,38%,2017
Ronney W. Brown,493,104,89,79,72,"$1,203,593 ","$2,441 ",18%,49%,2017
Arnaud Delacour,114,56,31,25,11,"$1,197,066 ","$10,501 ",27%,59%,2017
Hugh I. McMahon,243,80,45,43,35,"$1,193,699 ","$4,912 ",19%,51%,2017
Jack C. Van Berg,252,66,41,40,24,"$1,181,383 ","$4,688 ",16%,42%,2017
Kelly R. Von Hemel,202,44,39,30,29,"$1,181,190 ","$5,847 ",19%,49%,2017
Joseph M. Foster,449,110,78,86,62,"$1,180,540 ","$2,629 ",17%,50%,2017
Mark Glatt,204,81,36,36,25,"$1,172,840 ","$5,749 ",18%,48%,2017
John A. Shirreffs,35,12,4,9,5,"$1,163,730 ","$33,249 ",11%,51%,2017
Vladimir Cerin,132,43,26,24,22,"$1,129,765 ","$8,559 ",20%,55%,2017
Greg Tracy,400,110,86,65,55,"$1,129,063 ","$2,823 ",22%,52%,2017
Dale Capuano,254,62,55,57,37,"$1,117,049 ","$4,398 ",22%,59%,2017
Kimberly A Graci,380,89,79,60,69,"$1,116,118 ","$2,937 ",21%,55%,2017
Gary Sciacca,244,58,17,28,30,"$1,113,210 ","$4,562 ",7%,31%,2017
Horacio DePaz,76,31,24,6,8,"$1,099,019 ","$14,461 ",32%,50%,2017
Samuel Breaux,464,120,65,52,58,"$1,095,128 ","$2,360 ",14%,38%,2017
Randy L. Morse,235,65,34,20,40,"$1,094,479 ","$4,657 ",14%,40%,2017
Nabu Morales,338,50,73,62,52,"$1,085,954 ","$3,213 ",22%,55%,2017
Timothy C. Grams,284,45,54,68,43,"$1,077,373 ","$3,794 ",19%,58%,2017
William H. Fires,145,38,12,10,14,"$1,071,510 ","$7,390 ",8%,25%,2017
Gerald E. Brooks,308,59,63,38,43,"$1,064,928 ","$3,458 ",20%,47%,2017
William Spawr,106,33,25,22,14,"$1,060,942 ","$10,009 ",24%,58%,2017
"Ed Moger, Jr.",315,82,45,47,44,"$1,022,260 ","$3,245 ",14%,43%,2017
Phil Schoenthal,207,73,34,37,24,"$1,021,909 ","$4,937 ",16%,46%,2017
Mark A. Hennig,113,42,16,17,15,"$1,019,892 ","$9,026 ",14%,42%,2017
Gary Capuano,146,36,27,23,20,"$1,014,997 ","$6,952 ",18%,48%,2017
William E. Morey,264,101,57,44,36,"$1,006,920 ","$3,814 ",22%,52%,2017
Erin C. McClellan,265,54,60,46,37,"$982,798 ","$3,709 ",23%,54%,2017
Alfredo Velazquez,175,42,37,25,29,"$976,879 ","$5,582 ",21%,52%,2017
Frank Lucarelli,343,82,61,59,56,"$976,351 ","$2,847 ",18%,51%,2017
Jon G. Arnett,330,75,50,64,55,"$971,761 ","$2,945 ",15%,51%,2017
Bart G. Hone,282,70,42,41,59,"$942,219 ","$3,341 ",15%,50%,2017
Martin Drexler,181,52,41,27,26,"$937,550 ","$5,180 ",23%,52%,2017
George Weaver,117,55,17,14,20,"$925,242 ","$7,908 ",15%,44%,2017
Claude R. McGaughey III,103,46,13,14,17,"$923,291 ","$8,964 ",13%,43%,2017
Teresa Connelly,257,59,48,44,33,"$915,675 ","$3,563 ",19%,49%,2017
Gerald S. Bennett,252,75,46,53,34,"$914,925 ","$3,631 ",18%,53%,2017
Bernard S. Flint,178,42,31,30,31,"$911,436 ","$5,120 ",17%,52%,2017
Allen Milligan,361,111,37,44,30,"$908,952 ","$2,518 ",10%,31%,2017
Reade Baker,89,29,11,12,13,"$907,380 ","$10,195 ",12%,40%,2017
Eddie Clouston,629,175,140,107,85,"$907,375 ","$1,443 ",22%,53%,2017
Sid C. Attard,156,44,25,23,23,"$906,377 ","$5,810 ",16%,46%,2017
"Efren Loza, Jr.",114,33,37,16,20,"$898,166 ","$7,879 ",32%,64%,2017
Hamilton A. Smith,214,60,24,33,30,"$895,235 ","$4,183 ",11%,41%,2017
Maximo Gomez,561,112,94,96,99,"$894,254 ","$1,594 ",17%,52%,2017
Ron G. Potts,243,51,36,31,44,"$894,200 ","$3,680 ",15%,46%,2017
"Edward Plesa, Jr.",140,42,18,25,27,"$893,250 ","$6,380 ",13%,50%,2017
Nicholas P. Zito,150,41,13,12,25,"$892,189 ","$5,948 ",9%,33%,2017
Brian Williamson,200,45,19,26,39,"$889,843 ","$4,449 ",10%,42%,2017
Steve Manley,299,48,48,50,41,"$882,431 ","$2,951 ",16%,46%,2017
Kim Hammond,199,54,48,40,29,"$879,306 ","$4,419 ",24%,59%,2017
Carlos J. Milian,274,84,37,26,40,"$877,322 ","$3,202 ",14%,38%,2017
Jonathan Wong,239,103,78,45,40,"$868,096 ","$3,632 ",33%,68%,2017
Michael A. Tomlinson,152,52,20,17,21,"$864,307 ","$5,686 ",13%,38%,2017
"Rodrigo Madrigal, Sr.",283,50,28,38,37,"$864,022 ","$3,053 ",10%,36%,2017
Ingrid Mason,231,67,33,37,25,"$862,399 ","$3,733 ",14%,41%,2017
Cipriano Contreras,199,51,46,38,28,"$859,393 ","$4,319 ",23%,56%,2017
Jose Pinchin,118,27,19,22,24,"$857,890 ","$7,270 ",16%,55%,2017
"Henry B. Johnson, Jr.",267,71,48,39,31,"$856,505 ","$3,208 ",18%,44%,2017
William D. Cowans,177,63,41,24,25,"$854,280 ","$4,826 ",23%,51%,2017
Boyd Caster,253,51,33,38,36,"$845,163 ","$3,341 ",13%,42%,2017
David Fawkes,137,54,23,24,16,"$843,126 ","$6,154 ",17%,46%,2017
Steve Klesaris,184,64,25,24,22,"$836,349 ","$4,545 ",14%,39%,2017
Tim McCanna,282,86,52,57,48,"$834,193 ","$2,958 ",18%,56%,2017
"Edward J. Coletti, Jr.",143,31,26,20,16,"$821,339 ","$5,744 ",18%,43%,2017
Francisco Bravo,239,52,36,31,33,"$819,506 ","$3,429 ",15%,42%,2017
John Haran,437,63,45,38,47,"$818,625 ","$1,873 ",10%,30%,2017
Aaron M. West,222,72,51,37,25,"$817,561 ","$3,683 ",23%,51%,2017
Neil J. Howard,110,36,12,18,15,"$813,719 ","$7,397 ",11%,41%,2017
Rodrigo A. Ubillo,50,14,6,6,8,"$806,938 ","$16,139 ",12%,40%,2017
Allen Landry,239,60,39,34,28,"$805,461 ","$3,370 ",16%,42%,2017
Kellyn Gorder,109,36,24,14,12,"$804,746 ","$7,383 ",22%,46%,2017
Joseph Taylor,136,30,30,27,21,"$800,313 ","$5,885 ",22%,57%,2017
Wayne Potts,273,100,44,38,43,"$798,617 ","$2,925 ",16%,46%,2017
R. Gary Patrick,311,50,39,39,40,"$796,198 ","$2,560 ",13%,38%,2017
Bruce N. Levine,156,56,19,22,20,"$792,563 ","$5,081 ",12%,39%,2017
Michael R. Matz,76,28,10,11,9,"$791,983 ","$10,421 ",13%,39%,2017
Carlos F. Martin,153,52,15,22,21,"$791,026 ","$5,170 ",10%,38%,2017
Anthony F. Rini,212,51,51,45,38,"$787,882 ","$3,716 ",24%,63%,2017
Greg Green,258,64,45,45,44,"$787,389 ","$3,052 ",17%,52%,2017
Christophe Clement,85,49,14,14,10,"$786,967 ","$9,258 ",16%,45%,2017
Joel Berndt,206,59,46,42,36,"$785,118 ","$3,811 ",22%,60%,2017
Stuart C. Simon,76,25,12,10,10,"$782,348 ","$10,294 ",16%,42%,2017
H. James Bond,92,24,14,18,13,"$782,218 ","$8,502 ",15%,49%,2017
William Delia,348,101,47,52,67,"$780,020 ","$2,241 ",14%,48%,2017
Michael M. Moore,178,45,23,27,21,"$776,878 ","$4,364 ",13%,40%,2017
Guadalupe Preciado,142,29,25,24,14,"$776,763 ","$5,470 ",18%,44%,2017
Doug L. Anderson,191,37,30,28,26,"$775,114 ","$4,058 ",16%,44%,2017
Chad Summers,59,26,9,8,7,"$772,994 ","$13,102 ",15%,41%,2017
Shane Meyers,256,63,49,25,35,"$771,594 ","$3,014 ",19%,43%,2017
James T. Ryerson,139,38,15,19,27,"$770,545 ","$5,543 ",11%,44%,2017
M. Anthony Ferraro,334,56,67,49,50,"$762,286 ","$2,282 ",20%,50%,2017
Shane Wilson,321,63,49,38,40,"$761,847 ","$2,373 ",15%,40%,2017
Ralph Ziadie,125,45,36,20,10,"$760,073 ","$6,081 ",29%,53%,2017
Michael W. McCarthy,80,34,20,15,7,"$758,255 ","$9,478 ",25%,53%,2017
Miguel Penaloza,178,44,24,30,19,"$753,780 ","$4,235 ",13%,41%,2017
Steven Specht,180,40,30,28,30,"$752,205 ","$4,179 ",17%,49%,2017
Dick Cappellucci,201,50,39,29,40,"$749,921 ","$3,731 ",19%,54%,2017
C. R. Trout,57,14,15,4,6,"$747,744 ","$13,118 ",26%,44%,2017
Jesus Nunez,558,128,69,70,77,"$746,827 ","$1,338 ",12%,39%,2017
Raymond Morales,272,70,71,53,44,"$744,450 ","$2,737 ",26%,62%,2017
Bruce R. Brown,132,50,22,17,17,"$743,839 ","$5,635 ",17%,42%,2017
Paul E. Holthus,190,44,27,38,23,"$738,832 ","$3,889 ",14%,46%,2017
Jeffrey Metz,360,84,54,43,53,"$738,660 ","$2,052 ",15%,42%,2017
"Luis Carvajal, Jr.",42,10,7,3,3,"$737,821 ","$17,567 ",17%,31%,2017
Gary Sherlock,99,24,15,16,20,"$737,504 ","$7,450 ",15%,52%,2017
John D. McKee,304,54,40,58,47,"$737,314 ","$2,425 ",13%,48%,2017
Kenny P. Smith,250,61,29,31,33,"$735,563 ","$2,942 ",12%,37%,2017
Uriah St. Lewis,297,37,12,19,29,"$732,914 ","$2,468 ",4%,20%,2017
Patrick B. McBurney,119,27,20,12,20,"$732,687 ","$6,157 ",17%,44%,2017
David G. Donk,143,40,13,22,23,"$732,455 ","$5,122 ",9%,41%,2017
"Michael W. Salvaggio, Jr.",233,53,32,39,33,"$732,265 ","$3,143 ",14%,45%,2017
Jose Corrales,188,48,27,31,24,"$726,743 ","$3,866 ",14%,44%,2017
Gregory D. Sacco,149,48,21,21,25,"$725,911 ","$4,872 ",14%,45%,2017
Barclay Tagg,58,17,6,10,6,"$723,413 ","$12,473 ",10%,38%,2017
Armando De la cerda,125,49,31,20,15,"$722,460 ","$5,780 ",25%,53%,2017
Mertkan Kantarmaci,208,41,38,35,25,"$720,639 ","$3,465 ",18%,47%,2017
Anthony J. Granitz,168,41,27,29,35,"$715,278 ","$4,258 ",16%,54%,2017
Raymond Handal,88,45,20,12,11,"$711,015 ","$8,080 ",23%,49%,2017
Richard Zielinski,316,60,42,47,40,"$705,780 ","$2,233 ",13%,41%,2017
Gene Jacquot,134,21,16,26,15,"$701,227 ","$5,233 ",12%,43%,2017
John A. Ross,84,16,10,7,20,"$699,444 ","$8,327 ",12%,44%,2017
Philip Hall,188,43,38,32,26,"$696,465 ","$3,705 ",20%,51%,2017
"John P. Terranova, II",76,30,12,13,9,"$693,686 ","$9,127 ",16%,45%,2017
Lee Thomas,278,68,41,35,30,"$692,180 ","$2,490 ",15%,38%,2017
Jonathan B. Buckley,333,56,40,44,54,"$689,851 ","$2,072 ",12%,41%,2017
Michael S. Ferraro,242,43,48,50,47,"$689,753 ","$2,850 ",20%,60%,2017
Larry E. Smith,290,51,64,48,45,"$688,493 ","$2,374 ",22%,54%,2017
Michael J. Doyle,154,37,17,19,22,"$688,270 ","$4,469 ",11%,38%,2017
Brett A. Brinkman,277,62,34,34,49,"$686,025 ","$2,477 ",12%,42%,2017
David C. Anderson,384,77,59,54,54,"$685,075 ","$1,784 ",15%,43%,2017
Jason DaCosta,247,48,47,36,32,"$683,258 ","$2,766 ",19%,47%,2017
Timothy L. Keefe,152,47,19,22,20,"$681,958 ","$4,487 ",13%,40%,2017
Philip M. Serpe,50,22,9,8,9,"$679,357 ","$13,587 ",18%,52%,2017
Chris Richard,151,45,17,27,26,"$678,080 ","$4,491 ",11%,46%,2017
Brian J. Koriner,102,42,16,13,14,"$676,310 ","$6,630 ",16%,42%,2017
Edward J. Johnston,87,29,23,15,8,"$674,285 ","$7,750 ",26%,53%,2017
Steven Dwoskin,101,35,13,19,12,"$672,245 ","$6,656 ",13%,44%,2017
Michael Machowsky,119,44,25,12,17,"$670,325 ","$5,633 ",21%,45%,2017
W. John Bourke,190,35,34,28,31,"$669,477 ","$3,524 ",18%,49%,2017
Jeffrey L. Greenhill,245,47,26,35,35,"$668,788 ","$2,730 ",11%,39%,2017
Marvin A. Johnson,281,51,38,44,32,"$667,807 ","$2,377 ",14%,41%,2017
Jonathan Maldonado,150,31,35,33,12,"$666,853 ","$4,446 ",23%,53%,2017
Catherine Day Phillips,61,21,15,10,7,"$664,119 ","$10,887 ",25%,52%,2017
Randy L. Klopp,154,33,20,22,18,"$663,944 ","$4,311 ",13%,39%,2017
Kenneth Decker,156,30,17,24,26,"$660,236 ","$4,232 ",11%,43%,2017
Michael E. Gorham,175,37,31,18,26,"$658,100 ","$3,761 ",18%,43%,2017
"Anthony R. Margotta, Jr.",85,29,20,14,12,"$654,154 ","$7,696 ",24%,54%,2017
Debra A. Breed,267,45,38,30,30,"$653,533 ","$2,448 ",14%,37%,2017
Thomas Morley,108,53,13,16,10,"$649,157 ","$6,011 ",12%,36%,2017
Jay P. Bernardini,345,79,57,56,52,"$646,155 ","$1,873 ",17%,48%,2017
"Daniel H. Conway, Jr.",276,44,55,64,40,"$642,842 ","$2,329 ",20%,58%,2017
Ralph D'Alessandro,320,60,36,37,52,"$642,741 ","$2,009 ",11%,39%,2017
Brandon L. Kulp,213,58,42,38,25,"$640,300 ","$3,006 ",20%,49%,2017
Michael Dilger,75,24,12,11,9,"$640,219 ","$8,536 ",16%,43%,2017
Denyse McClachrie,133,41,33,17,15,"$632,860 ","$4,758 ",25%,49%,2017
William N. Martin,237,70,32,36,32,"$629,738 ","$2,657 ",14%,42%,2017
Thomas F. Proctor,96,45,21,11,21,"$627,280 ","$6,534 ",22%,55%,2017
Gary L. Johnson,191,44,39,40,32,"$626,819 ","$3,282 ",20%,58%,2017
William B. Bradley,151,51,16,17,14,"$625,494 ","$4,142 ",11%,31%,2017
Victor Arceneaux,77,24,21,10,7,"$624,640 ","$8,112 ",27%,49%,2017
"Francisco DaSilva Machado, Jr.",175,42,30,19,19,"$617,791 ","$3,530 ",17%,39%,2017
"Edwin Diaz, Jr.",307,101,101,64,51,"$616,771 ","$2,009 ",33%,70%,2017
Tim Rycroft,186,48,46,39,31,"$614,975 ","$3,306 ",25%,62%,2017
Barbara I. McBride,168,29,14,31,24,"$614,606 ","$3,658 ",8%,41%,2017
John Alexander Ortiz,152,53,19,25,18,"$613,103 ","$4,034 ",13%,41%,2017
Clifford DeLima,243,52,32,39,46,"$610,045 ","$2,510 ",13%,48%,2017
Kim A. Puhl,242,49,38,31,23,"$608,922 ","$2,516 ",16%,38%,2017
Damon R. Dilodovico,116,22,22,20,17,"$606,401 ","$5,228 ",19%,51%,2017
Clinton C. Stuart,158,36,23,23,23,"$605,854 ","$3,835 ",15%,44%,2017
Wesley E. Hawley,92,27,16,10,15,"$605,618 ","$6,583 ",17%,45%,2017
Michele Boyce,101,27,20,20,14,"$604,759 ","$5,988 ",20%,53%,2017
Paul W. Barrow,250,47,38,43,34,"$600,946 ","$2,404 ",15%,46%,2017
Andy Mathis,184,70,31,38,24,"$597,930 ","$3,250 ",17%,51%,2017
Art Sherman,87,37,8,9,9,"$593,360 ","$6,820 ",9%,30%,2017
Jonathan E. Sheppard,130,47,20,18,16,"$591,924 ","$4,553 ",15%,42%,2017
Kevin S. Patterson,86,27,35,11,10,"$591,493 ","$6,878 ",41%,65%,2017
Eoin G. Harty,123,42,20,16,17,"$591,116 ","$4,806 ",16%,43%,2017
Anthony Pecoraro,107,28,27,22,12,"$590,559 ","$5,519 ",25%,57%,2017
Tim Girten,109,24,29,17,25,"$589,608 ","$5,409 ",27%,65%,2017
Steve Margolis,100,35,20,12,10,"$575,978 ","$5,760 ",20%,42%,2017
Kenneth Nolen,175,42,28,29,33,"$572,559 ","$3,272 ",16%,51%,2017
Ian Kruljac,29,7,6,6,5,"$569,293 ","$19,631 ",21%,59%,2017
James P. DiVito,99,32,17,16,16,"$565,981 ","$5,717 ",17%,49%,2017
Randi Persaud,223,48,14,18,20,"$563,586 ","$2,527 ",6%,23%,2017
